date,open,high,low,close,volume,change_pct
2025-07-14,195.61,198.82,194.485,197.1,7263986,0.0
2025-07-15,200.075,201.11,198.495,199.29,6007129,1.1111111111111072
2025-07-16,194.0,195.16,189.75,194.81,9400048,-2.2479803301721057
2025-07-17,192.62,194.0275,191.945,192.52,5704041,-1.175504337559674
2025-07-18,193.06,193.57,190.14,190.44,4757107,-1.0804072304176238
2025-07-21,190.79,194.4,190.7767,192.61,5061514,1.1394664986347447
2025-07-22,192.27,192.5,185.13,187.14,7074450,-2.839935621203482
2025-07-23,187.68,189.4,186.14,187.01,5419786,-0.06946670941541111
2025-07-24,188.16,190.0446,187.07,188.12,4819916,0.5935511469974841
2025-07-25,185.81,186.515,184.1001,185.69,6608688,-1.291728683818838
2025-07-28,189.01,190.5,188.625,190.27,4912986,2.466476385373473
2025-07-29,191.62,192.448,187.9476,188.41,4605413,-0.9775582067588218
2025-07-30,189.73,190.87,187.735,189.39,4018496,0.5201422429807367
2025-07-31,177.875,181.47,174.51,180.06,11375445,-4.9263424679233285
2025-08-01,176.6,181.63,176.25,179.99,8393193,-0.03887593024547442
2025-08-04,182.0,183.0,180.5,182.82,4189343,1.572309572754027
2025-08-05,182.67,183.26,177.4,179.15,5291996,-2.007439011049117
2025-08-06,178.88,179.235,175.48,178.14,5857823,-0.5637733742673845
2025-08-07,184.345,186.8,181.86,183.15,6616587,2.8123947457056264
2025-08-08,183.15,185.38,182.62,184.87,4338737,0.939120939120941
2025-08-11,187.15,189.72,183.78,184.38,7815999,-0.26505111700113604
2025-08-12,185.73,189.73,184.28,188.45,5918458,2.2073977654843313
2025-08-13,189.8,191.14,188.73,190.03,5923360,0.8384186786946302
2025-08-14,187.86,190.03,186.78,188.24,10992443,-0.941956533178967
2025-08-15,162.7,167.5,161.71,161.755,31803282,-14.069804504887385
2025-08-18,161.81,164.55,161.75,163.53,10125796,1.0973385675867808
2025-08-19,164.24,165.2,161.49,162.22,8921472,-0.8010762551213912
2025-08-20,161.8,161.97,157.94,160.96,9323294,-0.7767229688077859
2025-08-21,159.94,161.29,159.08,159.84,8294875,-0.6958250497017926
2025-08-22,160.68,165.0,159.98,162.49,7448112,1.6579079079079184
2025-08-25,162.31,162.6226,160.75,161.99,4186776,-0.30771124376884895
2025-08-26,162.01,164.814,161.68,164.51,6770237,1.5556515834310725
2025-08-27,163.26,164.65,162.55,164.39,4633530,-0.07294389398820877
2025-08-28,164.72,166.16,163.74,165.27,7899538,0.5353123669323168
2025-08-29,162.87,163.661,159.4301,160.76,7202136,-2.7288679131118876
2025-09-02,156.72,158.3,156.01,157.57,7683373,-1.9843244588205966
2025-09-03,158.05,158.05,154.465,156.25,7335044,-0.8377229167988776
2025-09-04,155.94,159.67,155.4,158.24,6245060,1.273600000000008
2025-09-05,160.26,162.85,158.82,162.75,7046829,2.850101112234582
2025-09-08,163.805,164.645,161.85,162.05,7933594,-0.4301075268817178
2025-09-09,161.92,164.26,161.75,163.5,5315373,0.8947855600123455
2025-09-10,164.3,165.4,162.55,163.42,5690240,-0.048929663608565654
2025-09-11,164.0,170.66,164.0,170.15,8999907,4.11822298372293
2025-09-12,167.91,169.67,167.18,167.8,5170573,-1.381134293270636
2025-09-15,169.11,171.06,168.5313,170.93,5597644,1.8653158522049962
2025-09-16,172.46,174.1,171.58,173.54,6447519,1.5269408529807516
2025-09-17,174.25,179.5486,173.97,178.13,9588307,2.6449233606085087
2025-09-18,188.0,191.55,183.83,189.76,15473653,6.528939538539258
2025-09-19,190.815,191.85,188.6601,190.1,18903501,0.17917369308599884
2025-09-22,193.185,201.15,192.43,200.52,15475542,5.481325618095756
2025-09-23,201.23,204.1,198.8,200.87,12417874,0.17454617993217791
2025-09-24,199.08,203.7499,197.4,201.44,6360493,0.28376561955494317
2025-09-25,199.04,200.72,196.2,199.6,6027565,-0.9134233518665602
2025-09-26,200.0,205.2,197.3866,203.92,7363317,2.164328657314618
2025-09-29,206.34,210.5,204.68,204.95,9295427,0.5051000392310767
2025-09-30,204.355,210.27,202.87,204.74,12253833,-0.102464015613557
2025-10-01,204.74,218.44,203.61,217.74,12699236,6.349516459900362
2025-10-02,225.0,226.41,218.73,223.59,11166002,2.6866905483604375
2025-10-03,219.91,220.5,215.6,217.53,9269817,-2.710317992754596
