date,open,high,low,close,volume,change_pct
2025-07-16,99.79,100.58,98.61,100.55,6241010,0.0
2025-07-17,100.095,102.08,100.095,101.96,6958967,1.4022874191944368
2025-07-18,103.155,103.7,102.34,103.34,6319596,1.3534719497842351
2025-07-21,103.195,104.16,102.52,103.71,6509407,0.3580414166827861
2025-07-22,103.77,103.88,101.1,101.78,8825717,-1.8609584418088798
2025-07-23,107.74,108.85,95.19,100.71,30058145,-1.0512870898015447
2025-07-24,102.79,105.1,102.18,104.46,14014627,3.7235627047959463
2025-07-25,105.03,106.02,104.67,105.02,7303589,0.5360903695194263
2025-07-28,105.835,107.145,105.04,106.7,8368782,1.599695296134085
2025-07-29,107.72,108.545,104.97,105.31,9477034,-1.3027179006560474
2025-07-30,105.43,106.005,104.285,105.49,7247567,0.1709239388472117
2025-07-31,106.75,108.2,106.27,106.51,15267996,0.9669162953834576
2025-08-01,105.29,105.32,102.76,104.31,8736170,-2.065533752699278
2025-08-04,108.56,108.75,106.41,108.63,8997966,4.141501294219152
2025-08-05,108.65,109.895,107.01,107.93,10434739,-0.6443892110834848
2025-08-06,108.45,109.5,107.535,109.5,6507885,1.4546465301584321
2025-08-07,109.735,110.38,107.83,108.55,5794157,-0.8675799086757974
2025-08-08,109.17,110.6,108.5,109.98,5052533,1.3173652694610904
2025-08-11,110.192,110.995,109.25,109.81,4859572,-0.15457355882887436
2025-08-12,110.245,111.87,109.79,111.85,7075934,1.8577543028867938
2025-08-13,112.12,112.3499,107.67,109.83,9871969,-1.8059901654000843
2025-08-14,109.245,110.83,108.77,110.74,6247245,0.8285532186105726
2025-08-15,110.55,110.72,107.52,109.21,6535829,-1.381614592739755
2025-08-18,110.215,111.38,109.72,111.06,6809188,1.693984067393095
2025-08-19,110.81,112.015,109.18,109.98,7000623,-0.972447325769854
2025-08-20,109.27,109.46,104.71,108.65,9011667,-1.209310783778872
2025-08-21,108.05,109.48,107.89,108.81,7320738,0.14726184997697622
2025-08-22,109.195,111.165,108.43,109.36,7552683,0.5054682474037397
2025-08-25,109.59,111.48,109.5508,109.73,4086856,0.3383321141185114
2025-08-26,109.865,110.78,109.73,109.9,10309449,0.1549257267839277
2025-08-27,109.67,110.66,109.401,110.13,4433370,0.2092811646951631
2025-08-28,110.16,112.0595,109.555,111.94,5077194,1.643512212839382
2025-08-29,111.0,111.29,107.92,108.86,6201094,-2.751474003930676
2025-09-02,107.4,109.315,105.45,109.25,6986813,0.3582583134301043
2025-09-03,109.405,110.73,108.895,110.69,6826441,1.3180778032036544
2025-09-04,111.14,112.78,110.26,112.75,8145687,1.861053392357026
2025-09-05,113.0,113.69,108.68,110.45,12409843,-2.03991130820399
2025-09-08,111.19,111.97,110.385,110.54,9279672,0.08148483476686508
2025-09-09,110.6,117.24,110.6,116.79,14095797,5.654061878053196
2025-09-10,117.8,120.8,116.645,119.09,18913175,1.969346690641327
2025-09-11,118.95,120.23,118.83,119.47,9831995,0.3190864052397213
2025-09-12,119.315,119.59,117.815,118.68,6358932,-0.6612538712647442
2025-09-15,118.2279,120.51,118.2279,119.24,6063418,0.47185709470844994
2025-09-16,119.17,119.82,118.21,119.04,7717863,-0.16772895001676558
2025-09-17,119.11,119.5,117.34,118.41,11958934,-0.5292338709677491
2025-09-18,119.02,122.79,118.88,122.07,12130408,3.0909551558145454
2025-09-19,122.57,124.385,121.29,123.94,15836675,1.5319079216842724
2025-09-22,123.0,123.94,121.1915,123.69,12207240,-0.20171050508310806
2025-09-23,124.1,126.06,123.85,125.4,12013094,1.382488479262678
2025-09-24,125.73,126.0007,121.53,123.13,8434141,-1.8102073365231286
2025-09-25,121.1,122.38,119.62,122.33,9004657,-0.6497198083326494
2025-09-26,122.78,123.075,121.32,122.6,6212662,0.22071446088449687
2025-09-29,123.825,124.2359,120.27,121.01,8113019,-1.296900489396402
2025-09-30,121.58,123.87,121.31,123.75,7326171,2.264275679695893
2025-10-01,122.55,125.539,121.8,124.66,7350003,0.7353535353535223
2025-10-02,125.3,125.81,121.9,123.58,6071854,-0.8663564896518539
2025-10-03,124.115,124.69,122.13,122.22,6315574,-1.1005016993040906
2025-10-06,124.25,125.0344,122.51,123.4,6568644,0.9654720994927146
2025-10-07,124.34,124.75,122.92,124.53,7395534,0.9157212317666197
