date,open,high,low,close,volume,change_pct
2025-07-14,9.28,9.69,9.235,9.52,22574129,0.0
2025-07-15,9.705,10.25,9.6033,9.97,36556688,4.726890756302526
2025-07-16,10.07,10.4188,9.75,10.06,28956344,0.9027081243731194
2025-07-17,10.18,11.24,10.08,10.91,54710461,8.449304174950289
2025-07-18,11.47,12.15,11.2,11.93,55754865,9.34922089825847
2025-07-21,12.185,12.2099,11.0,11.09,42467600,-7.041072925398151
2025-07-22,11.121,11.13,10.35,10.95,22585448,-1.2623985572587926
2025-07-23,11.09,11.23,10.55,10.93,17567096,-0.18264840182647957
2025-07-24,11.04,11.45,10.8,11.2,19833784,2.4702653247941297
2025-07-25,11.4,11.51,10.735,10.75,17605553,-4.01785714285714
2025-07-28,10.98,11.01,10.33,10.58,20512822,-1.5813953488372112
2025-07-29,10.325,10.35,9.8,10.12,22822320,-4.34782608695653
2025-07-30,10.05,10.4,9.79,10.03,28882089,-0.8893280632411016
2025-07-31,12.57,14.06,12.2,13.14,138168411,31.00697906281158
2025-08-01,12.47,13.07,11.4,12.52,50626514,-4.718417047184175
2025-08-04,12.83,13.95,12.35,13.95,41274675,11.42172523961662
2025-08-05,13.8,14.9,13.55,14.89,43452655,6.7383512544803015
2025-08-06,14.825,15.2,14.1,14.79,32663557,-0.671591672263272
2025-08-07,14.98,15.36,13.65,14.24,28969248,-3.7187288708586785
2025-08-08,14.19,14.49,13.61,14.2,19089181,-0.2808988764045006
2025-08-11,14.265,14.58,13.9,14.03,19107236,-1.1971830985915477
2025-08-12,14.0112,15.13,13.8304,14.97,25595932,6.699928724162518
2025-08-13,15.24,15.85,14.23,14.8,24686724,-1.135604542418167
2025-08-14,14.625,15.001,13.98,14.55,20751272,-1.6891891891891886
2025-08-15,14.548,14.56,13.5301,14.09,17802035,-3.16151202749142
2025-08-18,14.875,16.92,14.66,16.34,70625858,15.968772178850244
2025-08-19,16.16,16.4,14.98,15.34,29217961,-6.11995104039168
2025-08-20,15.09,15.795,14.03,15.72,32019615,2.4771838331160367
2025-08-21,15.6,16.2463,15.235,15.77,20703102,0.31806615776079905
2025-08-22,15.53,16.78,15.33,16.05,27002147,1.775523145212432
2025-08-25,16.01,16.4,15.57,15.95,23663624,-0.6230529595015688
2025-08-26,15.92,16.53,15.84,16.47,28225707,3.260188087774285
2025-08-27,16.42,16.77,15.92,16.7,25165246,1.3964784456587775
2025-08-28,17.0,17.6,16.46,16.6,31189375,-0.5988023952095634
2025-08-29,16.91,17.29,15.575,15.98,28060922,-3.734939759036149
2025-09-02,15.13,15.73,14.46,15.26,19250984,-4.505632040050067
2025-09-03,15.39,15.47,14.36,14.38,19046060,-5.766710353866311
2025-09-04,14.23,14.58,14.0546,14.33,15779865,-0.3477051460361702
2025-09-05,14.69,14.8236,13.6737,13.89,16356731,-3.070481507327283
2025-09-08,13.85,13.99,13.16,13.91,19486966,0.14398848092151972
2025-09-09,14.77,15.24,13.915,15.2,31108235,9.27390366642702
2025-09-10,15.66,17.02,15.4224,16.98,48395770,11.710526315789483
2025-09-11,17.045,17.88,16.64,17.18,29445783,1.1778563015311994
2025-09-12,17.54,18.71,17.254,18.68,32935902,8.731082654249134
2025-09-15,19.105,19.96,18.78,19.35,31247490,3.5867237687366327
2025-09-16,19.35,19.75,18.65,19.46,21468147,0.568475452196382
2025-09-17,19.14,20.15,18.88,19.83,24438896,1.901336073997939
2025-09-18,20.28,20.52,19.565,19.91,22036644,0.4034291477559293
2025-09-19,19.89,20.7951,19.8,20.48,31532673,2.862882973380221
2025-09-22,20.0,24.8465,19.87,24.45,49365464,19.384765625
2025-09-23,25.01,25.61,23.6,24.67,40659558,0.8997955010225045
2025-09-24,24.95,25.22,23.21,23.45,26946886,-4.945277665180392
2025-09-25,22.23,22.73,21.4,22.59,25579720,-3.6673773987206837
2025-09-26,22.685,22.72,20.89,21.71,22774664,-3.8955289951305816
2025-09-29,22.06,22.41,21.18,22.15,19268220,2.026715799170886
2025-09-30,22.5,23.55,22.074,22.94,27743982,3.566591422121901
2025-10-01,22.83,25.05,22.3,25.0,23678671,8.979947689625112
2025-10-02,26.35,28.25,26.2,26.47,35030228,5.879999999999996
2025-10-03,26.801,27.37,25.2641,26.53,26999923,0.22667170381565072
2025-10-06,27.675,29.23,27.47,27.71,28013286,4.447794949114203
2025-10-07,28.43,29.26,26.31,27.3,31017807,-1.479610249007579
2025-10-08,27.72,28.22,26.44,27.94,20718208,2.344322344322336
2025-10-09,28.18,29.98,27.07,29.29,43613729,4.831782390837502
2025-10-10,37.02,39.0697,32.8301,33.99,108028081,16.046432229429854
2025-10-13,36.38,39.33,34.2,34.24,56662555,0.7355104442483107
2025-10-14,34.07,38.1,32.8,35.04,48889365,2.3364485981308247
2025-10-15,36.78,40.08,35.61,37.76,52351084,7.762557077625565
2025-10-16,38.25,40.2,36.43,36.64,41140283,-2.9661016949152463
2025-10-17,35.0,36.0197,33.06,34.24,30485793,-6.550218340611346
2025-10-20,35.73,36.3499,33.88,35.9,24278478,4.8481308411214785
2025-10-21,35.2,35.36,32.08,32.54,26889236,-9.359331476323119
2025-10-22,33.29,33.84,29.0942,30.62,46846434,-5.900430239704968
2025-10-23,31.22,33.89,30.6401,33.38,25086805,9.013716525146975
2025-10-24,34.25,35.73,33.0,33.43,29775139,0.14979029358896945
2025-10-27,34.45,34.8,33.37,34.35,21483097,2.7520191444809994
2025-10-28,34.195,37.17,33.63,34.33,32453388,-0.058224163027664755
2025-10-29,35.0,36.32,33.12,34.42,29240720,0.2621613748907681
2025-10-30,33.385,35.693,32.8,33.95,24346330,-1.3654851830331216
2025-10-31,34.93,36.78,33.55,34.66,31397184,2.091310751104536
2025-11-03,35.39,35.62,32.52,32.87,27104686,-5.16445470282747
2025-11-04,30.77,33.68,29.95,31.06,28974845,-5.506540918770908
2025-11-05,31.14,33.56,30.95,33.09,19861872,6.535737282678711
2025-11-06,33.63,33.9,31.03,31.08,20430014,-6.074342701722591
2025-11-07,29.655,31.22,28.01,30.98,25624096,-0.3217503217503137
2025-11-10,32.17,33.55,31.2609,31.44,23962347,1.484828921885084
2025-11-11,30.35,30.5,27.64,28.57,22741502,-9.128498727735368
2025-11-12,28.945,29.08,25.52,26.41,27253595,-7.560378018900948
2025-11-13,25.435,26.0,22.98,23.06,31351773,-12.684589170768657
2025-11-14,21.18,25.0,20.55,23.65,44561155,2.5585429314830765
2025-11-17,23.755,24.67,22.705,22.935,25429828,-3.023255813953485
2025-11-18,22.265,23.6099,21.88,22.84,26812066,-0.4142140832788299
2025-11-19,22.8,24.25,22.4,23.09,27489777,1.0945709281961369
2025-11-20,25.935,26.6,21.29,21.37,38275048,-7.449112169770455
2025-11-21,21.245,21.49,19.005,21.09,36810165,-1.310248011230708
2025-11-24,21.6,23.8,21.05,23.79,27304743,12.802275960170695
2025-11-25,22.66,23.75,21.41,23.74,19650364,-0.21017234131988083
2025-11-26,24.27,25.32,23.82,24.94,21975458,5.054759898904804
2025-11-28,25.5,27.34,25.25,27.1,19895370,8.66078588612671
2025-12-01,25.905,28.935,25.69,28.21,24936583,4.095940959409594
2025-12-02,28.6,30.3,28.03,28.05,32944376,-0.5671747607231437
2025-12-03,27.85,29.73,26.86,29.36,20922160,4.670231729055252
2025-12-04,29.18,31.69,28.7,31.14,22458232,6.062670299727535
2025-12-05,31.835,31.96,29.59406,31.22,27001639,0.25690430314706525
2025-12-08,31.54,32.34,30.42,32.11,17345602,2.8507367072389433
2025-12-09,31.91,34.8609,31.9,32.77,31545857,2.055434444098414
2025-12-10,32.2,32.6,30.9201,30.99,18524014,-5.431797375648473
2025-12-11,30.35,30.85,28.92,30.76,21150927,-0.7421748951274454
2025-12-12,30.26,31.79,27.779,27.86,24669613,-9.427828348504564
2025-12-15,27.86,27.86,22.895,22.98,43525342,-17.51615218951902
2025-12-16,23.36,24.3,22.15,24.24,33022870,5.483028720626626
2025-12-17,24.43,24.94,21.93,22.0,29286285,-9.24092409240923
