date,open,high,low,close,volume,change_pct
2025-07-16,4.52,4.65,4.49,4.6,3889089,0.0
2025-07-17,4.6,4.69,4.5,4.52,2658381,-1.7391304347826098
2025-07-18,4.56,4.6499,4.3701,4.41,3251317,-2.433628318584058
2025-07-21,4.43,4.52,4.38,4.42,3877661,0.22675736961450532
2025-07-22,4.39,4.44,4.32,4.425,2303733,0.11312217194570096
2025-07-23,4.44,4.46,4.27,4.39,2731206,-0.7909604519774072
2025-07-24,4.42,4.475,4.345,4.36,2759948,-0.6833712984054552
2025-07-25,4.36,4.36,4.21,4.29,3070883,-1.6055045871559703
2025-07-28,4.29,4.3984,4.245,4.28,3176978,-0.2331002331002252
2025-07-29,4.29,4.3,4.21,4.22,2528799,-1.4018691588785215
2025-07-30,4.29,4.47,4.28,4.34,4005941,2.8436018957346043
2025-07-31,4.3,4.36,4.21,4.24,3399689,-2.304147465437778
2025-08-01,4.24,4.445,4.075,4.33,4233808,2.1226415094339535
2025-08-04,4.32,4.45,4.24,4.39,6086295,1.3856812933025209
2025-08-05,5.075,5.4899,4.96,5.13,15845191,16.85649202733486
2025-08-06,5.13,5.255,5.005,5.2,6315864,1.3645224171540127
2025-08-07,5.225,5.31,5.01,5.14,4278337,-1.1538461538461608
2025-08-08,5.19,5.2493,5.095,5.21,4029712,1.3618677042801508
2025-08-11,5.2,5.42,5.1824,5.4,3419053,3.646833013435713
2025-08-12,5.44,5.645,5.43,5.6,3312548,3.703703703703698
2025-08-13,5.63,5.84,5.5702,5.75,5213563,2.6785714285714413
2025-08-14,5.68,5.95,5.662,5.84,3632068,1.5652173913043521
2025-08-15,5.87,6.01,5.835,5.97,4606761,2.2260273972602773
2025-08-18,5.96,6.12,5.795,5.81,3657965,-2.680067001675046
2025-08-19,5.81,6.0,5.81,5.86,4728202,0.8605851979346157
2025-08-20,5.86,5.99,5.7809,5.99,4737907,2.2184300341296925
2025-08-21,5.93,6.11,5.875,6.11,3071060,2.003338898163598
2025-08-22,6.08,6.29,6.08,6.11,3653959,0.0
2025-08-25,6.14,6.235,6.06,6.06,2878493,-0.8183306055646544
2025-08-26,6.04,6.205,6.0,6.2,1791957,2.310231023102327
2025-08-27,6.15,6.26,6.11,6.19,2484560,-0.1612903225806428
2025-08-28,6.19,6.4258,6.11,6.38,3043164,3.0694668820678395
2025-08-29,6.4,6.4,6.235,6.36,2372630,-0.31347962382444194
2025-09-02,6.265,6.525,6.265,6.4,3596757,0.6289308176100628
2025-09-03,6.52,6.645,6.39,6.51,3449942,1.7187499999999911
2025-09-04,6.49,6.57,6.38,6.57,4155924,0.9216589861751334
2025-09-05,6.57,6.62,6.435,6.52,3006831,-0.7610350076103556
2025-09-08,6.52,6.63,6.37,6.59,3950940,1.0736196319018454
2025-09-09,6.58,6.6,6.44,6.56,3143950,-0.4552352048558417
2025-09-10,6.58,6.64,6.47,6.64,2692094,1.2195121951219523
2025-09-11,6.65,6.78,6.55,6.68,3654416,0.6024096385542244
2025-09-12,6.68,6.69,6.58,6.61,2350220,-1.0479041916167553
2025-09-15,6.58,6.6199,6.465,6.53,2878628,-1.2102874432677768
2025-09-16,6.57,6.59,6.39,6.42,2880624,-1.6845329249617236
2025-09-17,6.43,6.49,6.165,6.19,2896474,-3.5825545171339512
2025-09-18,6.24,6.425,6.22,6.42,3172116,3.7156704361873905
2025-09-19,6.41,6.42,6.16,6.21,4816677,-3.2710280373831724
2025-09-22,6.21,6.275,6.2,6.22,2040727,0.16103059581320522
2025-09-23,6.19,6.22,6.09,6.15,1707550,-1.125401929260439
2025-09-24,6.17,6.205,6.1,6.15,1812838,0.0
2025-09-25,6.13,6.14,5.92,5.96,3377585,-3.0894308943089532
2025-09-26,6.0,6.035,5.485,5.54,5434764,-7.0469798657718075
2025-09-29,5.57,5.6751,5.5,5.63,3692715,1.6245487364620947
2025-09-30,5.63,5.635,5.49,5.51,3098242,-2.131438721136769
2025-10-01,5.48,5.531,5.33,5.36,2973502,-2.722323049001807
2025-10-02,5.32,5.355,5.235,5.25,2310799,-2.0522388059701524
2025-10-03,5.25,5.35,5.24,5.26,3252833,0.19047619047618536
2025-10-06,5.25,5.33,5.16,5.2,3278397,-1.1406844106463754
2025-10-07,5.195,5.23,5.085,5.17,4707816,-0.576923076923086
2025-10-08,5.19,5.21,5.02,5.06,3940793,-2.127659574468088
2025-10-09,5.05,5.16,5.0,5.06,2923591,0.0
2025-10-10,5.05,5.05,4.86,4.94,3788763,-2.371541501976271
2025-10-13,4.94,5.08,4.7101,5.01,4786738,1.4170040485829816
2025-10-14,5.0,5.065,4.84,5.01,3445221,0.0
2025-10-15,5.04,5.16,4.995,5.13,3015052,2.39520958083832
2025-10-16,5.16,5.27,5.01,5.05,2738584,-1.5594541910331383
2025-10-17,5.02,5.06,4.905,5.03,2635744,-0.3960396039603853
2025-10-20,5.08,5.18,4.925,5.1,3791997,1.391650099403563
2025-10-21,5.09,5.34,5.07,5.29,3484853,3.7254901960784403
2025-10-22,5.3,5.32,5.14,5.15,2883131,-2.6465028355387443
2025-10-23,5.17,5.2098,5.05,5.06,2799182,-1.7475728155339931
2025-10-24,5.12,5.13,5.01,5.04,2289096,-0.39525691699603405
2025-10-27,5.09,5.185,5.0621,5.1,2231385,1.1904761904761862
2025-10-28,5.1,5.14,5.04,5.11,2789215,0.19607843137257053
2025-10-29,5.1,5.11,4.91,4.96,4585470,-2.935420743639927
2025-10-30,4.95,5.11,4.92,5.01,6068810,1.0080645161290258
2025-10-31,6.43,6.73,5.86,6.06,18733329,20.958083832335326
2025-11-03,6.07,6.39,5.75,5.92,7649919,-2.310231023102305
2025-11-04,5.835,6.04,5.59,5.6,4534580,-5.405405405405405
2025-11-05,5.61,5.99,5.59,5.95,4529189,6.25
2025-11-06,5.95,5.99,5.64,5.65,2818113,-5.042016806722682
2025-11-07,5.64,5.65,5.42,5.59,2700679,-1.0619469026548756
2025-11-10,5.7,5.78,5.63,5.65,2259642,1.073345259391778
2025-11-11,5.65,6.175,5.56,6.13,4092983,8.495575221238937
2025-11-12,6.13,6.25,5.96,6.04,3190102,-1.4681892332789492
2025-11-13,6.02,6.075,5.81,5.83,1902593,-3.4768211920529812
2025-11-14,5.74,5.95,5.71,5.86,2887296,0.5145797598627766
2025-11-17,5.81,5.985,5.7403,5.91,2682593,0.8532423208191142
2025-11-18,5.87,5.89,5.7,5.81,2511655,-1.6920473773265776
2025-11-19,5.81,5.84,5.4001,5.57,3291630,-4.130808950086051
2025-11-20,5.63,5.8,5.5,5.55,2903261,-0.35906642728905647
2025-11-21,5.52,5.595,5.3,5.42,3609307,-2.3423423423423406
2025-11-24,5.41,5.5,5.38,5.5,2357498,1.4760147601476037
2025-11-25,5.57,5.89,5.53,5.72,2862240,4.0000000000000036
2025-11-26,5.83,6.02,5.66,5.93,2818285,3.6713286713286664
2025-11-28,5.95,6.0,5.76,5.8,1062640,-2.1922428330522714
2025-12-01,5.84,5.85,5.575,5.59,2606406,-3.6206896551724155
2025-12-02,5.63,5.71,5.485,5.54,1986490,-0.8944543828264706
2025-12-03,5.56,5.8298,5.56,5.77,2580586,4.1516245487364545
2025-12-04,5.81,5.93,5.73,5.92,2515614,2.5996533795493937
2025-12-05,5.87,6.2,5.77,5.98,4062151,1.013513513513531
2025-12-08,6.04,6.07,5.73,5.88,2709015,-1.6722408026755953
2025-12-09,5.86,6.0,5.8,5.8,2405724,-1.3605442176870763
2025-12-10,5.84,5.9698,5.765,5.92,3015507,2.0689655172413834
2025-12-11,5.91,6.035,5.825,5.9,2415065,-0.33783783783782884
2025-12-12,6.03,6.3,5.92,6.21,3765996,5.254237288135588
2025-12-15,6.21,6.41,6.14,6.2,2676285,-0.16103059581320522
2025-12-16,6.19,6.23,5.98,6.0,2651999,-3.2258064516129115
2025-12-17,5.97,6.06,5.78,5.79,2861015,-3.500000000000003
2025-12-18,5.79,5.89,5.655,5.68,2317254,-1.8998272884283351
2025-12-19,5.68,5.85,5.63,5.68,6549071,0.0
2025-12-22,5.775,5.9,5.71,5.84,2449010,2.8169014084507005
2025-12-23,5.83,5.84,5.72,5.8,1977970,-0.6849315068493178
2025-12-24,5.8,6.035,5.77,5.99,1511939,3.2758620689655293
2025-12-26,5.93,5.95,5.73,5.74,2047865,-4.1736227045075065
2025-12-29,5.75,5.785,5.69,5.78,2042266,0.6968641114982521
2025-12-30,5.82,5.99,5.72,5.8,2948125,0.34602076124565784
2025-12-31,5.8,5.91,5.765,5.83,3433922,0.5172413793103514
2026-01-02,5.84,6.3998,5.81,6.15,8296431,5.488850771869647
2026-01-05,6.16,6.24,5.65,6.09,7989193,-0.9756097560975729
2026-01-06,6.03,6.12,5.53,5.56,5055836,-8.70279146141215
2026-01-07,5.61,6.07,5.59,5.83,7226444,4.856115107913683
2026-01-08,6.165,7.1,6.12,7.0,15594502,20.068610634648376
2026-01-09,7.295,8.05,7.219,7.74,17909452,10.571428571428566
