date,open,high,low,close,volume,change_pct
2025-07-21,59.74,60.95,56.36,56.67,12415672,0.0
2025-07-22,55.68,57.56,51.2104,57.09,13718480,0.7411328745367873
2025-07-23,58.14,60.28,56.21,58.92,9828313,3.2054650551760266
2025-07-24,58.92,60.5399,57.78,60.06,9373505,1.9348268839103788
2025-07-25,56.25,56.8,53.0302,54.335,25294540,-9.53213453213454
2025-07-28,55.04,55.5714,53.5,54.22,8080346,-0.2116499493880597
2025-07-29,53.92,54.04,51.3,53.09,8490940,-2.084101807451122
2025-07-30,53.6,55.78,53.2317,54.29,7964489,2.2603126765869286
2025-07-31,54.49,55.47,52.93,53.17,6626180,-2.062995026708414
2025-08-01,50.9,54.58,49.72,52.46,9130733,-1.335339477148767
2025-08-04,51.23,52.7499,49.91,51.38,9022111,-2.0587113991612616
2025-08-05,51.705,52.8,49.93,52.57,6287597,2.3160762942779245
2025-08-06,54.14,54.96,51.4001,51.79,6366458,-1.4837359710861753
2025-08-07,52.03,52.12,47.1737,47.71,11892555,-7.877968719830076
2025-08-08,48.0,48.88,46.3,46.63,7173173,-2.263676378117796
2025-08-11,46.25,47.81,45.46,45.92,9531517,-1.5226249195796737
2025-08-12,51.235,55.5,49.5,49.76,21569053,8.362369337979093
2025-08-13,50.495,50.65,47.12,50.05,9534595,0.5827974276527259
2025-08-14,50.32,51.95,47.5,48.5,11624405,-3.096903096903092
2025-08-15,48.92,48.98,47.53,48.08,4503064,-0.8659793814433048
2025-08-18,48.24,50.5,47.4,48.16,9732799,0.16638935108153063
2025-08-19,47.735,48.399,44.88,44.95,8959952,-6.665282392026562
2025-08-20,44.25,45.25,42.0,45.08,7116713,0.2892102335928737
2025-08-21,44.33,45.165,43.61,44.98,3531125,-0.2218278615794156
2025-08-22,44.93,47.47,44.19,47.07,6555596,4.646509559804368
2025-08-25,47.84,51.32,47.18,50.01,10504475,6.246016571064361
2025-08-26,51.125,53.2,50.13,50.43,8474699,0.8398320335932796
2025-08-27,50.5,50.66,48.19,48.25,6266763,-4.322823716042034
2025-08-28,48.57,49.39,47.1413,48.95,4547088,1.4507772020725396
2025-08-29,48.575,49.06,46.76,48.94,5184326,-0.020429009193068115
2025-09-02,48.17,50.44,47.1015,48.76,6716201,-0.3677973028197834
2025-09-03,49.07,49.3999,45.19,45.22,6279304,-7.260049220672682
2025-09-04,45.4,45.72,41.05,41.86,14376242,-7.430340557275539
2025-09-05,42.57,43.12,41.65,42.41,7066799,1.3139034878165257
2025-09-08,36.912,40.94,36.5,40.77,20363966,-3.8670124970525688
2025-09-09,39.59,39.67,36.08,36.91,22533593,-9.467745891586965
2025-09-10,38.1,38.1,36.94,37.58,9110316,1.8152262259550245
2025-09-11,37.71,39.05,37.18,38.37,7983457,2.1021820117083534
2025-09-12,38.59,39.21,37.73,38.72,7606551,0.9121709669012379
2025-09-15,40.27,41.51,39.85,40.97,10141313,5.810950413223148
2025-09-16,41.0,41.6056,39.88,40.43,8576128,-1.3180375884793705
2025-09-17,40.28,41.97,39.5,41.19,8383501,1.8797922334899742
2025-09-18,41.93,42.1699,40.15,41.44,9240215,0.6069434328720646
2025-09-19,41.98,46.08,41.87,45.1,20744963,8.83204633204635
2025-09-22,46.765,48.93,45.22,48.85,13639028,8.314855875831494
2025-09-23,48.895,56.39,48.61,54.8,25744695,12.18014329580348
2025-09-24,54.98,56.73,53.111,54.5,11419146,-0.5474452554744436
2025-09-25,51.65,51.9799,48.02,49.39,11994285,-9.376146788990825
2025-09-26,50.21,51.48,48.11,49.09,8196313,-0.60741040696497
2025-09-29,49.96,52.38,47.82,48.84,9966819,-0.5092686901609245
2025-09-30,48.57,49.72,47.5,49.08,7575630,0.49140049140048436
2025-10-01,53.51,57.195,50.82,56.94,20062033,16.01466992665037
2025-10-02,58.53,66.83,57.41,66.16,30170759,16.19248331577099
2025-10-03,65.66,68.8,64.1,67.76,16702103,2.41837968561065
2025-10-06,69.165,74.77,68.7,72.9,16422990,7.585596221959867
2025-10-07,67.41,76.0,67.28,74.75,18223694,2.537722908093265
2025-10-08,84.81,91.4137,79.82,81.2,43321712,8.628762541806022
