date,open,high,low,close,volume,change_pct
2025-07-16,115.67,116.03,114.0401,115.73,14438970,0.0
2025-07-17,114.9,118.2,114.86,117.3,14573568,1.3566058930268632
2025-07-18,121.265,122.16,119.77,120.23,26787681,2.497868712702478
2025-07-21,119.51,122.31,118.25,120.27,17937612,0.03326956666389602
2025-07-22,120.44,121.84,119.0,120.71,11551511,0.36584351874948684
2025-07-23,122.795,123.865,121.4,122.58,12874232,1.5491674260624588
2025-07-24,121.74,123.99,120.45,121.15,11378418,-1.1665850872899286
2025-07-25,120.19,120.48,119.34,120.03,7060560,-0.9244737928188251
2025-07-28,122.03,123.45,121.53,122.15,11207373,1.7662251103890636
2025-07-29,122.49,122.87,119.05,119.36,13599708,-2.2840769545640627
2025-07-30,119.045,119.5897,116.84,117.38,12794061,-1.6588471849866004
2025-07-31,117.86,121.34,117.52,120.63,13650447,2.768785142272967
2025-08-01,118.06,118.3699,116.11,117.07,12424282,-2.9511730083727095
2025-08-04,118.35,119.49,116.86,117.5,7272111,0.36730161441873577
2025-08-05,118.1,118.65,116.87,117.04,5885633,-0.39148936170212423
2025-08-06,118.88,121.29,117.77,120.86,12079640,3.2638414217361467
2025-08-07,121.34,122.28,119.6,120.96,9480594,0.0827403607479571
2025-08-08,119.09,120.7,118.655,120.36,9763569,-0.49603174603174427
2025-08-11,120.42,121.3,118.12,118.64,12071979,-1.429046194749084
2025-08-12,118.625,122.79,118.1,122.42,11994896,3.1861092380310208
2025-08-13,126.755,127.93,125.08,126.86,19362542,3.6268583564776913
2025-08-14,123.73,123.93,121.34,122.28,15045624,-3.6102790477691937
2025-08-15,120.98,122.1888,120.68,121.26,11141846,-0.8341511285574033
2025-08-18,121.92,123.15,120.9,121.4,8550427,0.1154543955137699
2025-08-19,121.53,122.58,119.99,119.99,8106147,-1.161449752883037
2025-08-20,119.825,120.81,118.67,119.49,7095804,-0.41670139178264787
2025-08-21,117.88,119.27,117.51,118.09,8231152,-1.1716461628588082
2025-08-22,120.475,123.4,120.28,122.94,13855325,4.1070370056736305
2025-08-25,125.18,126.73,123.5,124.35,12888365,1.1469009272816022
2025-08-26,125.295,126.0,123.72,124.19,8706053,-0.12866907921189608
2025-08-27,121.2,122.515,120.79,122.23,13833096,-1.5782269103792546
2025-08-28,119.53,121.25,117.6,119.57,14501143,-2.176225149308686
2025-08-29,128.88,136.65,128.51,135.0,82165134,12.90457472610187
2025-09-02,134.52,138.83,133.06,138.55,41625384,2.6296296296296484
2025-09-03,136.7,137.77,135.58,136.45,16470529,-1.5156983038614347
2025-09-04,133.16,134.25,130.06,130.92,24730939,-4.052766581165268
2025-09-05,135.03,135.61,132.7,135.58,19202474,3.5594256034219507
2025-09-08,139.88,141.22,138.7685,141.2,20095286,4.145154152529851
2025-09-09,145.45,148.0,144.65,147.1,32792264,4.1784702549575
2025-09-10,145.42,145.92,143.23,143.93,21079914,-2.1549966009517196
2025-09-11,148.12,156.8486,147.86,155.44,50089164,7.996942958382536
2025-09-12,154.07,155.46,152.06,155.06,20903285,-0.24446731857951098
2025-09-15,159.09,159.7,156.73,158.04,23567202,1.9218367083709387
2025-09-16,158.45,163.0,157.59,162.21,26017688,2.6385725132877846
2025-09-17,165.99,167.32,163.26,166.17,29344345,2.441279822452369
2025-09-18,162.4,164.79,161.3,162.48,19529564,-2.2206174399711176
2025-09-19,164.69,166.25,162.61,162.81,18183217,0.2031019202363371
2025-09-22,163.76,167.435,163.0301,164.25,18667746,0.8844665561083431
2025-09-23,165.01,167.83,162.8,163.08,18278591,-0.7123287671232825
2025-09-24,175.98,180.16,175.0,176.44,52642314,8.192298258523412
2025-09-25,173.4,175.77,170.435,175.47,20712240,-0.5497619587395142
2025-09-26,172.0,172.76,169.7,171.91,15971139,-2.0288368382059607
2025-09-29,178.08,181.344,177.59,179.9,21576309,4.647780815543023
2025-09-30,181.66,182.15,177.1,178.73,18681536,-0.6503613118399199
2025-10-01,179.98,183.08,178.87,182.78,14966893,2.265987802831093
2025-10-02,188.58,192.67,188.3,189.34,23687832,3.5890141153299027
2025-10-03,190.51,191.07,187.1351,188.03,13990883,-0.6918770465828672
2025-10-06,186.5,189.61,186.31,187.22,10973537,-0.4307823219699025
2025-10-07,187.405,188.66,180.44,181.33,16942164,-3.146031406900962
2025-10-08,180.79,182.09,177.3,181.12,15883673,-0.11581095240721373
2025-10-09,178.42,178.78,172.3,173.68,21211553,-4.107773851590101
2025-10-10,170.03,172.93,157.25,159.01,50296820,-8.446568401658228
2025-10-13,167.78,168.79,165.03,166.81,25703058,4.90535186466261
2025-10-14,160.05,166.5,160.0,162.86,18583211,-2.367963551345831
2025-10-15,168.07,168.1,164.6,165.91,15337377,1.872774161856805
2025-10-16,166.235,168.3,164.46,165.09,10979714,-0.49424386715688495
2025-10-17,161.76,169.1,161.15,167.05,17765727,1.1872312072203073
2025-10-20,167.29,174.97,165.79,173.47,20120474,3.8431607303202497
2025-10-21,170.52,170.94,166.42,166.67,15662505,-3.9199861647547185
2025-10-22,167.0,169.67,163.58,165.86,15016541,-0.4859902801943816
2025-10-23,169.19,173.24,168.3166,171.9,12792123,3.6416254672615445
2025-10-24,174.41,176.44,173.3623,174.7,11840994,1.6288539848749117
2025-10-27,179.74,180.0,177.6204,179.45,12580845,2.718946765884378
2025-10-28,177.48,179.38,175.24,176.72,11906931,-1.5213151295625504
2025-10-29,180.295,182.5,178.09,179.97,12068930,1.839067451335441
2025-10-30,174.32,176.3803,173.78,173.93,10756273,-3.3561149080402197
2025-10-31,170.53,171.45,168.12,170.43,13181435,-2.012303800379467
2025-11-03,168.31,168.94,165.58,167.69,9702276,-1.6076981752038977
2025-11-04,162.6,166.5,162.2,164.3,9693135,-2.0215874530383315
2025-11-05,164.4,166.88,163.6,164.82,8631419,0.31649421789408105
2025-11-06,169.0,170.55,165.52,167.61,12438908,1.6927557335274956
2025-11-07,162.775,166.38,161.2162,166.34,11581220,-0.7577113537378444
2025-11-10,167.62,168.0,163.64,165.89,9348727,-0.27053023926897346
2025-11-11,164.59,165.58,160.16,160.8,11354390,-3.068298269937897
