date,open,high,low,close,volume,change_pct
2025-08-20,9.92,9.92,9.88,9.92,1173526,0.0
2025-08-21,9.91,9.915,9.91,9.91,47513,-0.10080645161290036
2025-08-22,9.91,9.91,9.91,9.91,802,0.0
2025-08-25,9.91,9.91,9.91,9.91,50255,0.0
2025-08-26,9.9,9.92,9.9,9.91,75479,0.0
2025-08-27,9.9,9.9,9.89,9.895,200223,-0.15136226034309086
2025-08-28,9.9,9.9,9.9,9.9,152,0.050530570995466206
2025-08-29,9.91,9.91,9.895,9.9,111338,0.0
2025-09-02,9.9,9.9,9.9,9.9,123538,0.0
2025-09-03,9.8922,9.905,9.8922,9.9,244103,0.0
2025-09-04,9.895,9.9,9.89,9.9,158896,0.0
2025-09-05,9.9,9.9,9.9,9.9,1027,0.0
2025-09-08,9.91,9.91,9.8935,9.8935,359690,-0.06565656565656885
2025-09-09,9.9,9.905,9.89,9.9,690823,0.06569970182443985
2025-09-10,9.905,9.91,9.905,9.905,54730,0.05050505050503418
2025-09-11,9.905,9.91,9.9,9.91,561381,0.050479555779925356
2025-09-12,9.91,9.91,9.9,9.9,325498,-0.10090817356205317
2025-09-15,9.91,9.91,9.9,9.905,288122,0.05050505050503418
2025-09-16,9.91,9.91,9.905,9.905,1675,0.0
2025-09-17,9.91,9.91,9.905,9.91,52275,0.050479555779925356
2025-09-18,9.91,9.91,9.905,9.91,140484,0.0
2025-09-19,9.9,9.91,9.9,9.9,120781,-0.10090817356205317
2025-09-22,9.9,9.9,9.9,9.9,3409,0.0
2025-09-23,9.91,9.91,9.91,9.91,8174,0.10101010101009056
2025-09-24,9.915,9.92,9.915,9.92,141557,0.10090817356205317
2025-09-25,9.95,9.95,9.92,9.92,147148,0.0
2025-09-26,9.925,9.93,9.92,9.93,46011,0.10080645161290036
2025-09-29,9.93,9.93,9.92,9.92,105154,-0.10070493454179541
2025-09-30,9.93,9.93,9.92,9.93,71197,0.10080645161290036
2025-10-01,9.925,9.93,9.925,9.93,23013,0.0
2025-10-02,9.93,9.96,9.92,9.96,198624,0.30211480362538623
2025-10-03,9.95,9.96,9.95,9.955,112090,-0.05020080321286313
2025-10-06,9.95,9.96,9.95,9.95,51232,-0.050226017076848706
2025-10-07,9.95,9.96,9.95,9.955,6122,0.050251256281419465
2025-10-08,9.955,9.96,9.955,9.96,46744,0.050226017076848706
2025-10-09,9.96,10.0,9.96,10.0,91632,0.40160642570279403
2025-10-10,9.969,9.97,9.96,9.965,45122,-0.35000000000000586
2025-10-13,9.97,10.04,9.97,9.99,30782,0.25087807325641087
2025-10-14,10.0,10.01,10.0,10.01,111477,0.2002002002001957
2025-10-15,10.01,10.02,10.01,10.01,86609,0.0
2025-10-16,10.01,10.02,10.005,10.005,40306,-0.04995004995004271
2025-10-17,10.015,10.015,10.01,10.01,4076,0.04997501249375258
2025-10-20,10.0101,10.015,10.01,10.01,16207,0.0
2025-10-21,10.01,10.02,10.01,10.02,41281,0.09990009990010762
2025-10-22,10.02,10.025,10.01,10.025,229008,0.04990019960080527
2025-10-23,10.02,10.025,10.02,10.02,436241,-0.04987531172070403
2025-10-24,10.03,10.035,10.03,10.035,313644,0.14970059880239361
2025-10-27,10.02,10.03,10.02,10.025,86358,-0.09965122072744803
2025-10-28,10.0064,10.04,10.0064,10.04,300980,0.14962593516207878
2025-10-29,10.05,10.06,10.0472,10.05,247738,0.09960159362552012
2025-10-30,10.05,10.05,10.05,10.05,15858,0.0
2025-10-31,10.06,10.06,10.035,10.05,291557,0.0
2025-11-03,10.0504,10.0504,10.02,10.02,19633,-0.29850746268658135
2025-11-04,10.05,10.055,10.05,10.055,745,0.3493013972055925
2025-11-05,10.06,10.07,10.05,10.06,1454008,0.04972650422676583
2025-11-06,10.06,10.06,10.06,10.06,100375,0.0
2025-11-07,10.06,10.0603,10.06,10.06,21571,0.0
2025-11-10,10.065,10.065,10.06,10.06,24629,0.0
2025-11-11,10.07,10.08,10.07,10.08,68224,0.1988071570576455
2025-11-12,10.06,10.07,10.06,10.07,770,-0.09920634920634885
2025-11-13,10.03,10.065,10.03,10.05,83095,-0.19860973187685316
2025-11-14,10.08,10.08,10.05,10.06,6844,0.09950248756218638
2025-11-17,10.08,10.08,10.035,10.055,208413,-0.04970178926442248
2025-11-18,10.06,10.08,10.055,10.08,30766,0.24863252113376255
2025-11-19,10.05,10.08,10.05,10.08,679,0.0
2025-11-20,10.05,10.06,10.03,10.05,665,-0.29761904761904656
2025-11-21,10.06,10.06,10.0,10.03,180026,-0.19900497512439497
2025-11-24,10.07,10.07,10.03,10.05,4087,0.1994017946161719
2025-11-25,10.05,10.06,10.03,10.05,26315,0.0
2025-11-26,10.06,10.06,10.03,10.05,12513,0.0
2025-11-28,10.06,10.06,10.02,10.03,2280,-0.19900497512439497
2025-12-01,10.03,10.04,10.01,10.025,81439,-0.049850448654031876
2025-12-02,10.06,10.06,10.02,10.03,29957,0.04987531172069293
2025-12-03,10.02,10.04,10.02,10.03,1238,0.0
2025-12-04,10.025,10.035,10.02,10.03,6936,0.0
2025-12-05,10.04,10.04,10.01,10.015,37932,-0.14955134596210673
2025-12-08,10.04,10.04,10.02,10.03,613,0.1497753369944954
2025-12-09,10.03,10.035,10.02,10.02,42874,-0.09970089730807485
2025-12-10,10.01,10.04,10.01,10.025,238728,0.04990019960080527
2025-12-11,10.01,10.03,10.01,10.02,7282,-0.04987531172070403
2025-12-12,10.03,10.03,10.0,10.02,29204,0.0
2025-12-15,10.02,10.03,10.015,10.015,67663,-0.04990019960078307
2025-12-16,10.01,10.01,10.0048,10.005,25407,-0.09985022466300064
2025-12-17,10.03,10.03,10.0,10.02,68474,0.14992503748125774
2025-12-19,10.025,10.025,10.025,10.025,114,0.04990019960080527
2025-12-22,10.025,10.085,10.0246,10.06,144274,0.3491271820448949
2025-12-23,10.06,10.0706,10.04,10.04,109293,-0.19880715705766772
2025-12-24,10.05,10.06,10.04,10.05,332446,0.09960159362552012
2025-12-26,10.0499,10.06,10.04,10.04,15252,-0.09950248756220859
2025-12-29,10.06,10.06,10.04,10.04,15060,0.0
2025-12-30,10.05,10.05,10.03,10.04,168074,0.0
