date,open,high,low,close,volume,change_pct
2025-07-16,89.225,89.345,86.01,86.32,13675625,0.0
2025-07-17,86.58,87.7207,86.465,87.51,4353347,1.3785912882298579
2025-07-18,88.34,90.2,87.74,87.81,5779680,0.34281796366129047
2025-07-21,88.175,90.35,87.55,88.81,4199722,1.1388224575788586
2025-07-22,90.12,93.37,89.395,92.45,6912378,4.098637540817474
2025-07-23,94.42,94.5,91.65,93.08,4818666,0.6814494321254694
2025-07-24,92.025,92.16,90.88,90.99,3929588,-2.2453803180060183
2025-07-25,91.5,91.5,89.96,90.8,1726624,-0.20881415540169312
2025-07-28,90.59,91.35,89.03,89.4,2877432,-1.541850220264307
2025-07-29,88.96,89.09,86.54,86.8,4450301,-2.908277404921711
2025-07-30,86.76,87.09,85.47,85.94,2543800,-0.9907834101382518
2025-07-31,86.15,88.27,85.855,87.87,4064080,2.245752850826155
2025-08-01,86.655,87.13,85.63,86.13,2619915,-1.980198019801993
2025-08-04,88.275,88.555,86.66,87.64,2782012,1.7531638221293555
2025-08-05,87.245,87.4,85.755,85.86,3224066,-2.031036056595159
2025-08-06,86.64,86.86,85.36,86.81,2926263,1.1064523643139923
2025-08-07,87.83,88.56,86.95,87.47,2608422,0.7602810736090371
2025-08-08,87.03,87.69,86.3,87.36,1985345,-0.12575740253800705
2025-08-11,87.55,87.55,84.64,85.99,6991064,-1.5682234432234488
2025-08-12,86.125,88.22,86.04,87.83,4418006,2.1397836957785854
2025-08-13,90.06,91.45,90.01,91.07,4910299,3.6889445519753927
2025-08-14,88.855,89.585,88.405,88.73,2621718,-2.5694520698363754
2025-08-15,88.87,90.17,88.78,89.85,3846363,1.2622562831060335
2025-08-18,90.33,91.27,90.12,90.13,2773789,0.31163049526989894
2025-08-19,90.525,91.0,88.95,89.07,3615423,-1.1760789970043262
2025-08-20,86.205,87.98,84.82,86.76,9324646,-2.5934658134051713
2025-08-21,86.665,88.22,86.1,87.61,3533699,0.9797141539880094
2025-08-22,88.7,90.535,88.14,90.01,4256864,2.7394133089829964
2025-08-25,92.13,93.25,91.72,91.93,6425965,2.133096322630812
2025-08-26,91.975,93.06,91.88,92.48,4429757,0.5982813009898891
2025-08-27,90.1,90.6,89.195,89.86,4298255,-2.8330449826989623
2025-08-28,89.235,90.98,88.66,90.97,2642573,1.2352548408635755
2025-08-29,92.5,96.2849,92.49,95.3,10905131,4.75981092667912
2025-09-02,92.61,96.39,92.56,96.29,7145446,1.0388247639034676
2025-09-03,96.91,97.6,95.8802,96.4,4299667,0.11423823865406302
2025-09-04,98.03,98.68,96.75,98.21,4236546,1.877593360995844
2025-09-05,99.715,102.0,99.54,101.96,7276326,3.8183484370227117
2025-09-08,109.64,111.31,107.65,108.65,13860317,6.561396626127913
2025-09-09,109.045,110.545,107.76,108.47,5395638,-0.1656695812241149
2025-09-10,110.88,111.14,106.81,107.6,4710966,-0.8020650871208623
