date,open,high,low,close,volume,change_pct
2025-07-21,23.745,25.654,23.28,23.87,732380,0.0
2025-07-22,23.74,23.83,21.5021,22.39,458330,-6.200251361541687
2025-07-23,23.02,25.4,23.0,24.72,630547,10.40643144260831
2025-07-24,24.11,24.185,20.83,21.03,783769,-14.927184466019405
2025-07-25,21.065,21.065,17.87,18.06,1056383,-14.122681883024256
2025-07-28,19.31,19.31,16.58,17.17,1724685,-4.928017718715372
2025-07-29,10.21,10.25,9.89,10.0,7578563,-41.758881770529996
2025-07-30,10.14,10.15,9.88,9.97,2573306,-0.29999999999998916
2025-07-31,9.98,10.05,9.71,9.9,1695614,-0.7021063189568744
2025-08-01,9.615,9.615,8.9,9.33,1543521,-5.757575757575761
2025-08-04,9.6401,9.78,9.2,9.34,963278,0.1071811361200492
2025-08-05,9.62,9.6725,9.2168,9.53,601257,2.0342612419700146
2025-08-06,9.42,9.95,9.2103,9.77,984625,2.5183630640083887
2025-08-07,9.995,10.1,9.6201,9.96,1096930,1.9447287615148579
2025-08-08,9.9,10.81,9.8,10.81,2405556,8.534136546184733
2025-08-11,10.82,10.82,9.72,9.92,2500932,-8.233117483811291
2025-08-12,10.04,10.05,9.25,9.38,2637608,-5.443548387096763
2025-08-13,9.56,9.95,9.48,9.77,1136314,4.157782515991459
2025-08-14,9.73,9.94,9.41,9.6,1407015,-1.7400204708290734
2025-08-15,9.7,10.335,9.53,9.99,1356822,4.062500000000013
2025-08-18,9.93,9.9607,9.16,9.24,1256136,-7.507507507507505
2025-08-19,9.4,9.41,8.2,8.51,1464448,-7.900432900432907
2025-08-20,8.7748,8.7748,8.2,8.29,817353,-2.585193889541726
2025-08-21,8.2,8.41,7.86,7.95,1454324,-4.101326899879365
2025-08-22,8.0,8.89,7.95,8.86,1433495,11.446540880503143
2025-08-25,8.82,8.82,8.35,8.38,661549,-5.417607223476284
2025-08-26,9.09,9.33,8.78,8.89,1401889,6.085918854415273
2025-08-27,8.88,9.05,8.52,8.61,828016,-3.149606299212615
2025-08-28,8.76,8.96,8.5,8.69,902112,0.9291521486643362
2025-08-29,8.67,9.09,8.34,8.77,1193983,0.9205983889528202
2025-09-02,8.52,9.24,8.32,9.2,1241581,4.903078677309014
2025-09-03,9.03,9.26,8.525,8.59,1236548,-6.630434782608685
2025-09-04,8.59,8.7314,8.28,8.39,708452,-2.328288707799764
2025-09-05,8.585,8.66,8.1954,8.52,543367,1.5494636471990342
2025-09-08,8.74,9.16,8.52,8.96,634866,5.164319248826299
2025-09-09,9.11,9.79,9.01,9.73,1154606,8.59375
2025-09-10,9.73,9.9057,9.2,9.41,953915,-3.288797533401855
2025-09-11,9.46,10.08,9.35,9.94,810927,5.632306057385761
2025-09-12,9.86,9.885,9.335,9.52,748035,-4.225352112676051
2025-09-15,9.54,10.4999,9.4,9.67,2423271,1.5756302521008347
2025-09-16,9.59,10.36,9.22,10.17,1399185,5.170630816959676
2025-09-17,10.0,10.3,9.5634,9.67,874624,-4.916420845624381
2025-09-18,9.915,10.54,9.82,10.11,1316499,4.550155118924493
2025-09-19,10.305,11.11,10.26,10.44,2710837,3.264094955489605
2025-09-22,14.3,15.88,12.25,14.7,19521779,40.80459770114941
2025-09-23,15.75,18.4,15.5,17.19,8104779,16.938775510204085
2025-09-24,18.55,20.0,16.88,20.0,6603404,16.346713205351946
2025-09-25,19.0,20.89,17.77,18.63,3765214,-6.8500000000000005
2025-09-26,18.23,19.0343,16.65,17.95,2438317,-3.6500268384326295
2025-09-29,19.22,26.72,19.05,25.55,7694204,42.33983286908079
2025-09-30,25.88,33.95,25.7814,33.65,10205113,31.70254403131114
2025-10-01,33.22,35.15,30.12,34.15,5652364,1.4858841010401136
2025-10-02,35.95,49.79,35.9,43.92,11701866,28.609077598828712
2025-10-03,41.01,46.84,39.61,40.38,5144336,-8.060109289617479
2025-10-06,41.18,43.69,37.78,41.0,3222607,1.535413571074784
2025-10-07,42.84,46.1599,36.7101,38.92,3645423,-5.073170731707311
2025-10-08,38.98,41.87,37.1,39.76,1588993,2.1582733812949506
2025-10-09,40.715,43.69,35.5,38.21,2998602,-3.8983903420523047
2025-10-10,38.655,40.4,32.6,32.94,3028307,-13.792200994504068
2025-10-13,34.235,38.0788,33.0,37.71,2614149,14.480874316939897
2025-10-14,35.925,45.48,34.62,45.04,2723840,19.437814903208682
2025-10-15,46.6,47.1754,40.0,42.79,2911207,-4.995559502664304
2025-10-16,43.6,45.48,39.0,39.15,1606930,-8.506660434681002
2025-10-17,37.42,39.4836,35.55,35.7,1893883,-8.812260536398453
2025-10-20,40.71,41.7,34.44,35.29,2846924,-1.1484593837535084
2025-10-21,35.555,35.82,31.3894,32.14,2271600,-8.926041371493332
2025-10-22,30.54,31.1299,27.05,28.1,2092315,-12.570006222775355
2025-10-23,28.04,29.85,27.26,28.58,1040289,1.708185053380773
2025-10-24,30.4,30.73,28.6,28.84,1357889,0.9097270818754444
2025-10-27,30.2,31.5088,27.4,29.06,1747504,0.7628294036061023
2025-10-28,28.76,29.7062,26.41,26.74,1240478,-7.98348245010324
2025-10-29,27.0,27.335,25.66,26.03,983979,-2.6551982049364153
2025-10-30,25.21,25.705,22.95,22.97,1166065,-11.755666538609312
2025-10-31,24.0109,28.09,23.42,27.67,1984295,20.46147148454507
2025-11-03,27.2,28.5,25.16,26.88,2022364,-2.8550777014817563
2025-11-04,25.2,26.64,21.21,21.58,2087411,-19.717261904761905
2025-11-05,22.78,25.16,22.0,23.86,1412325,10.565338276181645
2025-11-06,23.32,23.72,21.13,21.31,1151654,-10.687342833193636
2025-11-07,20.8,23.75,20.16,23.66,1696852,11.027686532144543
2025-11-10,25.0,25.0,19.9,20.96,2956484,-11.411665257819104
2025-11-11,20.64,22.287,19.56,21.47,2063265,2.4332061068702115
2025-11-12,22.32,22.8,20.2601,21.61,2038707,0.652072659524916
2025-11-13,21.54,21.7,18.13,18.52,2881979,-14.298935677926883
2025-11-14,16.8,19.65,16.69,18.15,2077216,-1.9978401727861805
2025-11-17,17.6635,18.3501,16.61,16.79,1214310,-7.493112947658398
2025-11-18,17.3,17.94,16.4,17.12,1160420,1.9654556283502211
2025-11-19,18.0,18.07,16.6319,16.98,956868,-0.8177570093457986
2025-11-20,17.62,17.95,14.67,14.76,1737936,-13.07420494699647
2025-11-21,15.0,15.115,13.35,13.97,1441261,-5.3523035230352285
2025-11-24,14.46,15.95,14.1,15.6,1489112,11.667859699355754
2025-11-25,15.8,15.9201,14.51,15.37,901302,-1.4743589743589802
2025-11-26,15.7,15.76,14.58,14.89,1047946,-3.122966818477546
2025-11-28,15.44,16.525,15.38,15.77,807169,5.910006715916705
2025-12-01,15.0,15.01,13.55,13.85,1144601,-12.17501585288523
2025-12-02,14.345,14.62,13.8,13.88,1498704,0.21660649819494893
2025-12-03,13.98,14.94,13.535,14.67,1329933,5.691642651296824
2025-12-04,14.43,15.66,14.04,15.6,842078,6.33946830265848
2025-12-05,15.3464,15.48,13.6006,14.0,2205976,-10.256410256410254
2025-12-08,14.35,14.36,12.435,12.76,1832660,-8.857142857142863
2025-12-09,12.45,13.88,12.35,13.07,1274780,2.4294670846394917
2025-12-10,13.0,13.41,12.5,12.85,882977,-1.6832440703902107
2025-12-11,12.68,13.078,11.855,12.66,1207134,-1.478599221789878
2025-12-12,12.7,12.86,11.54,11.56,1015247,-8.688783570300151
2025-12-15,11.58,11.65,10.5,10.68,1417534,-7.61245674740485
2025-12-16,10.745,11.38,10.6737,11.15,881922,4.400749063670428
2025-12-17,11.27,11.47,9.95,10.01,1166846,-10.224215246636781
2025-12-18,10.76,11.07,10.22,10.28,798974,2.6973026973026837
2025-12-19,10.75,10.81,10.1,10.56,1502675,2.723735408560324
2025-12-22,11.37,11.68,10.5,10.57,1520507,0.09469696969697239
2025-12-23,10.4,10.5554,10.01,10.34,868145,-2.1759697256386046
2025-12-24,10.25,10.89,10.1001,10.8,440037,4.448742746615086
2025-12-26,11.02,11.02,10.36,10.54,760597,-2.4074074074074248
2025-12-29,10.4685,11.0,10.2,10.42,951069,-1.1385199240986688
2025-12-30,10.5,10.69,10.15,10.16,826285,-2.49520153550864
2025-12-31,10.25,10.4,9.8,10.04,818765,-1.1811023622047334
2026-01-02,10.39,11.42,10.051,11.25,1129145,12.05179282868527
2026-01-05,12.36,15.3,11.99,14.79,3818123,31.466666666666665
2026-01-06,15.6,15.8,14.0,15.46,2993403,4.5300878972278635
2026-01-07,14.33,15.87,14.02,15.14,1303627,-2.069857697283317
2026-01-08,14.8,16.93,14.14,16.46,1945328,8.71862615587846
2026-01-09,16.87,17.1516,15.81,16.28,1095019,-1.0935601458080146
2026-01-12,16.38,20.2,15.5,19.21,3174193,17.997542997542993
2026-01-13,19.11,20.1547,18.3,18.72,2177837,-2.550754815200429
2026-01-14,18.76,21.78,17.92,21.01,2530181,12.232905982906006
