date,open,high,low,close,volume,change_pct
2025-07-21,1110.23,1110.71,1093.02,1093.02,445878,0.0
2025-07-22,1093.28,1103.8061,1086.18,1100.39,580871,0.6742786042341464
2025-07-23,1104.5,1122.734,1100.5558,1120.37,653555,1.8157198811330266
2025-07-24,1117.14,1125.76,1113.64,1118.37,539549,-0.17851245570659202
2025-07-25,1121.2746,1130.66,1117.755,1123.28,516333,0.43903180521653873
2025-07-28,1122.5,1125.69,1115.0906,1117.82,299397,-0.4860764902784753
2025-07-29,1124.0,1127.94,1114.75,1121.53,422041,0.33189601188026163
2025-07-30,1114.955,1126.55,1109.44,1114.65,372449,-0.6134477009085648
2025-07-31,1115.6,1120.9513,1103.24,1106.01,498576,-0.7751312071053729
2025-08-01,1087.0,1097.66,1077.2,1091.8,673393,-1.2847985099592285
2025-08-04,1095.25,1116.06,1095.25,1116.06,503176,2.2220186847407897
2025-08-05,1120.0,1122.74,1099.52,1109.64,481394,-0.5752378904359867
2025-08-06,1109.1154,1122.14,1105.975,1120.54,404963,0.9823005659493012
2025-08-07,1129.3,1131.93,1108.16,1112.83,381537,-0.688061113391758
2025-08-08,1115.11,1126.17,1114.55,1124.97,427904,1.0909123585812752
2025-08-11,1125.0,1133.075,1121.78,1127.93,575724,0.26311812759451936
2025-08-12,1132.595,1161.5,1131.5712,1159.61,669217,2.808684936121897
2025-08-13,1165.22,1171.89,1148.0,1160.03,570861,0.03621907365407573
2025-08-14,1159.46,1162.5,1144.83,1160.16,407645,0.01120660672568885
2025-08-15,1162.0,1163.52,1134.43,1135.01,582235,-2.1678044407667962
2025-08-18,1126.82,1141.0,1126.82,1136.12,405860,0.09779649518506517
2025-08-19,1128.29,1135.0,1121.8,1128.47,611810,-0.6733443650318471
2025-08-20,1122.265,1132.835,1114.0101,1128.46,573228,-0.0008861555911954255
2025-08-21,1126.55,1129.0,1118.8273,1124.75,275084,-0.3287666377186693
2025-08-22,1129.915,1157.7499,1126.0001,1148.17,433703,2.0822404978884324
2025-08-25,1145.695,1150.0,1136.57,1137.1,415052,-0.9641429405053414
2025-08-26,1132.8557,1142.41,1125.53,1139.8,580410,0.23744613490459532
2025-08-27,1138.32,1144.78,1131.56,1131.63,310178,-0.7167924197227449
2025-08-28,1131.84,1137.9999,1127.12,1130.48,475204,-0.10162332211058889
