date,open,high,low,close,volume,change_pct
2025-07-21,92.57,97.8,92.57,94.29,658375,0.0
2025-07-22,93.77,94.29,91.56,92.33,311151,-2.0786933927245843
2025-07-23,93.07,95.365,92.95,93.04,295825,0.7689808296328371
2025-07-24,93.75,94.98,92.5,94.24,207396,1.2897678417884695
2025-07-25,94.71,96.34,94.17,95.81,243024,1.6659592529711498
2025-07-28,97.27,100.7025,97.27,98.93,490941,3.256445047489831
2025-07-29,100.49,101.73,97.92,98.24,441256,-0.6974628525220017
2025-07-30,98.77,100.14,97.8265,98.35,256330,0.11197068403909771
2025-07-31,97.2,98.68,93.96,94.15,554795,-4.2704626334519435
2025-08-01,90.83,96.0,90.26,95.5,488714,1.4338821030270843
2025-08-04,96.38,98.87,95.62,96.77,432477,1.329842931937164
2025-08-05,89.99,94.1579,87.0001,88.35,1144431,-8.701043711894185
2025-08-06,86.3,86.425,80.465,81.39,965793,-7.877758913412558
2025-08-07,82.5,83.22,81.12,81.61,248600,0.2703034770856316
2025-08-08,82.86,84.4653,80.28,83.14,279581,1.8747702487440288
2025-08-11,84.3,86.685,84.18,84.76,335566,1.9485205677171047
2025-08-12,85.33,87.13,84.552,86.53,203998,2.0882491741387454
2025-08-13,86.82,88.81,86.255,88.13,282581,1.8490696868138201
2025-08-14,87.62,88.35,86.42,87.05,336351,-1.2254623851128965
2025-08-15,86.46,86.46,82.9,83.94,336370,-3.572659391154509
2025-08-18,83.77,85.57,83.6511,85.51,194237,1.8703836073385771
2025-08-19,85.15,85.15,83.23,83.36,233170,-2.514325809846807
2025-08-20,83.55,83.55,80.63,82.42,303575,-1.1276391554702503
2025-08-21,81.0,82.77,80.7,81.74,244315,-0.825042465421022
2025-08-22,81.4,84.58,81.32,82.51,176471,0.9420112551994153
2025-08-25,81.905,83.8,81.9,82.58,159165,0.08483820143012633
2025-08-26,82.39,84.98,82.39,84.83,172417,2.72463066117703
2025-08-27,85.55,88.6262,85.02,86.9,333854,2.440174466580225
2025-08-28,87.82,89.62,87.5,87.82,355471,1.0586881472957277
2025-08-29,86.58,87.0,82.28,82.71,405726,-5.818720109314501
2025-09-02,79.92,80.86,77.16,78.46,598952,-5.138435497521465
2025-09-03,78.44,78.44,75.75,76.73,651256,-2.2049451950038157
2025-09-04,77.0,78.66,76.36,78.2,291242,1.9158086797862683
2025-09-05,79.01,79.7,77.68,78.75,247857,0.7033248081841359
2025-09-08,80.05,81.29,79.965,81.075,239221,2.9523809523809508
2025-09-09,81.41,83.7,81.41,82.73,193767,2.0413197656490967
2025-09-10,82.95,83.65,80.61,81.21,195187,-1.837302066964841
2025-09-11,81.74,84.8,81.4826,84.11,169096,3.570988794483454
2025-09-12,83.055,87.85,82.59,87.02,1953137,3.4597550826298784
2025-09-15,87.35,88.64,87.12,87.65,477877,0.7239715008044323
2025-09-16,88.34,88.54,85.38,85.84,531576,-2.065031374786086
2025-09-17,86.35,89.08,85.6,89.0,629534,3.6812674743709195
2025-09-18,92.8,101.625,92.8,101.15,1717554,13.651685393258429
2025-09-19,102.0,102.0,97.49,97.61,340174,-3.4997528423133972
2025-09-22,96.36,104.39,96.23,102.64,846173,5.153160536830237
2025-09-23,102.18,106.69,102.18,105.13,1146225,2.4259547934528447
2025-09-24,103.61,106.0,100.7701,102.5,632512,-2.5016646057262393
2025-09-25,101.76,104.25,99.91,103.36,600598,0.8390243902439032
2025-09-26,103.47,104.78,101.46,104.63,350974,1.228715170278627
2025-09-29,105.59,106.99,102.335,103.88,400516,-0.7168116219057663
2025-09-30,103.55,105.1,102.09,105.05,386435,1.126299576434353
2025-10-01,103.55,113.71,103.02,113.42,659007,7.967634459781059
2025-10-02,116.18,118.5,115.1,117.51,755006,3.6060659495679825
2025-10-03,117.6,119.1,113.02,113.33,782897,-3.5571440728448644
2025-10-06,116.32,119.2647,115.55,116.68,270834,2.955969293214511
2025-10-07,117.2,118.0,111.61,111.78,437845,-4.199520054850881
2025-10-08,112.08,117.28,111.2,117.09,739256,4.750402576489532
2025-10-09,117.0,117.0,113.81,114.1,391337,-2.5535912545904926
2025-10-10,115.51,116.35,109.455,110.05,337895,-3.549517966695881
2025-10-13,115.64,120.2623,115.4,118.97,427841,8.105406633348489
2025-10-14,115.52,125.1,115.52,121.03,554795,1.7315289568798908
