date,open,high,low,close,volume,change_pct
2025-07-14,72.4,75.41,72.0,75.14,6277205,0.0
2025-07-15,76.05,76.56,73.63,75.8,6068373,0.8783603939313211
2025-07-16,76.27,76.75,74.51,76.19,4388633,0.5145118733509202
2025-07-17,76.0,78.51,75.413,77.91,5384806,2.2575141094631768
2025-07-18,78.05,80.05,77.38,78.97,4633373,1.3605442176870763
2025-07-21,79.29,79.35,76.21,77.08,5126437,-2.39331391667722
2025-07-22,76.51,78.36,75.45,77.9,5325720,1.0638297872340496
2025-07-23,77.5,79.9,77.44,79.15,4908987,1.6046213093709794
2025-07-24,79.15,80.06,78.87,79.92,3695683,0.9728363866077006
2025-07-25,79.53,79.92,77.71,79.6,3508713,-0.4004004004004136
2025-07-28,79.88,79.9,77.9,79.14,3534894,-0.5778894472361684
2025-07-29,79.17,80.32,78.18,78.69,3714273,-0.5686125852918944
2025-07-30,77.81,79.05,76.8,77.75,4376883,-1.1945609353157915
2025-07-31,79.95,80.055,73.86,74.93,7921529,-3.627009646302237
2025-08-01,72.9,73.625,70.8201,72.93,6061785,-2.669157880688644
2025-08-04,73.455,75.38,73.0,75.26,3438221,3.1948443713149643
2025-08-05,75.6,76.57,73.68,74.59,4324913,-0.8902471432367776
2025-08-06,75.44,77.56,74.84,76.55,4451907,2.627698082852925
2025-08-07,76.88,76.88,75.1301,76.37,3331952,-0.23514043109078564
2025-08-08,76.835,78.71,76.7,76.92,3768997,0.7201780803980595
2025-08-11,76.51,78.185,74.74,77.67,3296193,0.975039001560063
2025-08-12,77.66,78.87,76.96,78.43,3088359,0.9784987768765463
2025-08-13,78.48,78.96,73.6,75.6,5341306,-3.6083131454800577
2025-08-14,75.35,77.145,75.18,75.55,3002769,-0.0661375661375585
2025-08-15,75.3,75.61,73.36,75.6,2663128,0.06618133686300265
2025-08-18,75.42,76.95,74.8,76.82,2658836,1.6137566137566228
2025-08-19,76.565,76.82,73.29,73.82,4162402,-3.9052330122363976
2025-08-20,72.66,73.09,68.96,70.47,8106269,-4.538065564887561
2025-08-21,70.79,71.515,70.47,71.43,3032884,1.3622818220519584
2025-08-22,73.64,75.58,72.745,74.91,4584034,4.871902561948738
2025-08-25,75.17,75.96,74.45,74.97,2861873,0.08009611533841277
2025-08-26,74.94,77.32,74.65,76.51,2837045,2.054154995331481
2025-08-27,76.45,76.45,75.0927,75.28,1862229,-1.6076329891517527
2025-08-28,75.66,79.42,75.47,78.63,3989881,4.450053134962806
2025-08-29,80.99,83.02,76.27,77.39,6985339,-1.57700623171817
2025-09-02,74.41,75.6891,73.2,75.42,4950744,-2.5455485204806783
2025-09-03,76.0,77.67,75.42,77.17,3618284,2.3203394325112647
2025-09-04,76.93,77.96,75.73,76.31,2194858,-1.1144227031229748
2025-09-05,77.16,77.789,74.63,75.85,2481182,-0.6028043506748904
2025-09-08,76.78,77.47,74.99,77.24,2469521,1.8325642715886659
2025-09-09,77.88,79.54,77.01,77.39,3714552,0.19419989642672775
2025-09-10,78.1,81.575,77.99,79.47,4657137,2.6876857475125915
2025-09-11,79.64,81.39,78.69,79.89,3701169,0.5285013212533052
2025-09-12,79.48,79.75,77.525,78.11,3651142,-2.228063587432716
2025-09-15,78.48,86.37,78.22,86.32,10202854,10.510818077070795
2025-09-16,86.33,86.33,79.71,80.23,7893270,-7.055143651529184
2025-09-17,81.85,82.34,80.31,81.81,3893570,1.9693381528106624
2025-09-18,82.7,83.3,81.34,82.61,4374391,0.9778755653343074
2025-09-19,83.0,86.84,82.4,86.18,7982567,4.321510712988741
2025-09-22,86.8,87.1467,82.95,86.31,6029859,0.15084706428405426
2025-09-23,86.71,88.45,85.13,86.89,4657449,0.6719962924342404
2025-09-24,87.78,89.13,82.95,83.09,6363620,-4.373345609391177
2025-09-25,80.375,86.455,79.3,85.66,6950674,3.093031652425071
2025-09-26,85.66,88.0,84.78,85.58,3414201,-0.09339248190520788
2025-09-29,87.23,87.67,83.93,84.46,3541891,-1.308716989950931
2025-09-30,83.6542,84.6,82.53,83.86,4494121,-0.7103954534690926
2025-10-01,83.09,84.41,82.39,83.49,3961523,-0.44121154304794796
2025-10-02,84.21,85.755,82.72,84.2,3300675,0.8504012456581833
2025-10-03,84.605,86.0,83.53,84.17,3528536,-0.035629453681707
2025-10-06,86.36,88.65,85.145,85.31,6015722,1.3544018058690765
2025-10-07,86.2,89.03,84.52,86.45,4003213,1.3363028953229383
2025-10-08,87.305,88.48,85.14,86.21,3552172,-0.27761711972239533
2025-10-09,87.15,87.87,85.77,86.73,3920442,0.6031782855817402
2025-10-10,87.405,91.58,86.35,86.65,7190302,-0.09224028594488898
2025-10-13,90.125,94.36,89.73,92.15,6821206,6.347374495095215
2025-10-14,89.7,95.98,87.28,93.19,7770522,1.1285946825827287
2025-10-15,96.0,97.79,90.2811,93.46,6175147,0.2897306577958947
2025-10-16,94.925,95.97,90.402,91.13,4921401,-2.4930451530066344
2025-10-17,87.79,89.53,85.0,86.59,6135082,-4.981893997585862
2025-10-20,87.65,87.695,84.79,85.9,3758507,-0.7968587596720145
2025-10-21,84.3,84.32,80.53,82.77,5869531,-3.6437718277066433
2025-10-22,81.915,84.64,80.7527,83.54,5320065,0.9302887519632819
2025-10-23,84.66,87.0812,83.59,86.3,4536298,3.303806559731859
2025-10-24,87.0,89.19,86.27,88.13,4036724,2.120509849362695
2025-10-27,87.75,88.98,84.285,86.62,4116063,-1.7133779643708102
2025-10-28,100.53,110.155,98.0,106.91,24708035,23.42415146617409
2025-10-29,104.16,109.66,104.11,106.67,8371126,-0.22448788700776268
2025-10-30,105.815,107.1999,103.67,104.72,4575195,-1.82806787287898
2025-10-31,105.97,106.74,100.75,102.21,5691033,-2.3968678380443142
2025-11-03,103.24,103.65,100.37,100.85,4805314,-1.3305938753546576
2025-11-04,97.32,98.71,95.55,96.95,5005731,-3.867129400099145
2025-11-05,95.26,97.9,93.0,95.24,4928508,-1.7637957710159968
2025-11-06,94.3311,94.67,89.42,90.24,7109454,-5.249895002099958
2025-11-07,88.24,92.53,86.4109,92.26,6592308,2.238475177304977
2025-11-10,96.24,96.96,93.5,94.24,4873382,2.1461088228918124
2025-11-11,92.94,93.43,90.59,92.52,3301003,-1.825127334465193
2025-11-12,93.05,94.02,90.72,92.57,2737012,0.0540423692174663
2025-11-13,91.865,92.28,85.69,85.98,4771874,-7.1189370206330205
2025-11-14,83.3,86.36,82.195,84.76,4893256,-1.4189346359618549
2025-11-17,84.045,84.92,81.875,83.03,3938432,-2.041057102406796
2025-11-18,81.3025,84.27,81.3025,83.3,5055826,0.3251836685535192
2025-11-19,84.2,88.06,83.6,86.24,6242184,3.52941176470587
2025-11-20,87.66,89.8686,81.71,81.98,6292871,-4.939703153988861
2025-11-21,81.8,82.0,77.7,79.44,7149955,-3.098316662600642
2025-11-24,79.58,83.48,79.16,83.34,3923117,4.909365558912393
2025-11-25,84.0,87.6701,82.43,87.35,5827190,4.811615070794328
2025-11-26,88.9,89.66,87.7,88.81,2924823,1.6714367487120851
2025-11-28,89.0,89.31,88.03,88.51,1747849,-0.3377997973201152
2025-12-01,87.26,88.69,86.38,87.53,2507810,-1.1072195232177173
2025-12-02,88.1,90.39,87.6207,88.23,2540308,0.7997258082943048
2025-12-03,88.225,90.04,86.4,89.45,1890604,1.3827496316445531
2025-12-04,89.43,94.53,89.28,94.09,4184952,5.18725544997205
2025-12-05,95.0,95.0,90.66,91.27,4654509,-2.9971304070570803
2025-12-08,91.66,92.69,90.66,90.9,2608272,-0.40539059932068744
2025-12-09,90.0,93.88,89.7576,93.36,3192823,2.7062706270627013
2025-12-10,93.0,93.84,89.01,93.76,3792473,0.42844901456726703
2025-12-11,93.19,96.57,92.26,95.74,3263136,2.111774744027284
2025-12-12,95.43,95.98,88.79,91.49,5592264,-4.439105911844576
2025-12-15,92.4,93.49,89.44,89.78,3856830,-1.869056727511198
2025-12-16,88.96,89.94,86.74,87.05,3986422,-3.040766317665411
2025-12-17,86.98,88.24,84.29,84.85,3535365,-2.527283170591621
2025-12-18,86.3,88.45,86.13,87.58,2785827,3.217442545668825
2025-12-19,88.26,91.68,87.94,89.99,6289361,2.751769810459015
2025-12-22,92.075,94.88,90.92,91.71,3302609,1.9113234803867174
2025-12-23,91.855,95.1,91.71,93.41,2167277,1.8536691745720146
2025-12-24,93.08,94.28,92.65,93.34,1151162,-0.07493844342146838
2025-12-26,93.92,94.3,92.5,92.84,1322931,-0.5356760231412072
2025-12-29,91.835,95.665,91.61,92.84,2005456,0.0
2025-12-30,93.215,93.6416,91.23,91.37,2140704,-1.5833692373976693
2025-12-31,91.15,92.7,90.8904,91.49,1598154,0.13133413593082732
2026-01-02,92.82,99.08,92.82,98.56,4768223,7.7276205049732205
2026-01-05,100.17,100.89,96.427,100.17,4887163,1.6335227272727293
2026-01-06,101.2,102.81,99.16,102.09,3797914,1.91674153938306
2026-01-07,102.3,104.15,101.0,103.94,3965537,1.8121265550004928
2026-01-08,104.47,106.215,102.83,105.76,4966561,1.7510101981912607
