date,open,high,low,close,volume,change_pct
2025-07-21,324.42,325.64,316.65,317.88,1937555,0.0
2025-07-22,318.0,318.7424,311.395,317.79,1780119,-0.028312570781419133
2025-07-23,329.39,343.23,322.8,323.7,3821438,1.8597186821485812
2025-07-24,325.08,326.92,320.8958,321.67,1818050,-0.6271238801359158
2025-07-25,322.5,328.28,321.03,327.35,1383945,1.765784810520099
2025-07-28,330.085,331.9999,322.5,328.66,1701437,0.40018329005651054
2025-07-29,332.0,339.24,328.7,330.52,2695980,0.5659344002920896
2025-07-30,331.5,348.1345,331.5,345.27,3026626,4.46266489168583
2025-07-31,349.48,354.01,344.275,347.84,3581050,0.7443450053581158
2025-08-01,336.435,343.3799,327.01,340.77,2871922,-2.032543698252065
2025-08-04,345.13,357.0,344.576,354.89,2899262,4.143557238019779
2025-08-05,352.03,353.777,338.96,343.57,3380492,-3.1897207585449006
2025-08-06,343.62,344.06,332.3,338.46,2946520,-1.4873242716185953
2025-08-07,335.26,345.25,322.0,336.41,3632033,-0.6056845712934966
2025-08-08,338.71,342.2,332.25,335.765,1961007,-0.191730329062767
2025-08-11,336.24,338.3,328.0,331.49,1829803,-1.273211919050521
2025-08-12,333.05,339.73,330.92,338.57,1891814,2.1358110350236714
2025-08-13,339.765,342.75,322.5001,327.63,2788126,-3.2312372626044805
2025-08-14,325.44,333.59,323.26,326.21,2020663,-0.43341574336904776
2025-08-15,327.89,327.9357,319.68,322.23,1749115,-1.220072959136742
2025-08-18,322.07,326.0,319.78,322.77,1860313,0.16758216180987606
2025-08-19,320.85,321.799,313.85,317.235,2122305,-1.7148433869318636
2025-08-20,313.925,315.53,304.78,314.21,2638923,-0.9535517833782592
2025-08-21,314.98,318.2,310.7,312.52,1622647,-0.5378568473313972
2025-08-22,313.92,318.0,309.2,310.16,1856346,-0.755151670293086
2025-08-25,310.41,317.62,309.985,310.68,1386594,0.16765540366261433
2025-08-26,310.77,318.4799,310.31,316.58,1673989,1.8990601261748452
2025-08-27,316.35,319.49,314.14,315.94,1369947,-0.2021605913197222
2025-08-28,317.3,323.97,315.8,319.55,1751464,1.1426220168386347
2025-08-29,317.35,317.99,305.89,307.98,2326557,-3.62071663276482
2025-09-02,300.49,307.455,296.9901,307.19,2426932,-0.256510162997603
2025-09-03,306.52,309.59,303.92,308.48,1374657,0.41993554477686157
2025-09-04,310.0,312.16,307.25,309.06,1758005,0.188018672199175
2025-09-05,311.05,312.99,293.155,301.58,2821202,-2.4202420242024236
2025-09-08,304.21,304.79,296.36,298.82,2333716,-0.9151800517275599
2025-09-09,300.61,305.3,296.35,300.82,2081588,0.6692992436918566
2025-09-10,308.5,328.3013,308.5,320.0,4040714,6.375905857323327
2025-09-11,320.01,322.2612,316.11,318.0,2263819,-0.6249999999999978
2025-09-12,318.06,325.41,315.2806,323.48,1415234,1.7232704402515786
2025-09-15,325.75,334.86,324.61,330.42,2049347,2.1454185730184205
2025-09-16,332.04,332.86,321.5075,322.91,2373960,-2.2728648386901473
2025-09-17,322.53,326.2,316.1838,321.275,2171849,-0.5063330339723282
2025-09-18,325.18,330.13,319.59,322.71,1732361,0.44665784763830985
2025-09-19,325.71,331.86,319.76,330.9,3416445,2.537882309194006
2025-09-22,332.97,347.33,326.5,347.12,2879884,4.901783016016936
2025-09-23,346.75,348.44,336.14,336.65,2522736,-3.016247983406317
2025-09-24,339.6889,344.4,335.5001,339.13,1735230,0.7366701321847691
2025-09-25,335.0,336.56,325.06,326.33,2447813,-3.7743638132869406
2025-09-26,328.72,332.8399,326.44,331.26,1263516,1.5107406612937746
2025-09-29,334.9,340.545,322.56,334.265,2286735,0.9071424258890293
2025-09-30,334.92,336.78,327.21,329.07,2159639,-1.5541561336065657
2025-10-01,326.05,352.25,323.8801,350.9,2818449,6.633846901874985
2025-10-02,352.25,357.68,343.21,357.46,2161782,1.8694784838985568
2025-10-03,358.87,376.78,358.69,360.0,3355176,0.7105690147149346
2025-10-06,367.63,368.5,353.0,364.1,2159899,1.1388888888888893
2025-10-07,363.13,371.31,355.38,358.16,2167683,-1.631419939577039
2025-10-08,368.81,376.4988,363.71,371.0,3342846,3.584989948626305
2025-10-09,374.23,386.86,372.75,383.23,2888770,3.296495956873313
2025-10-10,381.0,392.18,367.38,368.49,3084565,-3.8462542076559747
2025-10-13,376.32,387.0,375.25,380.91,3270521,3.3705120898803287
2025-10-14,374.7,395.14,366.1595,389.56,3110937,2.270877635136892
2025-10-15,396.975,412.7,395.7001,403.95,3537707,3.6939110791662344
2025-10-16,406.9,411.69,394.72,396.53,3062349,-1.8368609976482264
2025-10-17,391.3,402.01,382.83,386.5,2882895,-2.529442917307634
2025-10-20,395.94,398.5,368.1301,370.0,3072907,-4.269081500646832
2025-10-21,369.365,369.5483,355.2,358.79,2753661,-3.0297297297297243
2025-10-22,361.0,362.9396,343.47,350.06,3571753,-2.4331781822235943
2025-10-23,354.0,367.535,353.79,365.8,2317537,4.496372050505637
2025-10-24,376.43,391.1159,373.6,389.19,2999903,6.394204483324217
2025-10-27,392.75,395.6331,384.15,391.15,2642284,0.5036100619234762
2025-10-28,397.03,401.0,375.5,384.95,2865617,-1.5850696663683994
2025-10-29,382.08,406.0425,380.55,401.43,2615883,4.281075464346018
2025-10-30,397.15,400.98,381.99,382.48,2218183,-4.72062377002217
2025-10-31,388.0,388.47,372.147,377.0,2383796,-1.4327546538381086
2025-11-03,380.92,384.981,375.16,377.71,2506681,0.1883289124668286
2025-11-04,368.79,374.44,360.48,362.82,3192198,-3.9421778613221714
2025-11-05,364.93,370.98,357.06,363.25,3228316,0.11851606857395947
2025-11-06,360.96,363.88,348.55,351.3,3909775,-3.2897453544390887
2025-11-07,335.48,359.1,332.12,358.39,5775306,2.018218047253062
2025-11-10,367.2,378.78,352.67,360.93,2436265,0.7087251318396159
2025-11-11,359.62,363.56,348.43,351.67,1830051,-2.565594436594354
2025-11-12,354.63,354.99,346.2,354.02,1994308,0.6682401114681324
2025-11-13,350.23,350.99,333.655,335.74,3604266,-5.163550081916268
2025-11-14,328.65,351.98,326.83,338.52,2732825,0.8280216834455123
2025-11-17,336.685,347.99,334.08,338.67,2129469,0.044310528181501496
2025-11-18,333.75,344.55,333.75,339.35,3209878,0.20078542534029964
2025-11-19,344.275,362.715,342.93,357.48,3337706,5.34256667157802
2025-11-20,368.25,379.2,345.0,345.78,4414981,-3.272910372608273
2025-11-21,345.28,345.28,330.86,338.11,2948337,-2.2181734050552238
2025-11-24,339.75,355.5,336.77,354.105,2388326,4.730708940877237
2025-11-25,353.46,355.54,339.34,351.595,1635778,-0.7088293020431791
2025-11-26,355.39,361.14,355.0,359.09,1396219,2.131714045990396
2025-11-28,362.0,366.3084,359.6,364.36,1072967,1.467598652148494
2025-12-01,359.33,361.29,354.0,359.05,2012469,-1.4573498737512347
2025-12-02,362.535,368.71,358.945,363.67,1973995,1.28672886784571
2025-12-03,361.19,365.4699,355.2101,361.26,1559515,-0.6626887012951332
2025-12-04,360.98,374.45,358.5,368.62,2029840,2.0373138459835127
2025-12-05,369.165,370.07,357.12,359.82,2018171,-2.387282296131521
2025-12-08,362.765,364.25,354.0,357.67,1637866,-0.597520982713573
2025-12-09,356.2,364.66,354.01,359.15,1360279,0.4137892470713167
2025-12-10,358.55,363.5181,346.4,362.07,2382191,0.8130307670889625
2025-12-11,360.75,380.0,354.34,378.6,2530253,4.565415527384209
2025-12-12,379.0,380.78,351.22,351.98,3778565,-7.031167459059695
2025-12-15,356.65,360.96,350.67,357.14,2628771,1.4659923859310142
2025-12-16,356.06,368.18,350.33,365.625,2496791,2.37581900655206
