date,open,high,low,close,volume,change_pct
2025-07-17,6.2,6.54,6.06,6.42,31767046,0.0
2025-07-18,6.48,6.7397,6.0407,6.36,27747047,-0.9345794392523255
2025-07-21,6.415,6.84,6.22,6.25,26757502,-1.7295597484276781
2025-07-22,6.28,7.1,5.95,6.94,73607703,11.040000000000006
2025-07-23,6.76,6.77,6.28,6.68,39045745,-3.746397694524506
2025-07-24,6.68,6.8699,6.48,6.65,40318440,-0.44910179640718084
2025-07-25,6.55,6.57,6.31,6.47,16774537,-2.7067669172932463
2025-07-28,6.59,6.635,6.08,6.16,17435806,-4.791344667697062
2025-07-29,6.16,6.19,5.6401,5.68,21843858,-7.792207792207795
2025-07-30,5.8,5.86,5.3,5.45,16052861,-4.049295774647876
2025-07-31,5.61,5.74,5.42,5.46,18624875,0.18348623853210455
2025-08-01,5.032,5.25,4.92,4.93,18975194,-9.706959706959717
2025-08-04,4.995,5.205,4.93,5.19,17303268,5.273833671399619
2025-08-05,5.122,5.145,4.91,5.01,15854789,-3.4682080924855585
2025-08-06,5.04,5.21,4.95,5.21,17438232,3.9920159680638667
2025-08-07,5.18,5.29,4.82,4.87,20704692,-6.525911708253352
2025-08-08,4.96,4.98,4.5501,4.75,18448351,-2.4640657084188944
2025-08-11,4.935,5.1,4.74,4.76,18901015,0.21052631578946102
2025-08-12,4.75,4.84,4.67,4.72,16548183,-0.8403361344537785
2025-08-13,4.84,4.95,4.71,4.9,17296597,3.8135593220339103
2025-08-14,4.99,5.33,4.91,5.32,34715130,8.571428571428562
2025-08-15,5.25,5.36,5.0,5.21,27210676,-2.0676691729323404
2025-08-18,5.3,6.3,5.29,6.05,36317303,16.12284069097889
2025-08-19,6.07,6.16,5.6,5.76,26049163,-4.793388429752065
2025-08-20,5.76,5.965,5.32,5.95,25525074,3.298611111111116
2025-08-21,5.741,5.96,5.68,5.9,20635702,-0.8403361344537785
2025-08-22,5.87,6.41,5.71,6.38,23186295,8.135593220338965
2025-08-25,6.314,6.73,6.02,6.64,26545829,4.075235109717856
2025-08-26,6.55,7.13,6.48,7.12,26673971,7.2289156626506035
2025-08-27,7.13,7.23,6.95,6.99,21089852,-1.8258426966292096
2025-08-28,7.28,7.31,7.0,7.02,20060742,0.42918454935620964
2025-08-29,7.25,8.71,6.95,7.64,70174926,8.83190883190883
2025-09-02,7.421,8.78,7.22,8.32,62445610,8.900523560209429
2025-09-03,8.695,8.73,8.0,8.11,44183384,-2.5240384615384692
2025-09-04,7.98,8.07,7.33,7.4,28128756,-8.75462392108507
2025-09-05,7.78,7.86,7.0832,7.52,27484538,1.621621621621605
2025-09-08,7.39,7.84,7.1699,7.72,28362465,2.659574468085113
2025-09-09,8.172,9.36,7.9,9.22,68754314,19.430051813471504
2025-09-10,9.555,10.43,9.25,10.25,69412222,11.171366594360087
2025-09-11,10.15,10.675,9.875,9.97,39869051,-2.731707317073162
2025-09-12,9.935,10.93,9.85,10.85,32737478,8.826479438314937
2025-09-15,10.87,11.32,10.47,10.85,42604905,0.0
2025-09-16,11.07,11.64,10.49,11.51,30631030,6.08294930875577
2025-09-17,11.3,12.66,11.199,12.38,34005128,7.558644656820168
2025-09-18,12.64,12.69,11.42,11.85,36659683,-4.281098546042017
2025-09-19,11.76,12.82,11.715,12.28,39415062,3.6286919831223674
2025-09-22,12.51,14.2,12.09,13.96,43838336,13.68078175895766
2025-09-23,14.34,14.7343,13.45,14.15,54417436,1.3610315186246336
2025-09-24,14.805,15.54,13.87,14.14,46323284,-0.07067137809186885
2025-09-25,13.59,13.6,11.41,11.66,155920094,-17.538896746817546
2025-09-26,11.495,12.35,11.01,11.47,94631666,-1.6295025728988
2025-09-29,11.865,12.67,11.405,12.65,61311219,10.287707061900608
2025-09-30,12.72,12.76,12.14,12.59,47248723,-0.4743083003952653
2025-10-01,12.88,13.7,12.41,12.6,61878658,0.0794281175536149
2025-10-02,13.08,14.4401,13.02,13.81,57091256,9.603174603174613
2025-10-03,14.47,15.78,14.28,14.7,67183500,6.4446053584359175
2025-10-06,15.54,16.12,15.13,15.34,46610701,4.35374149659864
2025-10-07,15.38,15.93,14.33,15.75,49970616,2.672750977835725
2025-10-08,15.814,18.09,15.22,17.6,67518835,11.746031746031749
2025-10-09,17.98,18.1825,16.96,17.99,50785958,2.215909090909074
2025-10-10,18.78,20.2,16.81,16.97,73426729,-5.669816564758201
2025-10-13,17.85,20.6,17.66,20.34,59302823,19.85857395403654
2025-10-14,19.89,21.48,18.88,20.89,60582312,2.704031465093415
2025-10-15,21.51,22.0,19.75,21.03,64445549,0.670177118238402
2025-10-16,21.11,21.16,18.51,18.72,50099578,-10.984308131241093
2025-10-17,17.51,18.84,16.66,18.76,52918881,0.21367521367523512
2025-10-20,20.0,20.99,19.16,19.91,37770670,6.130063965884847
2025-10-21,19.37,19.64,17.47,18.075,34788564,-9.216474133601205
2025-10-22,17.09,18.2399,15.04,16.11,63765672,-10.871369294605804
2025-10-23,16.11,17.65,15.98,17.255,34793038,7.10738671632527
2025-10-24,18.27,20.865,18.18,20.66,47036253,19.73341060562157
2025-10-27,20.91,21.1099,19.65,20.54,41321289,-0.5808325266214998
2025-10-28,20.535,21.9,19.77,19.96,37356481,-2.8237585199610393
2025-10-29,20.255,20.55,18.64,19.59,32941067,-1.853707414829664
2025-10-30,18.7,20.05,18.3,19.07,38479365,-2.654415518121489
2025-10-31,20.03,20.27,18.58,18.65,44117830,-2.202412165705303
2025-11-03,22.94,25.11,21.02,22.76,135849886,22.037533512064368
2025-11-04,21.0,24.48,20.1,22.51,66095112,-1.0984182776801354
2025-11-05,22.87,25.52,22.685,24.71,59167013,9.773434029320294
2025-11-06,24.06,24.4251,21.38,21.71,53559872,-12.14083367057871
2025-11-07,20.825,21.34,19.4914,20.69,45581035,-4.698295716259782
2025-11-10,21.868,22.1201,19.55,19.65,40693059,-5.0265828902851695
2025-11-11,19.01,19.28,18.02,18.67,34972397,-4.9872773536895565
2025-11-12,18.7,18.9499,16.96,17.38,35266799,-6.90948044991967
2025-11-13,16.645,17.05,14.75,14.93,57680513,-14.096662830840046
2025-11-14,13.94,15.76,13.55,14.36,56948156,-3.8178164768921663
2025-11-17,14.079,14.94,13.58,14.35,43610200,-0.0696378830083555
2025-11-18,14.175,15.1,13.61,14.58,45069377,1.6027874564459976
2025-11-19,14.9,15.7,14.26,14.62,40607349,0.274348422496562
2025-11-20,16.8,17.555,14.3,14.56,84186760,-0.41039671682625567
2025-11-21,14.2,14.97,13.09,14.15,56373201,-2.815934065934067
2025-11-24,14.975,16.87,14.8201,16.71,44269914,18.09187279151945
2025-11-25,16.2,17.68,15.92,17.52,37852662,4.847396768402157
2025-11-26,18.5,19.65,17.585,19.15,57090392,9.303652968036523
2025-11-28,19.55,21.16,19.46,20.35,34179438,6.266318537859017
2025-12-01,19.33,20.36,19.0,19.69,35731629,-3.2432432432432434
2025-12-02,19.83,20.12,17.61,17.64,36130044,-10.411376333164046
2025-12-03,17.56,18.765,16.96,18.63,31538754,5.612244897959173
2025-12-04,18.155,20.08,18.02,19.83,30608568,6.441223832528187
2025-12-05,19.38,19.62,18.51,19.28,25022544,-2.7735753908219696
2025-12-08,19.89,20.28,18.95,19.48,28045084,1.0373443983402453
2025-12-09,19.04,20.74,18.8353,19.56,33282571,0.4106776180698102
2025-12-10,19.05,19.79,18.41,18.48,29883444,-5.521472392638027
2025-12-11,18.25,18.98,17.34,18.88,29990191,2.1645021645021467
2025-12-12,18.45,19.24,16.99,17.05,31326193,-9.692796610169484
2025-12-15,17.065,17.16,14.57,14.74,49273128,-13.548387096774196
2025-12-16,14.26,15.16,13.67,14.99,43614603,1.6960651289009476
2025-12-17,15.66,16.0,14.305,14.39,47896357,-4.00266844563042
2025-12-18,15.4,15.98,14.83,15.15,30724480,5.281445448227928
2025-12-19,15.53,16.5,15.42,16.21,38280207,6.99669966996701
2025-12-22,16.65,17.24,16.265,16.34,23267884,0.8019740900678585
2025-12-23,15.83,16.8,15.655,15.91,20711977,-2.631578947368418
2025-12-24,15.685,16.41,15.61,16.22,11459880,1.9484600879949632
2025-12-26,16.255,16.28,15.18,15.19,16405999,-6.350184956843396
2025-12-29,14.8,15.79,14.62,15.08,15547870,-0.7241606319947302
2025-12-30,15.14,15.29,14.57,14.59,18054717,-3.2493368700265313
2025-12-31,14.63,15.03,14.52,14.76,16350224,1.165181631254275
2026-01-02,14.97,16.4352,14.78,16.2,24158802,9.756097560975597
2026-01-05,16.72,18.31,16.64,18.16,26978994,12.09876543209878
2026-01-06,18.02,18.2,16.33,17.54,25670060,-3.4140969162995694
2026-01-07,17.245,17.5757,16.07,16.08,15262471,-8.323831242873435
2026-01-08,16.02,16.92,15.542,16.55,21886731,2.922885572139311
2026-01-09,17.15,18.15,16.38,16.63,25340153,0.4833836858005869
2026-01-12,16.25,17.905,16.03,17.68,26652814,6.313890559230306
