date,open,high,low,close,volume,change_pct
2025-07-21,12.92,13.35,12.37,12.39,24158441,0.0
2025-07-22,12.55,12.88,12.12,12.84,20712058,3.6319612590798966
2025-07-23,12.63,12.89,12.21,12.45,20137147,-3.0373831775700966
2025-07-24,12.42,12.8,12.295,12.34,15712630,-0.8835341365461824
2025-07-25,12.085,12.09,11.6,11.82,17162120,-4.213938411669361
2025-07-28,12.29,12.41,11.85,12.03,17314652,1.7766497461928932
2025-07-29,12.045,12.15,11.4,11.73,17750438,-2.4937655860349017
2025-07-30,11.86,12.17,11.18,11.42,16556997,-2.642796248934365
2025-07-31,11.42,11.74,11.3,11.37,20120018,-0.4378283712784703
2025-08-01,10.8,10.9631,10.23,10.44,17906895,-8.179419525065956
2025-08-04,10.635,10.73,10.3319,10.62,13234944,1.724137931034475
2025-08-05,10.51,10.85,10.43,10.83,14943597,1.9774011299435124
2025-08-06,10.8,11.08,10.5,11.0,19317866,1.5697137580794163
2025-08-07,11.16,11.44,10.44,10.72,25416008,-2.5454545454545396
2025-08-08,11.0,11.35,9.82,10.07,33992792,-6.063432835820903
2025-08-11,10.135,10.36,9.81,9.87,29678166,-1.9860973187686315
2025-08-12,9.95,10.24,9.77,9.92,22687277,0.5065856129685908
2025-08-13,10.15,10.25,9.83,9.97,21296546,0.504032258064524
2025-08-14,9.73,9.96,9.35,9.95,25428725,-0.20060180541626726
2025-08-15,9.93,10.015,9.62,9.75,16460013,-2.010050251256279
2025-08-18,9.52,10.05,9.45,9.84,15833028,0.9230769230769154
2025-08-19,9.84,9.8679,9.32,9.36,13770707,-4.878048780487809
2025-08-20,9.31,9.5,8.97,9.49,15416438,1.3888888888889062
2025-08-21,9.131,9.37,9.065,9.33,16217059,-1.6859852476290849
2025-08-22,9.27,9.93,9.09,9.82,15657643,5.2518756698821
2025-08-25,9.5,9.675,9.27,9.45,17447184,-3.7678207739307634
2025-08-26,9.401,9.7,9.265,9.68,12713011,2.4338624338624326
2025-08-27,9.65,9.83,9.425,9.58,15833019,-1.0330578512396604
2025-08-28,9.72,9.99,9.53,9.55,16489476,-0.31315240083507057
2025-08-29,9.55,9.635,9.26,9.47,17104686,-0.8376963350785305
2025-09-02,9.27,9.9291,9.11,9.64,16334610,1.7951425554382228
2025-09-03,9.76,9.96,9.31,9.44,20611902,-2.0746887966805128
2025-09-04,9.4,9.43,9.02,9.08,16146240,-3.813559322033888
2025-09-05,9.2,9.42,8.8803,9.24,18387605,1.7621145374449254
2025-09-08,9.26,9.41,9.07,9.17,15999870,-0.7575757575757569
2025-09-09,9.345,9.685,9.09,9.67,23573290,5.452562704471098
2025-09-10,10.01,10.26,9.777,10.03,28763467,3.7228541882109667
2025-09-11,10.05,10.46,9.86,10.2,18286214,1.6949152542372836
2025-09-12,10.18,10.54,10.0624,10.35,17529122,1.4705882352941124
2025-09-15,10.385,10.48,9.81,10.29,21682922,-0.5797101449275366
2025-09-16,10.295,11.265,10.165,11.2,29647686,8.843537414965997
2025-09-17,11.23,11.6753,10.98,11.44,28227264,2.1428571428571352
2025-09-18,11.98,13.635,11.83,13.46,64657744,17.657342657342667
2025-09-19,13.33,14.05,13.19,13.62,47361377,1.1887072808320909
2025-09-22,13.235,13.82,12.51,13.74,34536567,0.8810572687224738
2025-09-23,14.74,15.19,13.76,13.91,48667520,1.2372634643377012
2025-09-24,14.34,15.12,13.97,14.45,40798738,3.882099209202017
2025-09-25,14.0,14.57,13.385,13.68,37228445,-5.328719723183384
2025-09-26,13.11,13.54,12.3,12.96,35209550,-5.263157894736836
2025-09-29,13.31,15.125,13.3029,14.87,40808348,14.737654320987637
2025-09-30,14.62,14.87,14.21,14.5,25824870,-2.488231338264957
2025-10-01,15.08,15.37,14.25,14.59,31962270,0.6206896551724128
2025-10-02,14.9557,15.38,14.435,15.14,30563932,3.7697052775873985
