date,open,high,low,close,volume,change_pct
2025-07-14,6.49,6.7,6.49,6.67,6064277,0.0
2025-07-15,6.635,6.7061,6.46,6.48,4851548,-2.8485757121439192
2025-07-16,6.54,6.62,6.485,6.58,4678586,1.5432098765431945
2025-07-17,6.57,6.75,6.51,6.57,5103692,-0.1519756838905706
2025-07-18,6.62,6.775,6.58,6.68,5351938,1.6742770167427645
2025-07-21,6.79,7.02,6.78,6.95,8194935,4.041916167664672
2025-07-22,7.03,7.39,6.97,7.3,9148853,5.035971223021574
2025-07-23,7.3185,7.3365,7.205,7.25,5377415,-0.6849315068493178
2025-07-24,7.175,7.305,7.13,7.13,7116124,-1.6551724137931045
2025-07-25,7.135,7.23,7.01,7.22,5138518,1.2622720897615736
2025-07-28,7.24,7.36,7.175,7.35,4632914,1.8005540166204925
2025-07-29,7.38,7.51,7.27,7.37,8237672,0.2721088435374108
2025-07-30,7.4,7.485,7.23,7.23,9419311,-1.8995929443690551
2025-07-31,7.15,7.98,6.93,7.94,18973499,9.820193637621033
2025-08-01,7.67,8.05,7.585,7.82,14819558,-1.5113350125944613
2025-08-04,7.82,8.33,7.7848,8.24,9458970,5.3708439897698135
2025-08-05,8.24,8.32,8.08,8.25,10101972,0.12135922330096527
2025-08-06,8.195,8.36,8.1801,8.24,6662533,-0.12121212121212199
2025-08-07,8.28,8.32,8.07,8.21,6191154,-0.3640776699029069
2025-08-08,8.28,8.28,8.045,8.15,5028745,-0.730816077953722
2025-08-11,8.2453,8.44,8.18,8.28,6702629,1.595092024539868
2025-08-12,8.325,8.48,8.255,8.47,7114629,2.2946859903381744
2025-08-13,8.53,8.875,8.5,8.84,10671478,4.3683589138134415
2025-08-14,8.6,8.84,8.57,8.76,5095062,-0.9049773755656076
2025-08-15,8.85,8.97,8.725,8.78,6604574,0.22831050228309113
2025-08-18,8.78,8.93,8.69,8.75,7599416,-0.3416856492027276
2025-08-19,8.76,8.88,8.34,8.37,7717210,-4.342857142857149
2025-08-20,8.37,8.4099,8.1628,8.28,6224675,-1.0752688172043001
2025-08-21,8.2,8.54,8.1221,8.49,7564774,2.5362318840579823
2025-08-22,8.55,9.32,8.54,9.29,11151866,9.422850412249684
2025-08-25,9.23,9.69,9.2,9.53,11212828,2.583423035522059
2025-08-26,9.52,9.6,9.18,9.36,10050210,-1.7838405036726068
2025-08-27,9.325,9.46,9.2451,9.28,8504985,-0.8547008547008517
2025-08-28,9.245,9.245,8.85,9.02,11325736,-2.8017241379310276
2025-08-29,9.095,9.14,8.925,9.08,7561710,0.6651884700665134
2025-09-02,8.841,9.12,8.755,8.93,6267173,-1.6519823788546328
2025-09-03,8.885,9.1,8.85,9.05,5213211,1.3437849944009095
2025-09-04,9.1,9.365,9.015,9.35,7016125,3.3149171270718147
2025-09-05,9.56,9.735,9.215,9.65,7945316,3.208556149732633
2025-09-08,9.61,9.75,9.51,9.55,5292305,-1.036269430051806
2025-09-09,9.43,9.55,9.14,9.28,7581536,-2.8272251308900653
2025-09-10,9.425,9.54,9.075,9.19,5188067,-0.969827586206895
2025-09-11,9.23,9.6,9.2025,9.43,7105179,2.611534276387384
2025-09-12,9.33,9.505,9.25,9.35,4497288,-0.8483563096500557
2025-09-15,9.33,9.42,9.15,9.3,4469862,-0.5347593582887611
2025-09-16,9.23,9.405,9.16,9.26,4002319,-0.43010752688172893
2025-09-17,9.34,9.935,9.295,9.46,12265949,2.159827213822907
2025-09-18,9.45,9.7,9.3725,9.69,6467952,2.4312896405919604
2025-09-19,9.73,9.73,9.37,9.4,9491438,-2.992776057791524
2025-09-22,8.61,8.98,7.69,7.92,45760965,-15.74468085106383
2025-09-23,7.99,8.04,7.68,7.94,17750354,0.2525252525252597
2025-09-24,7.81,8.23,7.81,7.93,23394537,-0.12594458438287548
2025-09-25,7.7391,8.05,7.7391,7.95,12668329,0.2522068095838659
2025-09-26,7.95,8.0255,7.83,7.95,10621347,0.0
2025-09-29,8.0,8.27,7.89,8.22,12434164,3.396226415094339
2025-09-30,8.22,8.3006,7.96,8.03,11923480,-2.311435523114369
2025-10-01,8.02,8.07,7.56,7.63,15213271,-4.981320049813198
2025-10-02,7.585,7.64,7.37,7.55,17824350,-1.0484927916120546
2025-10-03,7.57,8.0,7.54,7.83,27980955,3.708609271523189
2025-10-06,7.86,7.88,7.54,7.64,12552345,-2.4265644955300147
2025-10-07,7.65,7.65,7.3,7.41,15732887,-3.0104712041884807
2025-10-08,7.48,7.505,7.31,7.36,7462215,-0.6747638326585648
2025-10-09,7.37,7.37,7.205,7.27,8719055,-1.22282608695653
2025-10-10,7.31,7.42,7.03,7.04,12377176,-3.1636863823933936
2025-10-13,7.185,7.22,6.84,6.92,8571138,-1.7045454545454586
2025-10-14,6.87,7.3,6.84,7.19,10049608,3.9017341040462394
2025-10-15,7.19,7.5,7.11,7.29,15789293,1.3908205841446364
2025-10-16,7.32,7.52,7.27,7.31,11179229,0.274348422496562
2025-10-17,7.33,7.34,7.13,7.29,13767052,-0.2735978112175075
2025-10-20,7.36,7.55,7.33,7.49,8691878,2.7434842249657088
2025-10-21,7.5,7.69,7.4,7.57,11801688,1.0680907877169465
2025-10-22,7.57,7.62,7.46,7.61,9797969,0.5284015852047519
2025-10-23,7.585,7.76,7.48,7.67,8224018,0.7884362680683266
2025-10-24,7.75,8.12,7.74,8.03,14249880,4.693611473272474
2025-10-27,8.045,8.11,7.87,8.06,8327590,0.37359900373601374
2025-10-28,8.0,8.33,7.915,7.93,7964819,-1.6129032258064613
2025-10-29,7.86,7.91,7.525,7.61,8347347,-4.0353089533417315
2025-10-30,7.53,7.55,7.345,7.44,8356086,-2.23390275952694
2025-10-31,7.45,7.765,7.38,7.71,17375409,3.629032258064502
2025-11-03,7.64,7.81,7.43,7.78,15021494,0.9079118028534339
2025-11-04,8.11,8.59,7.74,8.36,24495303,7.455012853470433
2025-11-05,8.24,8.825,8.2,8.79,15577287,5.14354066985645
2025-11-06,8.755,8.84,8.41,8.53,9956903,-2.9579067121729197
2025-11-07,8.44,8.64,8.325,8.55,9434101,0.23446658851116187
2025-11-10,8.62,8.89,8.47,8.79,8371623,2.8070175438596356
2025-11-11,8.82,9.45,8.82,9.43,14330365,7.28100113765644
2025-11-12,9.4,9.65,9.21,9.5,12475284,0.7423117709437932
2025-11-13,9.43,9.575,9.31,9.49,13926340,-0.10526315789473051
2025-11-14,9.365,9.585,9.23,9.41,14463971,-0.8429926238145424
2025-11-17,9.4,9.55,9.295,9.38,20805319,-0.31880977683315104
2025-11-18,9.31,9.48,9.24,9.35,12011772,-0.31982942430704986
2025-11-19,9.385,9.53,9.3,9.36,10334896,0.10695187165774556
2025-11-20,9.445,9.77,9.12,9.18,15397266,-1.9230769230769162
2025-11-21,9.26,10.01,9.25,9.97,16373553,8.60566448801745
2025-11-24,10.28,10.71,10.09,10.6,19383527,6.318956870611836
2025-11-25,10.615,11.0299,10.475,10.5,23032682,-0.9433962264150941
2025-11-26,10.41,10.6289,10.32,10.42,10765276,-0.7619047619047636
2025-11-28,10.44,10.52,10.3245,10.42,3373747,0.0
2025-12-01,10.215,10.66,10.15,10.63,11042315,2.0153550863723613
2025-12-02,10.735,10.735,10.36,10.56,7622395,-0.6585136406397019
2025-12-03,10.55,10.94,10.32,10.5,12848222,-0.5681818181818232
2025-12-04,10.52,10.62,10.39,10.4,11357408,-0.952380952380949
2025-12-05,10.41,10.49,10.28,10.32,6566337,-0.7692307692307665
2025-12-08,10.78,10.9,10.395,10.42,10210932,0.9689922480620172
2025-12-09,10.47,10.92,10.39,10.84,14773072,4.0307101727447225
2025-12-10,10.865,10.9,10.495,10.55,13531639,-2.675276752767519
2025-12-11,10.655,10.815,10.54,10.76,8098863,1.9905213270142053
2025-12-12,10.85,11.02,10.67,10.74,9077303,-0.18587360594795044
2025-12-15,10.54,10.55,10.092,10.34,13339196,-3.724394785847307
2025-12-16,10.42,10.9,10.3508,10.88,10297240,5.222437137330771
2025-12-17,10.98,11.02,10.49,10.53,14338748,-3.2169117647058987
2025-12-18,10.72,11.07,10.7,10.74,14421178,1.9943019943019946
2025-12-19,10.63,10.72,10.485,10.58,12687007,-1.4897579143389184
2025-12-22,10.48,10.74,10.422,10.72,8573326,1.3232514177693888
2025-12-23,10.55,10.83,10.55,10.62,8580077,-0.932835820895539
2025-12-24,10.62,10.7475,10.475,10.68,2834575,0.5649717514124353
2025-12-26,10.7,10.74,10.45,10.59,3711769,-0.8426966292134797
2025-12-29,10.6,10.79,10.44,10.7,6400499,1.0387157695939564
2025-12-30,10.655,10.73,10.51,10.61,5427279,-0.8411214953271018
2025-12-31,10.56,10.64,10.525,10.57,5610178,-0.37700282752120007
2026-01-02,10.595,10.8731,10.47,10.5,9925900,-0.6622516556291425
2026-01-05,10.5,10.91,10.43,10.85,9723961,3.3333333333333215
2026-01-06,10.86,10.9086,10.25,10.83,9188452,-0.18433179723501558
2026-01-07,11.8,12.58,11.335,11.84,103307157,9.32594644506002
2026-01-08,11.94,12.33,11.4,12.26,76914875,3.5472972972973027
