date,open,high,low,close,volume,change_pct
2025-07-16,4.1,4.52,3.8,4.1,13679139,0.0
2025-07-17,3.97,4.713,3.94,4.36,8164173,6.341463414634174
2025-07-18,4.415,5.1,4.28,4.48,7781448,2.752293577981657
2025-07-21,4.52,4.56,3.9,3.91,4427368,-12.72321428571429
2025-07-22,3.91,4.05,3.62,4.04,2872212,3.324808184143224
2025-07-23,4.03,4.601,3.99,4.54,5055929,12.376237623762387
2025-07-24,4.69,4.7399,4.19,4.23,3051695,-6.828193832599105
2025-07-25,4.21,4.45,4.11,4.34,2915896,2.6004728132387633
2025-07-28,4.42,4.6,3.94,4.06,3407690,-6.451612903225811
2025-07-29,3.92,4.03,3.29,3.38,5315883,-16.748768472906395
2025-07-30,3.411,3.58,3.19,3.38,3082679,0.0
2025-07-31,3.53,3.89,3.34,3.77,3528379,11.538461538461542
2025-08-01,3.62,4.24,3.5615,3.81,6230462,1.0610079575596787
2025-08-04,4.02,4.1233,3.64,3.75,4918898,-1.5748031496062964
2025-08-05,3.74,4.27,3.52,4.2,4567048,12.00000000000001
2025-08-06,4.21,4.25,3.8712,3.93,2480858,-6.428571428571428
2025-08-07,4.01,4.43,3.815,4.23,6031333,7.633587786259555
2025-08-08,4.27,4.745,3.9598,4.63,7332146,9.456264775413704
2025-08-11,4.66,5.2,4.46,4.92,6791525,6.263498920086397
2025-08-12,4.92,5.1,4.735,4.84,5296170,-1.6260162601625994
2025-08-13,4.86,5.38,4.665,4.98,5879218,2.892561983471076
2025-08-14,4.71,5.94,4.69,5.85,9146547,17.46987951807226
2025-08-15,5.87,6.07,5.61,5.84,4337658,-0.17094017094017033
2025-08-18,5.84,6.34,5.36,6.14,5680632,5.13698630136985
2025-08-19,6.03,6.1,5.58,5.7,4670652,-7.166123778501621
2025-08-20,5.545,5.87,5.423,5.8,2936407,1.754385964912264
2025-08-21,5.79,6.1,5.52,5.87,5681024,1.206896551724146
2025-08-22,5.8693,6.56,5.71,6.55,7189375,11.584327086882439
2025-08-25,6.3,6.6954,6.02,6.3,6825905,-3.8167938931297662
2025-08-26,6.14,7.43,5.65,6.87,18900637,9.04761904761906
2025-08-27,6.97,7.68,6.3,6.51,11106655,-5.2401746724890845
2025-08-28,6.621,6.79,6.35,6.46,3503345,-0.7680491551459223
2025-08-29,6.52,6.75,6.18,6.195,3611771,-4.10216718266253
2025-09-02,5.95,6.08,5.63,5.815,3657013,-6.133979015334945
2025-09-03,6.05,6.15,5.72,5.85,3657272,0.6018916595012858
2025-09-04,6.01,6.23,5.33,5.73,4809290,-2.051282051282033
2025-09-05,5.83,6.18,5.52,5.81,3049352,1.39616055846421
2025-09-08,5.81,6.27,5.62,6.17,2672715,6.196213425129105
2025-09-09,6.21,6.29,5.855,5.87,2249106,-4.862236628849271
2025-09-10,5.93,5.99,5.64,5.71,1815354,-2.7257240204429323
2025-09-11,5.94,6.4,5.87,6.23,3855543,9.106830122591948
2025-09-12,6.24,6.44,6.15,6.22,1946636,-0.16051364365972098
2025-09-15,6.355,6.69,6.03,6.69,2992977,7.556270096463025
2025-09-16,6.98,7.14,6.49,6.5,4744184,-2.840059790732441
2025-09-17,6.4,6.74,6.1402,6.365,3013552,-2.076923076923076
2025-09-18,6.46,7.09,6.44,6.83,4160296,7.305577376276506
2025-09-19,6.99,7.33,6.8,7.18,4772677,5.1244509516837455
2025-09-22,7.3,7.32,6.85,6.91,3529347,-3.760445682451252
2025-09-23,7.0,7.355,6.685,6.7,4668997,-3.039073806078152
2025-09-24,6.85,7.28,6.51,6.7,4053561,0.0
2025-09-25,6.48,7.8,6.33,7.02,10968783,4.776119402985057
2025-09-26,7.03,7.19,6.2745,6.49,5207238,-7.549857549857542
2025-09-29,6.495,7.05,6.08,6.5,6774694,0.15408320493066618
2025-09-30,6.5,6.7296,6.09,6.22,3314904,-4.307692307692312
2025-10-01,6.05,7.12,6.05,7.09,5743179,13.9871382636656
2025-10-02,7.23,8.12,7.11,8.1,7175120,14.245416078984485
2025-10-03,8.24,8.79,7.875,7.98,12806474,-1.4814814814814725
2025-10-06,11.495,16.68,9.15,11.59,159297448,45.238095238095234
2025-10-07,11.17,11.2584,9.9,10.02,19161069,-13.546160483175152
2025-10-08,12.185,12.4,11.33,11.79,25339289,17.664670658682624
2025-10-09,12.47,15.8899,12.36,14.71,44023354,24.766751484308756
2025-10-10,16.655,19.25,14.84,14.98,57916124,1.8354860639021142
2025-10-13,17.21,23.67,16.95,23.28,68028410,55.407209612817084
2025-10-14,30.25,32.15,24.75,29.97,84854704,28.737113402061844
2025-10-15,26.535,28.0,20.73,22.72,52959428,-24.190857524190857
2025-10-16,25.92,25.98,19.28,19.42,49575742,-14.524647887323926
