date,open,high,low,close,volume,change_pct
2025-07-18,12.44,12.54,12.165,12.25,676220,0.0
2025-07-21,12.43,13.03,12.335,12.9,747193,5.306122448979589
2025-07-22,13.08,13.65,12.93,13.46,1085134,4.341085271317824
2025-07-23,13.46,13.5491,12.82,13.28,1275636,-1.3372956909361133
2025-07-24,13.35,13.465,12.84,12.85,1044370,-3.2379518072289115
2025-07-25,12.86,12.99,12.51,12.75,738680,-0.7782101167315147
2025-07-28,12.81,12.83,12.33,12.36,587972,-3.0588235294117694
2025-07-29,12.54,12.66,11.835,12.0,753878,-2.9126213592232997
2025-07-30,11.89,12.09,11.6,11.72,655186,-2.3333333333333317
2025-07-31,11.5,11.79,11.37,11.49,597818,-1.9624573378839605
2025-08-01,11.35,11.47,11.0,11.32,841125,-1.4795474325500435
2025-08-04,11.46,11.64,11.32,11.49,535053,1.5017667844522853
2025-08-05,11.69,12.135,11.5286,12.0,717517,4.438642297650119
2025-08-06,12.0,12.08,11.62,11.72,553299,-2.3333333333333317
2025-08-07,11.98,12.31,11.93,12.0,548002,2.3890784982935065
2025-08-08,11.98,12.1,11.62,11.66,487862,-2.833333333333332
2025-08-11,11.75,12.06,11.4,11.58,550516,-0.6861063464837058
2025-08-12,11.61,11.6999,11.31,11.42,514704,-1.3816925734024155
2025-08-13,11.43,11.88,11.32,11.66,588514,2.1015761821365997
2025-08-14,11.39,11.73,11.21,11.68,491532,0.17152658662091813
2025-08-15,11.88,13.35,11.845,12.55,1863790,7.448630136986312
2025-08-18,12.8,13.22,12.4324,12.69,1384912,1.1155378486055634
2025-08-19,12.75,13.05,12.41,12.54,726317,-1.1820330969267157
2025-08-20,12.38,12.898,12.3,12.75,883532,1.674641148325362
2025-08-21,10.57,11.12,10.0123,10.385,6229295,-18.549019607843142
2025-08-22,10.42,11.26,10.25,11.07,2268739,6.596051998074159
2025-08-25,10.89,11.6,10.85,11.39,1538655,2.890695573622404
2025-08-26,11.46,11.81,11.3,11.39,955593,0.0
