date,open,high,low,close,volume,change_pct
2025-07-21,1.5,1.57,1.475,1.5,532494,0.0
2025-07-22,1.51,1.7,1.495,1.68,1548530,11.99999999999999
2025-07-23,1.69,1.795,1.69,1.71,1261133,1.7857142857142794
2025-07-24,1.72,1.76,1.655,1.71,677431,0.0
2025-07-25,1.74,1.77,1.665,1.74,654403,1.7543859649122862
2025-07-28,1.76,1.81,1.68,1.7,904057,-2.298850574712641
2025-07-29,1.72,1.72,1.53,1.55,1010346,-8.823529411764696
2025-07-30,1.59,1.595,1.54,1.55,542005,0.0
2025-07-31,1.52,1.54,1.3907,1.415,1016430,-8.709677419354843
2025-08-01,1.37,1.445,1.34,1.39,804408,-1.7667844522968323
2025-08-04,1.39,1.43,1.355,1.4,683959,0.7194244604316502
2025-08-05,1.42,1.51,1.38,1.5,911203,7.14285714285714
2025-08-06,1.5,1.54,1.425,1.43,658603,-4.666666666666675
2025-08-07,1.43,1.4745,1.4113,1.46,581278,2.0979020979021046
2025-08-08,1.47,1.47,1.38,1.4,490943,-4.109589041095896
2025-08-11,1.43,1.5,1.41,1.48,612973,5.714285714285716
2025-08-12,1.51,1.585,1.48,1.56,731458,5.405405405405417
2025-08-13,1.55,1.705,1.53,1.62,1035141,3.8461538461538547
2025-08-14,1.62,1.63,1.55,1.57,812061,-3.0864197530864224
2025-08-15,1.58,1.65,1.54,1.64,456865,4.458598726114649
2025-08-18,1.53,1.6801,1.5064,1.53,563344,-6.707317073170726
2025-08-19,1.52,1.57,1.49,1.52,768771,-0.6535947712418277
2025-08-20,1.53,1.53,1.45,1.46,498730,-3.9473684210526327
2025-08-21,1.46,1.505,1.44,1.5,1356845,2.7397260273972712
2025-08-22,1.52,1.64,1.51,1.6,1024753,6.666666666666665
2025-08-25,1.58,1.605,1.53,1.59,617598,-0.6249999999999978
2025-08-26,1.6,1.61,1.55,1.6,460805,0.6289308176100628
2025-08-27,1.59,1.615,1.57,1.58,396165,-1.2499999999999956
2025-08-28,1.6,1.6165,1.555,1.57,338844,-0.6329113924050667
2025-08-29,1.59,1.6,1.5497,1.57,511234,0.0
2025-09-02,1.56,1.66,1.55,1.6,678687,1.9108280254777066
2025-09-03,1.49,1.49,1.3301,1.43,2856413,-10.625000000000007
2025-09-04,1.43,1.485,1.405,1.48,992961,3.4965034965035002
2025-09-05,1.47,1.61,1.47,1.61,2977244,8.783783783783793
2025-09-08,1.63,1.63,1.53,1.55,1265441,-3.7267080745341685
2025-09-09,1.53,1.61,1.525,1.61,393612,3.8709677419354938
2025-09-10,1.61,1.63,1.54,1.55,879497,-3.7267080745341685
2025-09-11,1.55,1.69,1.54,1.61,1065200,3.8709677419354938
2025-09-12,1.59,1.635,1.55,1.56,1006563,-3.105590062111807
