date,open,high,low,close,volume,change_pct
2025-07-21,13.52,13.79,13.34,13.39,286429,0.0
2025-07-22,13.4,13.67,13.35,13.54,355383,1.120238984316635
2025-07-23,13.67,14.42,13.55,14.39,667857,6.27769571639587
2025-07-24,14.18,14.66,14.01,14.63,583649,1.6678248783877692
2025-07-25,14.6,14.6,13.78,14.12,766663,-3.4859876965140257
2025-07-28,14.21,14.5,13.9869,14.26,659593,0.9915014164306069
2025-07-29,14.32,14.37,13.94,13.95,589610,-2.1739130434782594
2025-07-30,14.38,15.33,14.115,14.23,1059784,2.007168458781372
2025-07-31,14.09,14.79,14.08,14.26,531828,0.21082220660575413
2025-08-01,14.14,14.49,13.9,14.31,649478,0.3506311360448766
2025-08-04,14.32,14.4973,13.595,13.61,851414,-4.891684136967167
2025-08-05,13.67,13.79,13.32,13.74,666701,0.9551800146950784
2025-08-06,13.59,13.59,12.94,13.515,524616,-1.637554585152834
2025-08-07,13.91,13.91,12.535,12.95,796141,-4.180540140584544
2025-08-08,12.99,13.1801,12.46,12.68,568057,-2.0849420849420763
2025-08-11,13.06,13.06,12.3,12.99,676795,2.444794952681395
2025-08-12,13.08,13.53,12.84,13.39,939082,3.0792917628945427
2025-08-13,13.51,14.1052,13.375,13.73,674963,2.5392083644510732
2025-08-14,13.5,13.98,13.5,13.93,387157,1.456664238892924
2025-08-15,13.98,14.16,13.82,14.15,574623,1.5793251974156597
2025-08-18,14.27,14.49,13.91,14.0,501733,-1.0600706713780994
2025-08-19,14.02,14.15,13.68,13.8,676961,-1.4285714285714235
2025-08-20,13.78,13.95,13.525,13.84,426931,0.28985507246375164
2025-08-21,13.65,14.74,13.64,14.62,769129,5.635838150289008
2025-08-22,14.73,15.205,14.615,14.85,570542,1.5731874145006763
2025-08-25,14.86,14.86,14.205,14.3,485377,-3.703703703703698
2025-08-26,14.23,14.82,14.175,14.6,2235648,2.0979020979020824
2025-08-27,14.42,14.605,14.27,14.45,549647,-1.0273972602739767
2025-08-28,14.55,14.935,13.93,14.65,1107167,1.384083044982698
2025-08-29,14.6,14.7,14.12,14.35,670558,-2.0477815699658786
2025-09-02,14.5,15.119,14.33,14.86,1048084,3.5540069686411213
2025-09-03,14.64,15.01,14.44,14.635,1028802,-1.5141318977119789
2025-09-04,14.63,14.72,14.3,14.62,1321934,-0.10249402118209794
2025-09-05,14.68,15.79,14.08,15.57,847055,6.497948016415878
2025-09-08,15.52,15.605,14.75,14.88,916697,-4.4315992292870865
2025-09-09,14.88,15.125,14.5601,14.75,661657,-0.8736559139784994
2025-09-10,14.75,15.16,14.55,14.67,581626,-0.5423728813559348
2025-09-11,14.66,14.867,14.43,14.67,751839,0.0
2025-09-12,14.7,14.745,14.195,14.24,573621,-2.9311520109066125
2025-09-15,14.26,14.44,13.685,13.7,517538,-3.7921348314606806
2025-09-16,14.0,14.21,13.89,14.06,868919,2.6277372262773824
2025-09-17,14.15,14.425,13.85,13.89,651155,-1.2091038406827903
2025-09-18,14.05,15.68,14.025,15.53,1649766,11.80705543556515
2025-09-19,15.52,15.69,14.09,14.26,2072852,-8.1777205408886
2025-09-22,14.5,15.13,14.28,15.1,886175,5.890603085554003
2025-09-23,15.11,15.445,14.94,15.09,735554,-0.06622516556291647
2025-09-24,15.14,17.0,15.13,16.59,1603882,9.940357852882698
2025-09-25,16.01,16.3399,14.805,14.885,1421313,-10.277275467148883
2025-09-26,14.71,16.53,14.67,16.05,1265435,7.826671145448438
2025-09-29,16.09,16.245,15.62,15.75,682107,-1.869158878504673
2025-09-30,15.515,16.37,15.48,16.22,1130368,2.984126984126978
2025-10-01,16.15,16.43,15.39,15.44,674523,-4.808877928483346
2025-10-02,15.42,15.62,14.85,15.0,628966,-2.849740932642486
2025-10-03,15.36,15.84,15.1413,15.65,1328788,4.333333333333345
2025-10-06,15.73,16.0,15.045,15.35,975676,-1.9169329073482455
2025-10-07,15.34,15.5038,14.94,15.14,426576,-1.3680781758957594
2025-10-08,15.28,16.03,15.21,15.35,1162911,1.387054161162471
2025-10-09,15.38,16.51,15.31,16.05,1360761,4.56026058631922
2025-10-10,16.06,16.06,14.6739,15.11,771693,-5.856697819314649
2025-10-13,15.06,15.24,14.68,14.71,440314,-2.6472534745201726
2025-10-14,14.57,14.98,14.25,14.7,455272,-0.06798096532971698
2025-10-15,14.75,15.81,14.75,15.62,629622,6.258503401360538
2025-10-16,15.43,16.6,15.0,15.32,726136,-1.9206145966709331
2025-10-17,15.15,15.395,14.88,15.06,679103,-1.6971279373368175
2025-10-20,15.33,16.08,15.07,15.39,1069163,2.1912350597609542
2025-10-21,15.39,15.56,14.98,15.51,467079,0.7797270955165692
2025-10-22,15.47,15.6417,14.675,14.89,516715,-3.997421018697611
2025-10-23,14.94,15.45,14.85,15.1,441568,1.410342511752849
2025-10-24,15.18,15.32,15.02,15.18,433601,0.5298013245033095
2025-10-27,15.23,16.3799,15.23,16.03,935938,5.599472990777343
2025-10-28,16.03,16.62,15.66,16.42,632219,2.43293824079851
2025-10-29,16.45,16.7441,15.94,16.33,861013,-0.548112058465311
2025-10-30,16.35,18.8,16.33,18.67,2324404,14.329454990814483
2025-10-31,18.6,18.72,17.85,18.28,1224419,-2.0889126941617597
2025-11-03,18.28,18.61,17.635,17.97,1113824,-1.695842450765872
2025-11-04,17.585,18.03,16.99,17.325,959019,-3.5893155258764575
2025-11-05,17.35,17.52,16.82,17.37,800025,0.25974025974027093
2025-11-06,17.59,18.26,17.07,17.09,892283,-1.6119746689694958
2025-11-07,17.05,17.65,16.7,17.16,745820,0.40959625511995945
2025-11-10,17.14,18.7,16.975,18.28,1060310,6.526806526806528
2025-11-11,18.28,21.57,18.1001,21.48,3047042,17.5054704595186
2025-11-12,21.43,21.57,20.34,21.17,1933802,-1.443202979515823
2025-11-13,21.1,21.155,19.87,20.42,1089003,-3.542749173358528
2025-11-14,20.52,24.0,19.96,22.75,2512837,11.410381978452477
2025-11-17,22.46,22.8899,22.07,22.26,1662169,-2.1538461538461506
2025-11-18,22.26,22.73,21.6,22.16,1041511,-0.4492362982929099
2025-11-19,22.16,22.74,21.93,22.34,1182209,0.8122743682310363
2025-11-20,22.8,23.36,22.16,22.25,861257,-0.40286481647269223
2025-11-21,22.2,23.22,21.72,22.67,1283036,1.8876404494382104
2025-11-24,22.67,23.86,22.67,23.48,1014152,3.573003970004396
2025-11-25,23.48,24.145,23.2801,24.06,1743041,2.470187393526402
