date,open,high,low,close,volume,change_pct
2025-07-21,9.17,9.64,9.14,9.53,6126999,0.0
2025-07-22,9.53,10.345,9.5,10.21,6377355,7.135362014690472
2025-07-23,9.955,10.1163,9.34,9.44,5821317,-7.541625857002954
2025-07-24,9.525,9.63,9.1601,9.36,4440679,-0.8474576271186418
2025-07-25,9.37,9.43,9.105,9.38,3634668,0.21367521367523512
2025-07-28,9.49,9.53,8.735,8.84,3569808,-5.756929637526664
2025-07-29,8.73,8.86,8.43,8.45,3234051,-4.4117647058823595
2025-07-30,8.49,8.585,8.12,8.2,3333978,-2.9585798816568087
2025-07-31,8.2,8.405,8.05,8.12,2737321,-0.9756097560975618
2025-08-01,7.89,7.97,7.58,7.78,3989133,-4.187192118226591
2025-08-04,7.82,8.505,7.8001,8.48,2874753,8.997429305912608
2025-08-05,8.58,8.805,8.405,8.55,3111746,0.8254716981132004
2025-08-06,8.51,8.65,8.4,8.45,1749647,-1.1695906432748648
2025-08-07,8.98,9.385,8.81,9.07,2766444,7.337278106508882
2025-08-08,9.18,9.385,8.97,9.19,2410048,1.3230429988974501
2025-08-11,9.21,9.41,8.8399,9.14,5400981,-0.5440696409140244
2025-08-12,7.74,8.3199,7.12,7.37,10169438,-19.36542669584246
2025-08-13,7.37,7.63,7.11,7.55,6225520,2.4423337856173566
2025-08-14,7.5473,7.68,7.33,7.565,4173900,0.1986754966887494
2025-08-15,7.61,8.69,7.57,7.95,6269393,5.089226701916716
2025-08-18,8.17,8.4844,7.91,8.06,4507973,1.383647798742138
2025-08-19,8.08,8.19,7.7,7.82,3473403,-2.977667493796532
2025-08-20,7.79,7.8576,7.3607,7.48,3668841,-4.347826086956519
2025-08-21,7.4,7.5,6.78,6.84,5128800,-8.556149732620334
2025-08-22,6.9,7.635,6.77,7.54,5573016,10.233918128654974
2025-08-25,7.67,7.7336,7.35,7.47,3673427,-0.9283819628647216
2025-08-26,7.47,7.8426,7.4,7.58,3014432,1.4725568942436373
2025-08-27,7.55,7.6,7.27,7.28,2944319,-3.95778364116095
2025-08-28,7.4,7.76,7.26,7.75,2523470,6.456043956043955
2025-08-29,7.7,7.85,7.39,7.4,2530807,-4.516129032258065
2025-09-02,7.06,7.2199,6.9,6.93,3355745,-6.351351351351364
2025-09-03,7.13,7.2,6.7,6.75,4057176,-2.5974025974025983
2025-09-04,6.75,6.895,6.69,6.75,4404402,0.0
2025-09-05,6.98,7.59,6.93,7.55,6325953,11.851851851851848
2025-09-08,7.58,7.6,7.17,7.21,2780476,-4.503311258278142
2025-09-09,7.21,7.25,6.765,6.78,4249388,-5.963938973647709
2025-09-10,6.87,7.25,6.71,6.76,5593408,-0.2949852507374673
2025-09-11,6.76,7.09,6.6024,6.94,4164786,2.6627218934911268
2025-09-12,6.94,7.17,6.79,7.0,7052756,0.8645533141210304
2025-09-15,7.16,7.41,7.095,7.39,3856926,5.5714285714285605
2025-09-16,7.58,8.3,7.48,7.5,5825411,1.4884979702300516
2025-09-17,7.5,7.8,7.26,7.44,3937414,-0.7999999999999896
2025-09-18,7.67,8.09,7.54,7.92,5627452,6.451612903225801
2025-09-19,8.05,9.48,8.001,9.36,8252757,18.181818181818166
