date,open,high,low,close,volume,change_pct
2025-07-21,11.2,11.2694,11.0439,11.25,372606,0.0
2025-07-22,11.25,11.3138,10.94,11.19,422312,-0.5333333333333412
2025-07-23,11.19,11.41,11.19,11.4,305742,1.8766756032171594
2025-07-24,11.31,11.48,11.275,11.38,315982,-0.17543859649122862
2025-07-25,11.39,11.65,11.3441,11.55,319703,1.493848857644986
2025-07-28,11.61,11.64,11.3748,11.42,295160,-1.1255411255411296
2025-07-29,11.55,11.6,11.36,11.4,262027,-0.17513134851138146
2025-07-30,11.4,11.51,11.19,11.24,401207,-1.403508771929829
2025-07-31,11.17,11.3545,11.011,11.08,458865,-1.4234875444839923
2025-08-01,10.86,10.86,10.3687,10.53,549697,-4.963898916967513
2025-08-04,10.67,10.8,10.46,10.63,533424,0.9496676163343043
2025-08-05,11.42,11.9,11.17,11.45,856263,7.714016933207879
2025-08-06,11.51,11.51,10.95,11.07,503992,-3.3187772925764136
2025-08-07,11.24,11.44,11.2,11.28,347494,1.8970189701897011
2025-08-08,11.34,11.59,11.28,11.58,403642,2.659574468085113
2025-08-11,11.61,11.68,11.36,11.47,400237,-0.949913644214162
2025-08-12,11.54,11.59,11.35,11.39,436439,-0.6974716652136004
2025-08-13,11.515,11.695,11.4,11.69,621008,2.63388937664617
2025-08-14,11.61,11.67,11.36,11.37,462975,-2.7373823781009388
2025-08-15,11.43,11.44,11.16,11.35,659861,-0.17590149516270026
2025-08-18,11.37,11.73,11.37,11.58,350188,2.026431718061672
2025-08-19,11.56,11.6,11.32,11.37,300749,-1.81347150259068
2025-08-20,11.44,11.51,11.16,11.45,386487,0.7036059806508455
2025-08-21,11.47,11.52,11.39,11.49,245967,0.3493449781659441
2025-08-22,11.63,11.975,11.575,11.92,420890,3.742384682332456
2025-08-25,11.92,12.03,11.77,11.77,255309,-1.2583892617449743
2025-08-26,11.76,11.99,11.71,11.96,257566,1.6142735768904126
2025-08-27,11.94,12.1,11.87,11.88,270872,-0.6688963210702337
2025-08-28,11.9,12.06,11.83,11.94,403461,0.5050505050504972
2025-08-29,11.94,11.94,11.61,11.66,279012,-2.345058626465657
2025-09-02,11.58,11.8,11.4701,11.62,514534,-0.34305317324185847
2025-09-03,11.6,11.68,11.48,11.59,398184,-0.2581755593803692
2025-09-04,11.65,11.78,11.58,11.67,333742,0.690250215703192
2025-09-05,11.75,11.75,11.495,11.73,275400,0.5141388174807249
2025-09-08,11.77,11.99,11.64,11.66,267268,-0.5967604433077645
2025-09-09,11.64,11.88,11.6,11.79,333773,1.1149228130360012
2025-09-10,11.82,12.018,11.792,11.98,304840,1.6115351993214677
2025-09-11,11.98,12.29,11.94,12.27,456349,2.4207011686143476
2025-09-12,12.19,12.24,12.05,12.08,310326,-1.5484922575387028
2025-09-15,12.15,12.32,12.1,12.23,451296,1.2417218543046449
2025-09-16,12.26,12.29,12.1,12.14,350830,-0.7358953393295176
2025-09-17,12.2,12.3,11.94,11.97,492142,-1.4003294892915963
2025-09-18,12.04,12.52,11.9819,12.27,747234,2.5062656641603898
2025-09-19,12.34,12.434,12.05,12.11,1005156,-1.3039934800326058
2025-09-22,12.1,12.27,11.952,12.26,588083,1.2386457473162693
2025-09-23,12.27,12.555,12.07,12.1,701114,-1.3050570962479635
2025-09-24,12.1,12.23,12.01,12.07,494899,-0.24793388429751317
