date,open,high,low,close,volume,change_pct
2025-07-18,19.65,19.8,19.03,19.25,1643509,0.0
2025-07-21,19.2,19.59,18.05,18.13,1000574,-5.818181818181822
2025-07-22,18.15,18.5,17.7606,18.19,826209,0.3309431880860636
2025-07-23,18.35,18.51,18.01,18.16,414290,-0.16492578339747377
2025-07-24,18.1,18.51,17.905,18.27,525155,0.6057268722466924
2025-07-25,18.19,18.2094,17.45,17.94,558723,-1.8062397372742067
2025-07-28,18.13,18.78,17.87,18.27,713275,1.8394648829431315
2025-07-29,18.08,18.515,17.7,17.8,750739,-2.5725232621784277
2025-07-30,17.81,18.44,17.62,17.83,445213,0.16853932584268705
2025-07-31,18.19,18.34,17.55,17.8,944123,-0.16825574873806648
2025-08-01,17.5,18.16,17.5,17.59,571199,-1.179775280898876
2025-08-04,17.5,17.66,16.76,16.78,580249,-4.6048891415577
2025-08-05,16.76,16.95,16.39,16.68,948885,-0.5959475566150285
2025-08-06,16.57,16.69,15.8,16.31,1200779,-2.218225419664277
2025-08-07,17.69,17.81,15.85,16.2,2693367,-0.6744328632740659
2025-08-08,16.49,16.49,15.8605,16.31,1139267,0.6790123456790198
2025-08-11,16.37,17.55,16.0,17.51,936607,7.357449417535267
2025-08-12,17.64,18.97,17.5212,18.74,1446478,7.024557395773834
2025-08-13,18.89,19.46,18.65,19.16,1190221,2.2411953041622246
2025-08-14,19.0,19.35,18.46,18.53,402862,-3.288100208768263
2025-08-15,19.0,20.36,18.56,20.12,775517,8.580679978413386
2025-08-18,20.21,20.48,19.75,19.96,794534,-0.7952286282306154
2025-08-19,21.29,21.436,18.74,18.8,1026761,-5.811623246492992
2025-08-20,18.76,19.305,18.4,18.565,577888,-1.2499999999999956
2025-08-21,18.51,19.39,18.39,19.37,759576,4.336116347966601
2025-08-22,19.39,19.88,19.19,19.61,544304,1.23902942694889
2025-08-25,19.72,19.725,18.52,18.57,272448,-5.3034166241713425
2025-08-26,18.66,19.0,18.35,18.82,424032,1.3462574044157183
2025-08-27,18.75,19.28,18.75,19.0,558950,0.9564293304994642
2025-08-28,19.11,19.4945,18.905,19.14,430009,0.7368421052631691
