date,open,high,low,close,volume,change_pct
2025-07-21,18.2,18.34,18.165,18.19,11469297,0.0
2025-07-22,18.15,18.3,18.1036,18.26,18870493,0.3848268279274425
2025-07-23,18.46,18.83,18.395,18.45,24739708,1.0405257393208966
2025-07-24,17.88,17.88,17.59,17.68,14676110,-4.173441734417338
2025-07-25,17.4325,17.46,17.25,17.37,19088058,-1.7533936651583648
2025-07-28,17.325,17.3367,17.06,17.16,21715441,-1.2089810017271163
2025-07-29,17.28,17.29,17.1148,17.21,11563738,0.2913752913753065
2025-07-30,17.12,17.125,16.89,16.95,13279144,-1.5107495642068702
2025-07-31,17.02,17.02,16.71,16.72,15926444,-1.3569321533923318
2025-08-01,16.63,16.65,16.37,16.41,20078427,-1.8540669856459302
2025-08-04,16.54,16.675,16.44,16.48,18306007,0.4265691651432091
2025-08-05,16.47,16.49,16.19,16.2,22539895,-1.6990291262136026
2025-08-06,16.14,16.19,15.97,16.07,16992590,-0.8024691358024638
2025-08-07,16.2,16.33,15.98,16.02,19616576,-0.3111387678904842
2025-08-08,16.095,16.12,15.955,15.99,13909877,-0.1872659176029967
2025-08-11,15.99,16.17,15.92,15.98,20161776,-0.0625390869293252
2025-08-12,16.045,16.12,15.91,16.07,18403233,0.5632040050062459
2025-08-13,16.14,16.42,16.08,16.38,27608682,1.9290603609209533
2025-08-14,16.41,16.41,16.1146,16.36,18675523,-0.12210012210012167
2025-08-15,16.45,16.66,16.4,16.56,9001135,1.2224938875305513
2025-08-18,16.36,16.43,16.26,16.41,11116238,-0.9057971014492683
2025-08-19,16.48,16.675,16.46,16.6,18923314,1.157830591102993
2025-08-20,17.08,17.19,16.965,17.01,22949880,2.4698795180722932
2025-08-21,16.96,17.055,16.89,17.05,19974125,0.23515579071133885
2025-08-22,16.99,17.38,16.98,17.34,33953355,1.7008797653958796
2025-08-25,17.43,17.455,17.3,17.33,17187396,-0.05767012687428741
2025-08-26,17.17,17.33,17.13,17.22,14770208,-0.6347374495095148
2025-08-27,17.16,17.39,17.16,17.36,10264959,0.8130081300812941
2025-08-28,16.99,17.039,16.89,17.0,28336644,-2.073732718894006
2025-08-29,16.66,16.89,16.65,16.82,17333226,-1.0588235294117676
2025-09-02,16.795,16.9,16.7,16.89,13503120,0.4161712247324534
2025-09-03,16.8,16.85,16.495,16.64,19264038,-1.4801657785671996
2025-09-04,16.54,16.6,16.28,16.59,15167714,-0.30048076923077094
2025-09-05,16.42,16.64,16.32,16.38,23403965,-1.2658227848101333
2025-09-08,16.65,16.81,16.5,16.79,25548179,2.503052503052494
2025-09-09,16.96,17.14,16.925,17.01,14880286,1.3103037522334882
2025-09-10,17.2,17.25,16.91,16.98,17813243,-0.17636684303351524
2025-09-11,16.9,17.14,16.555,17.07,30237614,0.5300353356890497
2025-09-12,17.04,17.07,16.895,16.96,12967068,-0.6444053895723445
2025-09-15,16.985,17.1,16.84,16.92,18852771,-0.2358490566037652
2025-09-16,17.0,17.08,16.88,17.06,17749689,0.8274231678486732
2025-09-17,17.195,17.78,17.195,17.68,32050779,3.6342321219226426
2025-09-18,17.52,17.595,17.44,17.57,13245843,-0.6221719457013553
2025-09-19,17.595,17.605,16.24,16.97,54720207,-3.414911781445651
2025-09-22,16.87,17.175,16.79,17.15,14994445,1.0606953447259926
2025-09-23,17.07,17.14,16.88,16.88,11524522,-1.574344023323615
2025-09-24,16.905,17.04,16.82,17.03,17049604,0.8886255924170694
2025-09-25,16.735,16.86,16.49,16.54,17831301,-2.87727539635938
2025-09-26,16.445,16.6,16.36,16.52,19463621,-0.12091898428052694
2025-09-29,16.42,16.4799,16.22,16.32,19370271,-1.2106537530266248
2025-09-30,16.29,16.4356,16.21,16.27,13331590,-0.30637254901960675
2025-10-01,16.24,16.4,16.21,16.37,15899286,0.6146281499692874
2025-10-02,16.32,16.43,16.03,16.15,13738838,-1.3439218081857218
2025-10-03,16.25,16.25,16.07,16.23,15110143,0.4953560371517174
2025-10-06,16.46,16.715,16.385,16.69,21090493,2.8342575477510845
2025-10-07,16.46,16.47,16.26,16.39,15178858,-1.797483523067711
2025-10-08,16.69,16.785,16.59,16.74,13231324,2.13544844417326
2025-10-09,16.965,17.1759,16.88,17.06,21105928,1.9115890083632125
2025-10-10,16.985,17.07,16.58,16.58,15132747,-2.8135990621336537
2025-10-13,16.66,16.8599,16.64,16.78,9959807,1.2062726176115923
2025-10-14,16.66,16.7,16.405,16.48,19181628,-1.7878426698450522
2025-10-15,16.53,16.665,16.44,16.44,23613322,-0.24271844660194164
2025-10-16,16.2,16.29,15.815,16.07,30758856,-2.250608272506094
2025-10-17,16.135,16.39,16.135,16.33,12874555,1.6179215930304691
2025-10-20,16.37,16.92,16.345,16.91,19872948,3.5517452541335093
2025-10-21,16.765,17.41,16.72,17.41,24526950,2.9568302779420463
2025-10-22,17.4,17.56,17.365,17.47,23013103,0.3446295232624852
2025-10-23,17.47,17.645,17.35,17.53,14138830,0.3434459072696239
2025-10-24,17.515,17.585,17.41,17.48,8492498,-0.28522532800913103
2025-10-27,17.22,17.27,16.8907,17.04,11499739,-2.517162471395884
2025-10-28,17.04,17.11,16.89,16.89,15833250,-0.8802816901408383
2025-10-29,17.06,17.19,16.78,16.88,13848249,-0.0592066311426942
2025-10-30,16.74,16.79,16.565,16.64,14127379,-1.421800947867291
2025-10-31,16.585,16.65,16.4,16.57,13459545,-0.42067307692308376
2025-11-03,16.66,16.66,16.3325,16.41,12273884,-0.965600482800244
2025-11-04,16.35,16.395,16.268,16.3,10752733,-0.6703229737964667
2025-11-05,16.38,16.5,16.315,16.42,9323085,0.7361963190184007
2025-11-06,16.42,16.45,16.165,16.18,10341644,-1.461632155907444
2025-11-07,16.3,16.51,16.27,16.5,8094528,1.977750309023496
2025-11-10,16.775,16.89,16.6242,16.76,9890275,1.575757575757586
2025-11-11,16.88,17.09,16.88,17.01,9370530,1.4916467780429654
2025-11-12,17.15,17.28,17.045,17.09,10919877,0.4703115814226777
2025-11-13,17.07,17.165,16.95,16.96,10304865,-0.7606787595084818
2025-11-14,16.68,16.735,16.575,16.65,11248585,-1.827830188679258
2025-11-17,16.76,16.89,16.66,16.77,10426749,0.7207207207207356
2025-11-18,16.65,16.99,16.6111,16.95,14371313,1.073345259391778
2025-11-19,17.29,17.37,17.23,17.31,7807733,2.123893805309729
2025-11-20,17.26,17.2752,17.0,17.13,12454973,-1.0398613518197597
2025-11-21,17.18,17.76,17.1,17.7,16657049,3.327495621716281
2025-11-24,17.485,17.58,17.26,17.27,12775010,-2.429378531073445
2025-11-25,17.27,17.34,17.055,17.28,10433216,0.057903879559928484
2025-11-26,17.38,17.7,17.35,17.42,8260063,0.810185185185186
2025-11-28,17.56,17.61,17.405,17.48,3688870,0.344431687715252
2025-12-01,17.48,17.575,17.4,17.45,5508412,-0.17162471395881784
2025-12-02,17.475,17.505,17.335,17.41,6643047,-0.22922636103150928
2025-12-03,17.535,17.715,17.51,17.66,7412821,1.4359563469270586
2025-12-04,17.816,18.3199,17.788,18.29,18299700,3.5673839184597878
2025-12-05,18.16,18.225,18.03,18.07,9198260,-1.2028430836522608
2025-12-08,18.07,18.07,17.7,17.72,7209579,-1.9369120088544634
2025-12-09,17.75,18.015,17.725,17.75,16529086,0.16930022573364845
2025-12-10,17.7,18.125,17.62,18.07,10143617,1.8028169014084439
2025-12-11,17.95,17.99,17.77,17.8,12986512,-1.4941892639734333
2025-12-12,17.8,17.89,17.66,17.78,7955901,-0.11235955056179137
2025-12-15,17.76,17.92,17.69,17.78,8091178,0.0
2025-12-16,17.715,17.885,17.67,17.77,14058789,-0.05624296962880582
2025-12-17,17.88,18.275,17.865,18.22,15974891,2.532357906584126
2025-12-18,18.21,19.31,18.21,19.18,29526532,5.268935236004402
2025-12-19,19.075,30.0,18.99,20.22,118705820,5.422314911366
2025-12-22,19.76,19.8,18.78,19.16,23938801,-5.242334322453013
2025-12-23,18.78,19.02,18.485,18.57,13292134,-3.0793319415448828
2025-12-24,18.55,18.73,18.445,18.67,13262530,0.5385029617662962
2025-12-26,18.64,18.825,18.515,18.79,6204021,0.6427423674343791
2025-12-29,18.5,18.56,18.28,18.43,6075809,-1.915912719531665
2025-12-30,18.35,18.38,18.03,18.04,6867506,-2.1161150298426468
2025-12-31,18.105,18.135,17.82,17.82,4524057,-1.2195121951219412
2026-01-02,18.14,18.315,18.0332,18.15,8327871,1.8518518518518379
2026-01-05,17.87,18.095,17.67,17.68,16098946,-2.5895316804407598
2026-01-06,17.845,18.23,17.84,18.1,11906982,2.3755656108597423
2026-01-07,18.3998,18.54,18.16,18.23,8959955,0.7182320441988965
2026-01-08,18.07,18.23,17.97,18.04,7461606,-1.042238069116852
2026-01-09,18.1,18.1,17.7,17.83,6356287,-1.164079822616415
2026-01-12,17.7,17.84,17.55,17.8,12811603,-0.16825574873806648
2026-01-13,17.75,17.795,17.46,17.52,19913450,-1.573033707865179
2026-01-14,18.38,19.45,18.07,19.35,37606915,10.445205479452069
