date,open,high,low,close,volume,change_pct
2025-07-14,23.24,23.4,22.88,23.3,48420516,0.0
2025-07-15,23.57,23.78,22.9,22.92,66099351,-1.6309012875536433
2025-07-16,22.99,23.13,22.25,22.69,58865893,-1.0034904013961676
2025-07-17,22.66,23.045,22.5902,22.8,49384037,0.4847950639047971
2025-07-18,23.22,23.59,22.9,23.1,60195598,1.3157894736842035
2025-07-21,23.4,23.83,23.16,23.26,61657989,0.6926406926407003
2025-07-22,23.34,23.535,23.08,23.24,53969845,-0.08598452278590907
2025-07-23,23.255,23.62,22.92,23.49,68711715,1.075731497418242
2025-07-24,23.49,23.575,22.6,22.63,131963323,-3.661132396764577
2025-07-25,20.675,21.045,20.36,20.7,245077682,-8.528501988510829
2025-07-28,20.82,21.29,20.65,20.68,86105582,-0.09661835748792091
2025-07-29,20.69,20.845,20.34,20.41,100831524,-1.3056092843326872
2025-07-30,20.43,20.6199,20.08,20.34,67420330,-0.3429691327780482
2025-07-31,20.17,20.2288,19.66,19.8,90665198,-2.654867256637161
2025-08-01,19.5,19.55,18.965,19.31,86496139,-2.474747474747485
2025-08-04,19.515,19.59,19.35,19.5,69249371,0.9839461418954087
2025-08-05,19.7,20.535,19.68,20.19,97338249,3.5384615384615348
2025-08-06,20.12,20.48,19.87,20.41,67074217,1.08964834076275
2025-08-07,20.0,20.44,19.6,19.77,131382767,-3.135717785399317
2025-08-08,20.0,20.02,19.61,19.95,75415017,0.9104704097116834
2025-08-11,20.445,21.6,20.44,20.65,175545596,3.50877192982455
2025-08-12,21.2,21.86,20.76,21.81,134488173,5.617433414043593
2025-08-13,21.62,22.3,21.36,22.22,86024355,1.8798716185236097
2025-08-14,21.99,24.2,21.9,23.86,188052460,7.380738073807391
2025-08-15,25.01,25.645,24.11,24.56,310161102,2.933780385582563
2025-08-18,24.0,24.9,23.21,23.66,212515617,-3.664495114006505
2025-08-19,24.94,26.53,24.94,25.31,297659156,6.973795435333896
2025-08-20,24.9,24.933,23.3302,23.54,161149398,-6.993283287238238
2025-08-21,23.525,23.57,22.775,23.5,97718294,-0.1699235344095107
2025-08-22,23.65,25.23,23.65,24.8,200266834,5.531914893617018
2025-08-25,25.5,25.88,24.44,24.55,156825631,-1.008064516129037
2025-08-26,24.58,24.735,24.1,24.35,78558225,-0.8146639511201648
2025-08-27,24.19,24.99,24.05,24.85,90934420,2.053388090349073
2025-08-28,24.96,25.14,24.61,24.93,60035093,0.32193158953721657
2025-08-29,24.76,24.97,24.28,24.35,63734417,-2.3265142398716354
2025-09-02,23.88,24.24,23.68,24.21,57661836,-0.5749486652977476
2025-09-03,24.09,24.0905,23.72,24.0,47822866,-0.867410161090465
2025-09-04,23.85,24.64,23.75,24.61,59056496,2.5416666666666643
2025-09-05,24.6,24.71,24.1701,24.49,55975270,-0.4876066639577403
2025-09-08,24.48,24.735,24.12,24.48,51122136,-0.04083299305838173
2025-09-09,24.53,24.805,24.27,24.44,42146182,-0.16339869281045694
2025-09-10,24.415,24.87,24.28,24.77,61600705,1.350245499181657
2025-09-11,24.76,24.93,24.57,24.61,55536921,-0.645942672587807
2025-09-12,24.61,24.63,24.05,24.08,52672821,-2.153596099146693
2025-09-15,24.33,25.46,24.2201,24.77,83951622,2.8654485049834033
2025-09-16,24.82,25.34,24.69,25.27,60336569,2.0185708518368983
2025-09-17,25.075,25.26,24.45,24.9,63093682,-1.4641867827463462
2025-09-18,31.78,32.3771,30.16,30.57,523907959,22.7710843373494
2025-09-19,30.38,30.63,29.33,29.58,225702854,-3.238469087340534
2025-09-22,29.67,30.1,28.73,28.76,130314474,-2.772143340094646
2025-09-23,28.99,30.2,28.815,29.34,126317911,2.016689847009734
2025-09-24,29.38,31.7,29.23,31.22,164458509,6.407634628493519
2025-09-25,31.61,34.25,31.21,33.99,295709290,8.872517616912257
2025-09-26,35.015,36.3,34.49,35.5,268583278,4.442483083259785
2025-09-29,34.52,35.05,33.73,34.48,152605909,-2.8732394366197234
2025-09-30,33.93,34.235,33.02,33.55,124818376,-2.697215777262185
2025-10-01,33.53,36.06,33.5,35.94,162649650,7.123695976154987
2025-10-02,35.76,37.57,35.44,37.3,149361652,3.7840845854201444
2025-10-03,37.95,38.08,36.45,36.83,125359342,-1.2600536193029477
2025-10-06,37.19,38.68,36.43,36.59,112086069,-0.6516426825956989
2025-10-07,36.64,38.0468,36.3501,37.17,111140155,1.5851325498769997
2025-10-08,36.545,37.79,35.9102,37.43,103202085,0.6994888350820405
2025-10-09,37.53,38.1,36.86,37.8,89884658,0.9885118888592004
2025-10-10,38.46,39.65,36.3,36.37,183063296,-3.783068783068788
2025-10-13,36.44,37.51,36.28,37.22,104020679,2.337091009073422
2025-10-14,36.0,36.545,34.69,35.63,117908345,-4.2718968296614594
2025-10-15,36.4,37.485,35.64,37.15,99242706,4.266067920291872
2025-10-16,37.15,38.02,36.41,36.84,83357846,-0.8344549125168133
2025-10-17,36.36,38.38,36.08,37.01,119394707,0.46145494028229095
2025-10-20,37.57,38.5198,37.56,38.1,80230234,2.9451499594704167
2025-10-21,38.14,38.35,37.67,38.12,73134908,0.052493438320189156
2025-10-22,37.835,37.93,36.0401,36.92,87099905,-3.147953830010486
2025-10-23,36.6,38.4,36.4301,38.16,121974238,3.358613217768136
2025-10-24,40.02,41.12,37.83,38.28,246379974,0.3144654088050425
2025-10-27,38.39,40.67,38.23,39.54,160007604,3.2915360501567292
2025-10-28,39.59,42.48,39.54,41.53,181256370,5.03287809812849
2025-10-29,41.6,42.04,40.92,41.34,106962947,-0.45750060197446984
2025-10-30,40.97,41.43,40.11,40.16,84855468,-2.8543783260764566
2025-10-31,40.68,40.8263,39.79,39.99,80471369,-0.4233067729083495
2025-11-03,40.25,40.45,39.05,39.5,61267512,-1.2253063265816544
2025-11-04,38.14,38.25,36.63,37.03,102250306,-6.253164556962021
2025-11-05,37.415,38.6898,37.11,38.38,74631599,3.6456926816095026
2025-11-06,38.335,39.8446,36.8,37.24,77629908,-2.970297029702973
2025-11-07,37.26,38.27,36.97,38.13,95521436,2.3899033297529515
2025-11-10,38.93,39.525,37.9659,38.45,77820266,0.8392341987935925
