date,open,high,low,close,volume,change_pct
2025-07-21,928.46,945.005,925.65,937.76,674127,0.0
2025-07-22,938.67,938.67,890.0,892.22,1619787,-4.856253199112781
2025-07-23,899.39,899.9999,879.81,897.09,1207454,0.5458295039340033
2025-07-24,901.81,912.315,894.2,904.18,549939,0.7903331884203224
2025-07-25,892.34,905.0,888.07,902.09,808007,-0.2311486650887984
2025-07-28,917.36,931.94,915.0001,923.15,840288,2.334578589719416
2025-07-29,928.59,936.97,915.1,916.09,1027519,-0.7647727888208777
2025-07-30,922.65,927.82,913.38,924.99,1058172,0.971520265476089
2025-07-31,864.45,897.19,860.0,879.03,2284147,-4.968702364349886
2025-08-01,856.2,894.1606,855.28,886.64,1474680,0.865726994528071
2025-08-04,896.75,917.78,891.0,915.62,1064594,3.2685193539655266
2025-08-05,917.0,921.99,875.96,883.41,1178332,-3.5178349096786965
2025-08-06,883.41,889.12,869.22,888.28,935026,0.5512729083890777
2025-08-07,912.4,917.5284,904.9779,912.06,717323,2.677083802404634
2025-08-08,913.0,917.94,905.68,914.8,719502,0.3004188320943735
2025-08-11,922.15,933.34,907.635,910.18,814190,-0.5050284215128986
2025-08-12,913.68,939.26,907.48,935.53,1028198,2.7851633742776105
2025-08-13,940.0,952.35,937.55,949.48,900843,1.4911333682511518
2025-08-14,941.66,959.26,934.915,955.41,1005313,0.624552386569488
2025-08-15,924.23,924.23,873.1583,874.94,2064549,-8.422562041427229
2025-08-18,873.04,883.755,870.43,883.39,854195,0.9657805106635831
2025-08-19,883.39,889.25,874.1309,876.08,986656,-0.8274940852850854
2025-08-20,878.53,880.225,860.21,878.44,978724,0.2693817916171959
2025-08-21,876.44,881.29,866.62,872.39,730577,-0.6887209143481732
2025-08-22,872.39,893.83,869.23,870.28,946707,-0.24186430380908064
2025-08-25,870.27,886.75,866.0201,879.55,469251,1.065174426621307
2025-08-26,881.265,892.8799,881.265,888.1,812334,0.9720879995452236
2025-08-27,885.89,890.63,879.985,888.89,528658,0.08895394662762346
2025-08-28,893.01,897.0,885.0,894.0,964270,0.574874281407145
2025-08-29,881.5,884.995,864.81,872.0,954368,-2.460850111856827
2025-09-02,845.84,852.8499,836.725,846.35,1242049,-2.9415137614678843
2025-09-03,847.66,847.66,832.24,843.9,933710,-0.28947834820109986
2025-09-04,843.2,876.66,839.0,873.29,813491,3.482640123237357
2025-09-05,879.63,906.26,878.335,905.09,1155573,3.6414020543004133
2025-09-08,910.0,924.35,906.74,908.98,886690,0.4297915124462648
2025-09-09,910.75,922.7499,910.23,917.73,677983,0.9626174393275955
2025-09-10,921.86,935.23,914.9,932.63,713063,1.6235712028592308
2025-09-11,940.0,963.89,937.475,959.28,1022087,2.8575104811125573
2025-09-12,957.48,968.0899,955.0,964.02,584146,0.49412059044282586
2025-09-15,966.99,990.0,966.99,988.91,845886,2.581896641148518
2025-09-16,993.5,1002.035,975.0595,990.57,776229,0.16786158497741344
2025-09-17,990.38,1000.0,976.27,989.87,723855,-0.070666384001139
2025-09-18,1030.83,1076.79,1025.785,1046.69,1825038,5.7401476961621345
2025-09-19,1051.9,1052.48,1029.315,1044.81,1586978,-0.17961383026493527
2025-09-22,1038.89,1072.97,1037.5,1071.25,1020716,2.530603650424479
2025-09-23,1067.85,1075.52,1060.79,1071.2,829643,-0.004667444574091295
2025-09-24,1066.32,1076.0,1057.64,1068.67,868147,-0.23618371919342795
2025-09-25,1058.61,1066.995,1045.8043,1059.1,710581,-0.8955056284914997
2025-09-26,1056.54,1068.66,1046.1601,1064.29,505437,0.49003871211406036
2025-09-29,1077.18,1085.6,1063.18,1064.13,769654,-0.015033496509397892
2025-09-30,1063.8,1079.865,1057.07,1078.6,886519,1.3597962654938511
2025-10-01,1075.18,1134.22,1069.78,1128.87,1188082,4.660671240496939
2025-10-02,1155.0,1155.0,1127.22,1139.26,924860,0.9203894159646397
2025-10-03,1128.0,1132.405,1099.17,1101.55,953743,-3.310043361480264
2025-10-06,1121.68,1152.12,1121.68,1139.71,946278,3.46420952294495
2025-10-07,1140.81,1142.04,1083.0,1084.74,878785,-4.823156767949744
2025-10-08,1063.51,1077.325,1059.01,1062.59,1476001,-2.0419639729336136
2025-10-09,1062.59,1066.5,1037.24,1053.47,1247921,-0.8582802397914424
2025-10-10,1052.29,1054.2737,980.97,982.75,1576002,-6.71305305324309
2025-10-13,1016.25,1033.9,1014.9,1025.0,1227091,4.299160518951917
2025-10-14,998.55,1042.465,998.55,1025.71,1056057,0.06926829268292245
2025-10-15,1057.08,1092.8924,1053.94,1087.01,1313727,5.9763480905909105
2025-10-16,1100.15,1117.0,1079.79,1098.8,1031363,1.084626636369479
2025-10-17,1098.35,1109.48,1084.085,1106.66,879191,0.7153258099745319
2025-10-20,1130.06,1161.18,1126.5,1152.885,1078652,4.176982993873457
2025-10-21,1140.81,1156.32,1138.59,1147.43,744829,-0.473160809621076
2025-10-22,1147.43,1147.43,1090.335,1114.32,1361765,-2.8855790767192913
2025-10-23,1106.66,1163.1,1106.66,1159.0,946795,4.009620216813858
2025-10-24,1166.0,1191.26,1160.6,1182.82,825488,2.055220017256243
2025-10-27,1200.0,1221.195,1200.0,1215.13,971274,2.7316075142456375
2025-10-28,1206.68,1209.6558,1195.79,1206.04,665675,-0.7480681079390816
2025-10-29,1225.99,1259.55,1224.47,1235.28,1463463,2.424463533547816
2025-10-30,1234.22,1284.47,1172.81,1214.41,2037655,-1.6894954989961741
2025-10-31,1223.75,1240.365,1200.85,1208.74,885212,-0.46689338855906426
2025-11-03,1216.14,1231.08,1207.47,1219.14,905742,0.8604000860400252
2025-11-04,1198.2,1229.48,1191.43,1193.49,1201420,-2.1039421231359934
2025-11-05,1203.55,1243.14,1201.525,1227.1,901380,2.8161107340656244
2025-11-06,1223.05,1223.05,1191.78,1206.4,1179121,-1.6869040827968251
2025-11-07,1199.89,1208.32,1160.12,1193.37,1142370,-1.0800729442970947
2025-11-10,1220.94,1226.8299,1201.73,1217.95,948427,2.0597132490342673
2025-11-11,1203.1,1210.695,1185.0,1190.9,911965,-2.220945030584176
2025-11-12,1208.12,1209.86,1192.845,1198.97,824613,0.6776387606012291
2025-11-13,1187.16,1192.77,1148.71,1161.72,1203459,-3.106833365305217
2025-11-14,1135.54,1175.22,1127.0705,1134.32,1444574,-2.3585717728884847
2025-11-17,1139.9,1155.845,1118.11,1133.7,1326713,-0.05465829748217965
2025-11-18,1114.44,1140.44,1097.89,1123.09,1152232,-0.9358736879245044
2025-11-19,1131.9,1177.385,1129.49,1167.46,960047,3.9507074232697503
2025-11-20,1187.96,1201.49,1097.58,1102.45,1171922,-5.568499134873994
2025-11-21,1097.0,1110.83,1071.96,1097.12,1438656,-0.4834686380334796
2025-11-24,1104.9,1147.97,1103.0,1136.73,1579584,3.6103616742015676
2025-11-25,1130.19,1148.48,1107.42,1145.89,944253,0.8058202035663875
2025-11-26,1157.75,1167.27,1144.87,1159.07,1125877,1.150197662951924
2025-11-28,1168.885,1175.98,1151.0,1175.47,389265,1.4149274849664106
2025-12-01,1165.0,1175.74,1151.22,1157.18,609276,-1.5559733553387134
2025-12-02,1170.5,1197.9,1163.7,1189.86,953547,2.824106880519861
2025-12-03,1186.0,1215.96,1166.218,1211.75,810390,1.8397122350528816
2025-12-04,1202.56,1217.06,1197.805,1208.08,703309,-0.30286775324943616
2025-12-05,1224.0,1240.0,1212.32,1214.46,681928,0.5281107211443148
2025-12-08,1232.57,1242.4,1219.2,1224.59,819896,0.8341155739999495
2025-12-09,1215.73,1233.6,1211.63,1225.61,782741,0.0832931838411266
2025-12-10,1230.87,1253.7,1220.799,1238.91,712006,1.0851739133982408
2025-12-11,1229.28,1250.69,1191.0,1246.18,922326,0.5868061441105521
2025-12-12,1230.05,1239.6499,1185.18,1193.92,1143931,-4.193615689547259
2025-12-15,1229.025,1255.0,1215.341,1225.11,1258601,2.6124028410613676
2025-12-16,1237.01,1240.0,1207.41,1223.37,735670,-0.1420280627862036
2025-12-17,1223.0,1233.56,1169.39,1172.02,913831,-4.197421875638597
2025-12-18,1223.0,1233.0,1211.0,1222.39,1056469,4.297708230234987
2025-12-19,1240.01,1263.57,1239.61,1245.67,2156463,1.904465841507208
2025-12-22,1276.37,1278.0,1249.89,1265.66,604495,1.604758884776869
2025-12-23,1259.01,1272.09,1257.535,1268.75,600793,0.24414139658359701
2025-12-24,1269.38,1279.18,1265.0011,1276.99,210292,0.649458128078817
2025-12-26,1283.0,1286.81,1275.26,1279.6,337506,0.20438687851900283
2025-12-29,1273.09,1286.07,1256.73,1260.39,641771,-1.5012503907470887
2025-12-30,1266.79,1267.61,1241.23,1243.65,384258,-1.3281603313260226
2025-12-31,1243.65,1250.93,1214.09,1215.08,608043,-2.2972701322719558
2026-01-02,1259.71,1283.99,1250.5501,1274.47,832190,4.887744016854856
2026-01-05,1309.97,1371.89,1304.0,1352.45,1319862,6.118621858498052
2026-01-06,1369.31,1406.97,1365.281,1395.0,1141603,3.1461421864024564
2026-01-07,1369.07,1380.0,1352.54,1359.69,904494,-2.5311827956989164
2026-01-08,1351.27,1353.81,1309.2,1324.6,948839,-2.580735314667326
2026-01-09,1357.42,1404.46,1336.0,1400.0,1102428,5.6922844632341985
2026-01-12,1386.63,1432.2504,1386.63,1428.17,855831,2.0121428571428623
2026-01-13,1461.0,1469.86,1433.2,1441.82,996849,0.9557685709684405
2026-01-14,1430.87,1434.79,1396.095,1434.5,896547,-0.5076916674758292
