date,open,high,low,close,volume,change_pct
2025-07-17,3.2,3.46,3.07,3.33,29477645,0.0
2025-07-18,3.39,3.43,3.16,3.28,16068499,-1.501501501501512
2025-07-21,3.34,3.37,3.11,3.12,12341904,-4.8780487804877986
2025-07-22,3.16,3.39,3.145,3.36,14653762,7.692307692307687
2025-07-23,3.34,3.35,3.18,3.28,9013232,-2.3809523809523836
2025-07-24,3.35,3.44,3.19,3.2,9159905,-2.4390243902438935
2025-07-25,3.23,3.23,3.02,3.05,7687266,-4.687500000000011
2025-07-28,3.06,3.06,2.8,2.83,12277949,-7.213114754098349
2025-07-29,2.83,2.83,2.6335,2.64,10371155,-6.7137809187279185
2025-07-30,2.66,2.67,2.53,2.55,8585652,-3.409090909090917
2025-07-31,2.58,2.59,2.5,2.57,7227821,0.7843137254901933
2025-08-01,2.54,2.56,2.47,2.55,6275366,-0.7782101167315147
2025-08-04,2.59,2.68,2.565,2.65,6791424,3.9215686274509887
2025-08-05,2.675,2.675,2.54,2.63,5287738,-0.7547169811320753
2025-08-06,2.63,2.6599,2.53,2.56,5811614,-2.6615969581748944
2025-08-07,2.629,2.8,2.62,2.73,10358720,6.640625
2025-08-08,2.77,2.8275,2.73,2.79,6415828,2.19780219780219
2025-08-11,3.065,3.19,2.99,3.05,18323334,9.31899641577061
2025-08-12,3.04,3.04,2.8,2.85,11070812,-6.5573770491803245
2025-08-13,2.91,2.99,2.8301,2.95,10644815,3.5087719298245723
2025-08-14,2.83,2.96,2.734,2.86,10567289,-3.050847457627126
2025-08-15,2.89,2.98,2.8603,2.9,6189236,1.3986013986013957
2025-08-18,2.89,2.97,2.84,2.93,7184497,1.0344827586207028
2025-08-19,2.91,2.92,2.77,2.81,6339120,-4.0955631399317465
2025-08-20,2.77,2.785,2.66,2.73,5959899,-2.8469750889679735
2025-08-21,2.7002,2.77,2.69,2.75,3507775,0.73260073260073
2025-08-22,2.76,2.8299,2.73,2.79,4665537,1.454545454545464
2025-08-25,2.765,2.93,2.73,2.83,6488666,1.4336917562723928
2025-08-26,2.84,2.9199,2.81,2.88,4194943,1.7667844522968101
2025-08-27,2.86,3.02,2.83,2.98,11103583,3.472222222222232
2025-08-28,2.98,3.03,2.93,2.97,3794835,-0.3355704697986517
2025-08-29,2.98,3.04,2.93,2.99,5452148,0.6734006734006703
2025-09-02,2.92,2.92,2.77,2.83,5702001,-5.35117056856188
2025-09-03,2.84,2.9299,2.82,2.86,3976153,1.0600706713780772
2025-09-04,2.83,2.84,2.74,2.79,4675214,-2.447552447552437
2025-09-05,2.85,2.94,2.81,2.89,5932830,3.584229390681015
2025-09-08,2.89,3.02,2.85,2.97,8082877,2.768166089965396
2025-09-09,2.88,2.9,2.82,2.84,7499022,-4.3771043771043905
2025-09-10,2.85,2.8799,2.78,2.8,4679065,-1.4084507042253502
2025-09-11,2.81,2.87,2.76,2.84,4341151,1.4285714285714235
2025-09-12,2.8449,2.87,2.79,2.86,3695153,0.7042253521126751
2025-09-15,2.91,3.2,2.885,3.2,13210449,11.888111888111897
2025-09-16,3.17,3.28,3.14,3.22,8223847,0.6250000000000089
2025-09-17,3.2,3.32,3.15,3.26,7301714,1.2422360248447006
2025-09-18,3.285,3.285,3.14,3.22,6077078,-1.2269938650306678
2025-09-19,3.24,3.3,3.225,3.25,9019607,0.9316770186335255
2025-09-22,3.24,3.3,3.16,3.3,4978406,1.538461538461533
2025-09-23,3.13,3.23,2.96,3.07,61995572,-6.969696969696971
2025-09-24,5.055,6.3,4.98,6.01,289496390,95.76547231270358
2025-09-25,6.78,7.53,6.37,7.37,212855469,22.628951747088188
2025-09-26,7.14,7.48,6.26,6.33,85062045,-14.111261872455906
2025-09-29,6.15,6.38,5.51,5.74,48684822,-9.320695102685617
2025-09-30,5.65,5.81,5.23,5.71,77951181,-0.5226480836237002
2025-10-01,7.47,7.55,6.58,7.04,215964639,23.29246935201401
2025-10-02,6.72,7.18,6.63,6.86,76336837,-2.5568181818181768
2025-10-03,6.97,9.33,6.91,9.04,191312891,31.778425655976662
2025-10-06,9.47,9.48,8.44,8.45,89786855,-6.526548672566368
2025-10-07,8.59,9.4,7.97,8.27,78123552,-2.130177514792897
2025-10-08,8.29,8.92,7.81,7.87,65044600,-4.8367593712212775
