date,open,high,low,close,volume,change_pct
2025-07-14,113.15,113.88,110.34,112.89,3070859,0.0
2025-07-15,113.75,114.32,107.68,107.73,3245471,-4.570821153335103
2025-07-16,108.4,110.31,107.46,109.43,2874302,1.578019121878782
2025-07-17,109.5,110.43,108.99,109.7,1634568,0.24673307136982014
2025-07-18,110.225,110.69,108.47,109.57,2221789,-0.11850501367366428
2025-07-21,110.54,111.22,108.98,109.43,2277931,-0.12777220041980675
2025-07-22,114.12,119.2258,113.84,118.53,5242186,8.315818331353375
2025-07-23,119.5,119.6,116.3298,117.26,2939265,-1.0714587024381994
2025-07-24,116.4,116.9,113.19,113.51,2792129,-3.198021490704417
2025-07-25,114.125,115.7,112.84,115.33,2553889,1.6033829618535833
2025-07-28,115.025,117.89,114.11,116.14,2891166,0.7023324373536921
2025-07-29,116.22,116.64,114.735,115.86,1744158,-0.24108834165662563
2025-07-30,115.64,116.565,111.7,112.37,2526027,-3.0122561712411455
2025-07-31,110.75,113.51,110.33,112.18,2258666,-0.1690842751624122
2025-08-01,114.145,116.92,113.82,115.98,3639747,3.3874130861116125
2025-08-04,115.805,119.13,115.6694,118.77,2527881,2.4055871702017617
2025-08-05,118.685,121.7,118.07,120.1,3021483,1.1198114001852222
2025-08-06,120.1,121.165,119.28,119.35,2507677,-0.624479600333061
2025-08-07,121.0,122.83,119.285,119.51,2255741,0.1340594888981972
2025-08-08,119.83,121.47,119.6,120.85,2093924,1.1212450840933696
2025-08-11,121.49,123.0,118.26,120.53,2412240,-0.26479106330160596
2025-08-12,121.38,124.84,120.6,124.47,3047724,3.2688957106114636
2025-08-13,125.1,132.58,124.91,130.89,5589866,5.157869366112311
2025-08-14,127.24,130.72,127.04,130.45,3549240,-0.33616013446404747
2025-08-15,136.0,136.07,131.65,131.95,5174311,1.1498658489842883
2025-08-18,132.6,133.76,131.09,131.43,2653172,-0.39408866995072067
2025-08-19,132.64,134.815,132.4728,134.25,3540885,2.145628851860293
2025-08-20,133.88,135.24,130.16,130.32,3653089,-2.927374301675978
2025-08-21,129.07,129.8,126.8,129.14,2272074,-0.9054634745242485
2025-08-22,130.0,136.92,128.915,135.75,3937782,5.118476072479483
