date,open,high,low,close,volume,change_pct
2025-07-17,228.75,235.82,225.4,233.89,1051996,0.0
2025-07-18,239.0,249.42,234.9479,249.34,1219634,6.605669331737141
2025-07-21,249.4,250.88244,222.2201,224.0,1928983,-10.162829870859069
2025-07-22,219.0009,225.24,208.0,215.83,1350210,-3.647321428571426
2025-07-23,221.5,233.9,218.0,229.51,1454067,6.338321827364113
2025-07-24,235.0,246.59,232.73,242.33,1084100,5.585813254324434
2025-07-25,245.0,246.0,239.0,241.0,747739,-0.5488383609128067
2025-07-28,245.95,246.115,227.57,239.4,821666,-0.663900414937757
2025-07-29,239.19,242.0,222.895,224.08,1127639,-6.3993316624895495
2025-07-30,216.0749,233.87,216.0,225.19,1003791,0.49535880042841374
2025-07-31,225.915,227.2377,213.0,215.4,1072968,-4.347439939606545
2025-08-01,200.8292,214.21,192.9443,208.33,1298988,-3.2822655524605393
2025-08-04,211.5,212.0,198.6,210.05,1065088,0.82561320981136
2025-08-05,212.7,218.96,206.12,213.8,1086135,1.7852892168531254
2025-08-06,235.0,264.9,230.1001,232.39,2838158,8.695042095416273
2025-08-07,235.4,237.8299,222.22,234.94,1528445,1.097293343087058
2025-08-08,231.0,246.0,217.02,223.15,1282750,-5.018302545330721
2025-08-11,219.2853,224.9999,211.0,219.1,774671,-1.8149226977369537
2025-08-12,217.625,229.96,215.0,217.37,1057662,-0.7895937927886787
2025-08-13,201.1,201.8,183.33,187.44,5105536,-13.76914937663891
2025-08-14,188.61,192.65,182.47,189.08,2849831,0.8749466495945546
2025-08-15,187.5,187.5567,177.05,183.41,1666487,-2.9987306960017057
2025-08-18,182.155,182.25,175.21,177.57,1075173,-3.184123003107797
2025-08-19,179.0,179.0,164.7601,166.58,1368245,-6.189108520583419
2025-08-20,167.99,177.67,162.1,175.99,1543386,5.6489374474726795
2025-08-21,176.96,179.94,173.82,177.28,833949,0.732996192965496
2025-08-22,178.81,191.99,174.32,186.47,1713630,5.183889891696758
2025-08-25,191.99,193.1,184.41,185.28,978608,-0.6381723601651679
2025-08-26,194.02,211.52,192.16,208.67,2440480,12.62413644214162
2025-08-27,205.51,210.48,197.68,198.29,1394577,-4.974361431926011
2025-08-28,205.0,215.2899,202.0,209.38,1529783,5.592818599021632
2025-08-29,211.21,212.0,195.0,201.73,1440297,-3.6536440920813873
2025-09-02,192.2953,204.9999,186.5,203.89,956133,1.0707381153026274
2025-09-03,207.5,209.95,197.88,201.54,1061710,-1.1525822747559977
2025-09-04,202.5,205.88,198.06,199.01,619566,-1.2553339287486365
2025-09-05,201.8,205.4,191.68,205.39,928353,3.2058690518064425
2025-09-08,205.6,208.22,198.2,204.68,767656,-0.34568382102341255
2025-09-09,205.0,223.98,202.4387,217.9,1521739,6.458862614813365
2025-09-10,222.0,225.5,215.76,219.3,884228,0.6424965580541508
2025-09-11,218.96,232.665,214.001,224.32,1182141,2.289101687186501
2025-09-12,220.1,228.0,219.9,222.13,663185,-0.9762838801711804
2025-09-15,223.5,243.8,220.13,243.48,1491582,9.611488767838662
2025-09-16,243.24,243.24,226.43,233.62,1311354,-4.049613931329055
2025-09-17,231.805,235.0,221.23,230.15,950807,-1.4853180378392228
2025-09-18,236.0,264.88,231.62,262.65,1886106,14.121225287855733
2025-09-19,260.5,301.57,260.0,294.49,3395635,12.122596611460136
2025-09-22,299.9999,312.54,282.5601,306.22,1943723,3.9831573228293005
2025-09-23,309.1,312.0,295.05,302.59,1287470,-1.1854222454444674
2025-09-24,303.845,304.966,276.0,276.0,1618046,-8.787468191281922
2025-09-25,261.5569,318.08,261.5569,312.19,2995270,13.112318840579707
2025-09-26,315.67,337.999,297.0,305.35,1763822,-2.1909734456580843
2025-09-29,316.765,322.0,299.4555,315.62,1350380,3.3633535287375116
2025-09-30,308.002,320.755,306.0,310.07,1056845,-1.7584436981179952
2025-10-01,305.01,334.78,303.5797,331.11,1124759,6.785564549940348
2025-10-02,339.585,350.03,325.5001,349.09,1005791,5.4302195644951645
2025-10-03,351.5,360.14,334.05,343.49,1076985,-1.6041708441948965
2025-10-06,350.0,361.369,339.0,356.28,977263,3.7235436257241794
2025-10-07,358.54,388.62,357.0,370.07,1303213,3.8705512518244056
2025-10-08,376.94,386.0,359.0131,364.22,1266746,-1.580782014213522
2025-10-09,367.7,389.41,362.975,371.09,1101178,1.8862226127065895
2025-10-10,381.0,423.2376,362.65,363.71,2618459,-1.9887358861731652
2025-10-13,413.0,430.0,387.05,400.74,1944316,10.18118830936736
2025-10-14,388.5,415.13,370.0001,396.16,1373663,-1.1428856615261718
2025-10-15,430.0,460.5,412.16,436.0,2025922,10.056542810985448
2025-10-16,455.0,464.25,406.01,415.43,2058201,-4.717889908256878
2025-10-17,399.0,411.508,365.64,380.18,2461098,-8.48518402618973
2025-10-20,397.39,408.99,372.6,399.87,1452032,5.179125677310736
2025-10-21,386.0,395.0,367.7693,377.01,1063434,-5.716857978843127
2025-10-22,351.0,365.0,293.82,314.83,3386987,-16.492931221983508
2025-10-23,319.5,349.96,308.0001,344.23,1691045,9.338373090239195
2025-10-24,364.3,388.0,354.0001,383.0,1539625,11.262818464398805
2025-10-27,390.9,391.799,350.6,359.73,1540098,-6.075718015665787
2025-10-28,372.5,382.27,354.1,363.7,1232993,1.1036054818891916
2025-10-29,367.44,401.995,355.986,390.82,1538492,7.456695078361286
2025-10-30,377.41,393.9799,371.0,383.31,817519,-1.9216007369121324
2025-10-31,385.95,390.0,360.1801,367.46,1041364,-4.135034306436047
2025-11-03,351.0,362.08,332.0,342.99,1412424,-6.659228215315949
2025-11-04,312.92,340.0,312.02,327.2,1013345,-4.603632758972576
2025-11-05,331.01,338.86,321.0001,325.73,1076692,-0.4492665036674781
2025-11-06,285.0,299.9,266.0,277.78,2501887,-14.720781014951045
2025-11-07,254.01,298.9648,254.01,294.16,1907272,5.896752825977414
2025-11-10,310.0,317.1743,280.48,290.2,1478437,-1.3462061463149433
2025-11-11,279.02,283.8,267.16,275.54,989117,-5.05168849069606
2025-11-12,277.0,283.89,266.79,275.6,723204,0.0217754228061251
2025-11-13,263.78,269.0,247.87,253.85,1219576,-7.891872278664747
2025-11-14,230.1901,261.0,230.01,250.0,1396900,-1.5166436872168565
2025-11-17,241.99,251.84,240.0,245.64,850241,-1.744000000000001
2025-11-18,239.51,251.3,235.35,246.08,884377,0.1791239211854867
2025-11-19,251.66,267.99,247.9421,264.27,1345252,7.391905071521454
2025-11-20,283.99,286.0,239.64,241.31,1461990,-8.688084156355236
2025-11-21,236.2,243.6499,221.3466,241.73,1161051,0.1740499772077353
2025-11-24,238.505,253.0,235.0018,249.84,1052360,3.354982832085396
2025-11-25,249.84,252.5,232.1901,248.98,580550,-0.344220300992637
2025-11-26,254.0,258.3224,250.35,254.22,486016,2.104586713792278
2025-11-28,258.81,263.6,253.56,259.3,434532,1.9982692156399917
2025-12-01,248.0431,257.415,248.0431,251.36,531544,-3.0620902429618235
2025-12-02,254.42,270.9999,252.5,265.58,745539,5.657224697644803
2025-12-03,262.6902,269.99,253.8,268.1,721284,0.9488666315234706
2025-12-04,267.51,286.0,264.0,278.63,1098512,3.9276389406937673
2025-12-05,287.0,287.18,259.0,266.23,1088678,-4.45034633743674
2025-12-08,269.26,269.53,258.0,268.5,675900,0.8526462081658748
2025-12-09,264.0,266.77,258.0,264.69,785391,-1.4189944134078258
2025-12-10,260.01,270.5,248.93,264.58,1298994,-0.041558049038503686
2025-12-11,257.77,274.0,255.57,273.11,1001226,3.2239776249149754
2025-12-12,271.73,272.74,243.4801,249.01,1021190,-8.82428325583099
2025-12-15,250.25,251.99,228.5314,228.74,1056288,-8.140235331914369
2025-12-16,221.38,236.91,220.224,235.82,761464,3.095217277258011
2025-12-17,236.25,241.2999,220.865,221.09,831541,-6.246289542871675
2025-12-18,227.0,237.97,220.5,229.68,861715,3.8852955809851153
2025-12-19,235.0,265.88,234.735,261.77,1573370,13.971612678509215
2025-12-22,270.25,281.33,259.0,261.16,1262895,-0.23302899491918216
2025-12-23,254.4183,269.145,253.14,258.05,744946,-1.1908408638382606
2025-12-24,257.01,262.07,252.0001,260.18,341673,0.8254214299554308
2025-12-26,260.2,260.39,245.9,254.3,553051,-2.2599738642478218
2025-12-29,247.545,263.73,245.1428,249.24,763254,-1.9897758552890332
2025-12-30,248.85,254.74,243.54,247.03,616138,-0.8866955544856392
2025-12-31,246.85,248.5,239.0,242.76,607722,-1.7285349957495089
2026-01-02,247.95,272.701,246.1101,272.5,1071217,12.250782666007588
2026-01-05,280.55,305.76,276.0,300.41,1922965,10.242201834862396
2026-01-06,311.0,321.709,299.0,311.89,1486424,3.8214440264971117
2026-01-07,311.88,326.3599,306.0,322.97,967342,3.5525345474366032
2026-01-08,316.6,317.98,285.12,286.25,1536281,-11.369477041211262
2026-01-09,302.655,318.0525,300.005,306.19,1228665,6.965938864628818
2026-01-12,308.48,315.87,296.0,309.26,763409,1.0026454162448184
