date,open,high,low,close,volume,change_pct
2025-07-21,102.22,105.47,100.53,103.84,3612152,0.0
2025-07-22,103.13,103.48,97.5514,99.63,3131157,-4.054314329738062
2025-07-23,101.6696,104.61,99.92,102.13,2827329,2.509284352102781
2025-07-24,102.52,103.65,101.8,102.85,1186609,0.7049838441202327
2025-07-25,102.88,104.63,101.22,104.52,914468,1.6237238697131673
2025-07-28,105.02,107.24,104.5,107.17,1264754,2.535399923459636
2025-07-29,109.38,112.1,108.01,109.48,2399239,2.155453951665587
2025-07-30,109.4,111.24,107.89,109.85,1927893,0.3379612714651037
2025-07-31,110.64,114.1199,109.65,110.08,2170740,0.20937642239418075
2025-08-01,103.84,108.45,101.61,106.68,2431726,-3.0886627906976716
2025-08-04,108.795,111.2,107.02,111.13,1427835,4.171353580802384
2025-08-05,111.73,111.99,106.16,108.15,1648276,-2.6815441374966165
2025-08-06,109.575,110.92,108.34,110.01,2283391,1.7198335644937668
2025-08-07,111.0,113.0,108.71,111.13,1339204,1.0180892646123096
2025-08-08,112.8,116.35,112.19,116.27,2694616,4.6252137136686855
2025-08-11,116.69,119.41,114.01,115.03,4315472,-1.0664831856884827
2025-08-12,116.195,120.3,116.03,119.66,5893958,4.025036946883409
2025-08-13,123.3,129.98,117.9301,120.23,9253184,0.4763496573625403
2025-08-14,117.31,121.99,112.56,114.62,5323980,-4.666056724611156
2025-08-15,113.61,116.5,112.2,115.86,3165255,1.0818356307799704
2025-08-18,116.45,119.17,115.0,118.98,2973913,2.6929052304505374
2025-08-19,117.6,119.13,115.42,117.96,3167530,-0.8572869389813498
2025-08-20,115.14,116.59,111.2,115.89,3361655,-1.754832146490326
2025-08-21,115.89,117.8366,115.205,117.43,1867729,1.3288463197860034
2025-08-22,116.835,121.99,115.89,119.34,2679832,1.6265008941497072
2025-08-25,120.0,125.4,119.25,123.42,2887583,3.4188034188034067
2025-08-26,124.39,127.0299,123.5,124.62,3018816,0.9722897423432242
2025-08-27,124.86,128.21,123.7785,125.84,2972175,0.9789760873054165
2025-08-28,128.25,137.08,127.11,135.55,6643922,7.716147488874769
2025-08-29,136.46,137.1,131.18,132.81,2842694,-2.021394319439329
2025-09-02,127.87,132.88,125.0,132.555,2671632,-0.19200361418567624
2025-09-03,132.34,135.25,130.97,134.12,5218999,1.180641997661347
2025-09-04,137.0,142.01,133.91,141.91,8464834,5.808231434536237
2025-09-05,149.5,152.27,144.2,149.46,6409743,5.320273412726384
2025-09-08,150.99,152.25,148.42,149.4,3453603,-0.04014452027298887
2025-09-09,149.02,152.65,148.01,151.73,2154078,1.559571619812572
2025-09-10,159.5,167.96,158.3,164.88,5793990,8.666710604363015
2025-09-11,166.15,168.005,161.57,164.88,3672384,0.0
2025-09-12,163.78,166.5,161.58,163.02,2954325,-1.1280931586608367
2025-09-15,163.66,171.48,162.71,168.77,3859197,3.5271745798061582
2025-09-16,168.65,171.87,167.15,170.9,2925072,1.2620726432422735
2025-09-17,168.71,169.5777,160.845,163.34,4947563,-4.4236395552955
2025-09-18,167.36,173.385,167.125,171.5,3518041,4.9957144606342485
2025-09-19,171.37,172.5,167.57,168.73,4448258,-1.6151603498542388
2025-09-22,169.38,170.04,161.21,164.71,4080326,-2.382504593136958
2025-09-23,164.65,166.315,161.22,163.99,3051966,-0.43713192884463625
2025-09-24,162.475,163.1,151.37,152.75,5478413,-6.854076468077331
2025-09-25,146.62,160.8299,144.52,159.11,4751829,4.163666121112941
2025-09-26,157.36,160.85,156.07,160.75,2310248,1.0307334548425473
2025-09-29,165.0,165.87,162.27,162.58,2385177,1.1384136858475946
2025-09-30,161.88,165.4999,160.0,162.71,1709677,0.07996063476443105
2025-10-01,159.24,173.6,158.6,171.4,3262198,5.340790363222903
2025-10-02,176.75,178.4931,166.0589,169.75,2194972,-0.9626604434072372
2025-10-03,170.88,171.8,159.7,163.81,3197369,-3.4992636229749574
2025-10-06,169.0,170.76,158.21,160.6,3114099,-1.9595873267810315
2025-10-07,160.99,162.749,154.11,157.15,2524297,-2.14819427148194
2025-10-08,159.38,163.66,158.47,163.09,2258467,3.779828189627743
2025-10-09,163.66,165.03,159.19,159.76,1854372,-2.041817401434798
2025-10-10,160.8,160.8,147.81,149.61,3375899,-6.353279919879807
2025-10-13,158.3,160.78,155.41,160.56,2837873,7.319029476639249
2025-10-14,155.52,161.19,152.78,156.78,2443976,-2.3542600896861
2025-10-15,162.45,162.45,154.62,156.57,2393439,-0.13394565633372268
2025-10-16,159.88,168.1,158.6201,163.23,2608211,4.253688446062465
2025-10-17,160.63,170.6,160.44,164.77,2075480,0.9434540219322551
2025-10-20,164.18,169.98,160.6,161.0,2675005,-2.28803787097166
2025-10-21,161.0,165.7563,157.5,162.95,2416945,1.2111801242235876
2025-10-22,164.53,166.91,152.54,158.06,2407345,-3.0009205277692463
2025-10-23,158.81,170.17,157.395,168.5,2404389,6.605086675945837
2025-10-24,175.55,182.08,173.73,179.3,4055508,6.409495548961441
2025-10-27,193.63,206.91,190.06,193.8,5437782,8.087005019520355
2025-10-28,193.81,199.82,188.3,198.39,3168836,2.368421052631575
2025-10-29,201.09,214.5,198.11,214.28,6030158,8.009476284086903
2025-10-30,206.57,212.94,198.54,200.13,4242437,-6.603509426918053
2025-10-31,201.21,206.99,197.19,201.56,3449855,0.714535551891271
2025-11-03,208.69,210.99,196.47,199.58,5246876,-0.9823377654296417
2025-11-04,187.8,197.07,184.2,188.36,5864261,-5.621805792163547
2025-11-05,218.5,240.7099,213.0,232.75,11152676,23.566574644298143
2025-11-06,243.72,258.35,236.98,239.68,7209907,2.9774436090225675
2025-11-07,233.64,243.75,227.12,240.11,5621250,0.17940587449933876
2025-11-10,256.765,273.892,255.72,259.89,7156781,8.237890966640272
2025-11-11,252.01,259.1999,248.895,252.47,3518546,-2.8550540613336395
2025-11-12,262.46,270.0,250.795,253.81,4959774,0.5307561294411123
2025-11-13,248.07,249.39,220.34,226.86,5436526,-10.618178952759937
2025-11-14,215.52,237.22,215.35,232.15,4483856,2.3318346116547595
2025-11-17,236.5,252.12,233.0,242.07,4212323,4.273099289252635
2025-11-18,245.35,252.83,232.11,247.43,5416381,2.214235551699928
2025-11-19,258.96,280.22,253.95,268.92,6481801,8.685284726993503
2025-11-20,280.0,282.6599,229.585,233.24,7680894,-13.267886360255844
2025-11-21,249.5,259.0,233.72,255.59,7714645,9.582404390327559
2025-11-24,267.2,300.0,266.005,299.36,7586237,17.125083140967966
2025-11-25,293.28,295.9226,280.63,291.27,6371886,-2.7024318546232107
2025-11-26,289.76,312.99,279.06,308.28,4184466,5.839942321557312
2025-11-28,307.74,325.46,306.02,325.16,2194027,5.47554171532374
