date,open,high,low,close,volume,change_pct
2025-07-21,3.45,3.5684,3.29,3.32,116530,0.0
2025-07-22,3.32,3.32,3.09,3.13,246519,-5.722891566265053
2025-07-23,3.1,3.25,3.06,3.21,150178,2.5559105431310014
2025-07-24,3.23,3.24,3.1577,3.2,107654,-0.31152647975076775
2025-07-25,3.19,3.2284,3.06,3.06,210129,-4.375000000000007
2025-07-28,3.14,3.1955,3.01,3.03,87464,-0.9803921568627527
2025-07-29,3.04,3.1,2.95,2.99,216070,-1.3201320132013028
2025-07-30,3.03,3.1,2.95,2.985,253078,-0.16722408026756952
2025-07-31,2.98,3.19,2.97,2.99,448506,0.16750418760469454
2025-08-01,2.97,3.15,2.91,2.96,173220,-1.0033444816053616
2025-08-04,2.96,3.38,2.96,3.285,487558,10.979729729729737
2025-08-05,3.32,3.68,3.2861,3.51,603777,6.849315068493134
2025-08-06,3.53,3.62,3.4076,3.6,267373,2.564102564102577
2025-08-07,3.67,3.86,3.6101,3.68,615048,2.2222222222222143
2025-08-08,3.68,3.7165,3.56,3.63,192041,-1.3586956521739246
2025-08-11,3.61,3.7,3.53,3.65,154330,0.5509641873278293
2025-08-12,3.68,3.75,3.5995,3.72,160543,1.9178082191780854
2025-08-13,3.75,3.95,3.7,3.73,448000,0.26881720430107503
2025-08-14,3.7,3.7949,3.54,3.64,240584,-2.4128686327077764
2025-08-15,3.67,3.69,3.59,3.65,309270,0.27472527472527375
2025-08-18,3.65,4.08,3.65,4.05,855381,10.95890410958904
2025-08-19,4.04,4.05,3.535,3.59,371204,-11.358024691358025
2025-08-20,3.56,3.56,3.36,3.41,253503,-5.013927576601662
2025-08-21,3.4,3.89,3.4,3.79,909487,11.143695014662747
2025-08-22,4.0,4.2,3.8501,4.03,1715004,6.33245382585752
2025-08-25,4.19,4.8185,4.1788,4.5,2745184,11.662531017369716
2025-08-26,4.56,5.14,4.53,4.92,2648821,9.333333333333327
2025-08-27,5.07,5.07,4.72,4.8,1203909,-2.4390243902439046
2025-08-28,4.9,5.47,4.8,5.44,1954197,13.333333333333353
2025-08-29,5.44,5.46,5.1004,5.35,1326909,-1.6544117647058987
2025-09-02,4.95,5.26,4.71,4.91,1087613,-8.22429906542055
2025-09-03,6.02,6.4399,5.5,5.58,6634214,13.645621181262735
2025-09-04,5.815,5.949,5.58,5.72,1090456,2.508960573476693
2025-09-05,5.82,5.86,5.44,5.67,898784,-0.8741258741258751
2025-09-08,5.63,5.65,5.27,5.31,601863,-6.34920634920636
2025-09-09,5.3,5.74,5.2593,5.43,820373,2.259887005649719
2025-09-10,5.39,5.52,5.19,5.3,552699,-2.3941068139963106
2025-09-11,5.26,5.5,5.17,5.3,911968,0.0
2025-09-12,5.34,5.59,5.28,5.49,763829,3.584905660377369
2025-09-15,5.98,6.93,5.91,6.91,3587122,25.865209471766846
2025-09-16,6.97,6.97,5.75,6.09,2204688,-11.866859623733728
2025-09-17,6.7,6.7999,6.2,6.69,2613807,9.852216748768484
2025-09-18,6.51,6.6699,6.3,6.33,1394490,-5.381165919282516
2025-09-19,6.35,7.34,6.3467,7.24,2809379,14.375987361769349
2025-09-22,7.1,7.17,6.8501,6.96,1316988,-3.8674033149171283
2025-09-23,6.96,7.48,6.75,7.16,1791679,2.8735632183908066
2025-09-24,7.19,7.215,6.8,6.86,1056765,-4.189944134078205
2025-09-25,6.69,6.775,6.47,6.5,3009277,-5.247813411078717
2025-09-26,6.84,8.15,6.713,7.9,5003441,21.53846153846155
2025-09-29,8.0,8.43,7.52,8.15,2332181,3.164556962025311
2025-09-30,8.0,8.0897,7.5501,7.93,1105388,-2.6993865030674913
2025-10-01,7.88,8.0934,7.6,7.68,1116034,-3.1525851197982346
2025-10-02,7.63,8.4,7.63,8.17,1665338,6.380208333333326
2025-10-03,8.12,8.3,7.67,7.77,1366403,-4.895960832313351
2025-10-06,8.1,8.66,7.76,8.38,2285616,7.850707850707872
2025-10-07,8.49,9.3422,8.325,8.87,1632223,5.847255369928384
2025-10-08,8.8,8.9977,8.37,8.69,900017,-2.0293122886133053
2025-10-09,8.65,9.99,8.2548,9.6,3144711,10.471806674338314
2025-10-10,9.71,10.16,7.9,7.97,4494402,-16.979166666666668
2025-10-13,8.6,9.03,8.16,8.9,2162719,11.668757841907151
2025-10-14,8.6,10.5902,8.25,10.39,3478597,16.74157303370787
2025-10-15,10.69,10.69,9.51,9.68,2130767,-6.833493743984609
2025-10-16,9.7,9.745,7.64,7.74,3141090,-20.04132231404958
2025-10-17,7.3,7.79,7.03,7.44,2395407,-3.875968992248058
