date,open,high,low,close,volume,change_pct
2025-07-16,14.56,14.67,14.095,14.19,1609498,0.0
2025-07-17,14.1,14.64,14.04,14.6,1563443,2.889358703312195
2025-07-18,14.7,14.965,14.25,14.54,1766126,-0.4109589041095929
2025-07-21,14.54,15.39,14.42,15.1,2074126,3.8514442916093516
2025-07-22,15.16,16.74,15.12,16.6,3956203,9.933774834437092
2025-07-23,16.7,17.77,16.505,17.75,4076514,6.927710843373491
2025-07-24,17.76,18.97,17.68,18.77,3303757,5.7464788732394245
2025-07-25,18.75,19.76,18.52,19.6,3767668,4.421949920085244
2025-07-28,19.63,19.94,19.26,19.82,3025385,1.122448979591839
2025-07-29,19.69,20.13,18.9802,19.26,2708583,-2.825428859737633
2025-07-30,19.24,20.33,19.06,19.11,2591290,-0.7788161993769527
2025-07-31,19.05,19.34,18.31,18.69,1731462,-2.19780219780219
2025-08-01,18.48,18.95,16.82,17.68,3309871,-5.403959336543618
2025-08-04,18.2,19.955,17.82,19.48,2824222,10.18099547511313
2025-08-05,19.49,20.09,19.14,20.07,2819572,3.028747433264889
2025-08-06,19.74,20.57,19.59,20.31,1886786,1.195814648729443
2025-08-07,20.35,20.36,19.18,19.21,1875417,-5.416051206302308
2025-08-08,19.4,20.64,19.02,20.45,2390506,6.454971369078599
2025-08-11,19.905,21.27,19.9,21.2,3501390,3.667481662591676
2025-08-12,22.895,24.83,21.61,24.1,10692409,13.67924528301887
2025-08-13,24.85,25.31,23.83,25.2,5224076,4.564315352697079
2025-08-14,24.89,26.65,24.53,26.09,4267361,3.5317460317460414
2025-08-15,26.53,26.53,25.75,25.95,2837929,-0.536604062859336
2025-08-18,26.25,27.745,26.0,27.72,3294533,6.820809248554904
2025-08-19,27.72,28.0,26.71,27.11,2243872,-2.200577200577203
2025-08-20,27.07,27.43,26.47,27.35,2629301,0.8852821836960567
2025-08-21,27.35,27.8788,26.96,27.3,1540645,-0.1828153564899515
2025-08-22,27.3,27.69,26.165,26.84,2601635,-1.68498168498169
2025-08-25,26.95,27.035,26.061,26.25,2221466,-2.1982116244411376
2025-08-26,26.15,27.8,26.15,27.73,2868955,5.638095238095242
2025-08-27,27.64,28.82,27.3,28.0,1601153,0.9736747205193019
2025-08-28,28.16,28.56,27.225,27.46,1818246,-1.928571428571424
2025-08-29,27.39,27.785,26.86,27.68,2174424,0.8011653313911182
2025-09-02,29.05,29.28,27.81,28.58,3973401,3.251445086705207
2025-09-03,28.24,29.94,28.235,29.22,2897873,2.2393282015395366
2025-09-04,29.165,29.33,28.2,28.84,1607782,-1.3004791238877433
2025-09-05,29.25,29.43,28.28,28.85,1409821,0.03467406380028848
2025-09-08,28.85,28.895,27.67,27.98,2122120,-3.015597920277302
2025-09-09,28.01,28.22,27.145,27.8,2077371,-0.6433166547533897
2025-09-10,27.645,27.9772,27.26,27.29,2360058,-1.834532374100728
2025-09-11,27.3,27.64,26.71,27.0,1586709,-1.0626603151337455
2025-09-12,26.83,27.14,25.635,25.99,2211515,-3.7407407407407445
2025-09-15,25.95,26.92,25.34,26.77,2882916,3.001154290111585
2025-09-16,26.59,27.9999,26.0,26.03,1724649,-2.7642883825177433
2025-09-17,26.05,26.66,24.97,25.0,2318586,-3.956972723780261
2025-09-18,25.03,25.38,24.63,24.67,2234829,-1.3199999999999878
2025-09-19,24.76,24.8,23.495,23.78,4389739,-3.607620591811922
2025-09-22,24.0,24.195,22.38,22.9,4607086,-3.700588730025245
2025-09-23,22.55,22.71,21.94,22.45,3090998,-1.9650655021834051
2025-09-24,22.48,22.67,21.85,21.94,2500407,-2.271714922048984
2025-09-25,22.475,24.61,22.22,22.45,7225741,2.324521422060144
2025-09-26,22.23,22.4,21.145,21.8,3721961,-2.8953229398663627
2025-09-29,21.7,22.93,21.5283,22.8,2983131,4.587155963302747
2025-09-30,22.87,23.33,22.68,22.74,3013975,-0.263157894736854
2025-10-01,22.25,22.84,21.71,22.05,2595818,-3.034300791556721
2025-10-02,22.25,22.5065,21.35,21.9,1790791,-0.6802721088435493
2025-10-03,21.98,22.62,21.91,22.43,1676315,2.4200913242009126
2025-10-06,22.53,23.29,22.27,22.86,2303635,1.9170753455193923
2025-10-07,22.95,24.3,22.6,24.025,3032600,5.096237970253714
2025-10-08,24.12,25.12,23.775,24.08,3152452,0.22892819979187795
2025-10-09,24.06,24.46,23.175,24.25,2342244,0.7059800664451998
2025-10-10,24.46,24.46,22.7448,23.19,1961120,-4.37113402061855
2025-10-13,23.51,24.1,23.07,23.77,1726547,2.501078050883998
2025-10-14,23.755,23.8395,22.385,22.77,1840683,-4.206983592763991
2025-10-15,22.94,23.47,22.745,23.16,1994219,1.7127799736495364
2025-10-16,23.3,24.65,22.92,23.18,4002429,0.08635578583764403
2025-10-17,22.59,23.23,22.14,22.48,1924286,-3.019844693701468
2025-10-20,22.79,24.45,22.5,24.44,2111748,8.718861209964412
2025-10-21,24.255,24.8497,23.59,23.59,1676184,-3.4779050736497563
2025-10-22,23.33,23.82,22.08,22.34,2274361,-5.298855447223405
2025-10-23,22.29,22.8399,21.94,22.02,1635900,-1.43240823634736
2025-10-24,22.45,22.73,22.1,22.38,1008142,1.6348773841961872
2025-10-27,22.6,23.2399,22.44,22.76,1427898,1.6979445933869686
2025-10-28,22.87,24.38,22.56,23.15,2510893,1.7135325131810042
2025-10-29,23.3,23.94,22.05,22.45,2790842,-3.0237580993520474
2025-10-30,22.27,23.59,22.26,23.2,1703624,3.340757238307357
2025-10-31,23.39,24.715,23.04,24.36,3088521,5.000000000000004
2025-11-03,27.115,27.23,22.2052,25.22,7284048,3.530377668308704
2025-11-04,24.735,29.0175,24.735,27.91,5433147,10.666137985725621
