date,open,high,low,close,volume,change_pct
2025-07-14,20.39,20.885,20.24,20.78,1643197,0.0
2025-07-15,20.98,21.115,20.61,20.74,1418149,-0.19249278152070337
2025-07-16,20.65,21.33,20.65,21.28,2531521,2.6036644165863265
2025-07-17,21.31,21.755,21.29,21.73,1986015,2.1146616541353414
2025-07-18,21.77,21.93,21.63,21.77,1874028,0.18407731247123138
2025-07-21,21.845,22.22,21.65,21.68,5018012,-0.41341295360587393
2025-07-22,21.67,21.72,20.79,21.19,2572031,-2.2601476014760036
2025-07-23,21.315,21.85,21.23,21.74,2745206,2.5955639452571733
2025-07-24,21.7,21.86,21.39,21.75,1134910,0.04599816007360147
2025-07-25,21.8,22.04,21.66,21.94,1385060,0.8735632183908049
2025-07-28,22.5151,22.68,21.995,22.3,3559442,1.6408386508659945
2025-07-29,22.4,22.655,22.07,22.3,1827708,0.0
2025-07-30,22.52,22.8,22.285,22.42,3743726,0.5381165919282616
2025-07-31,22.645,22.795,21.99,22.35,5370857,-0.3122212310437078
2025-08-01,20.06,20.29,18.18,19.86,11246911,-11.140939597315446
2025-08-04,19.77,20.895,19.6,20.81,4062076,4.783484390735149
2025-08-05,20.95,21.55,20.69,21.5,3131653,3.3157135992311515
2025-08-06,21.55,21.78,21.16,21.54,1881465,0.18604651162790198
2025-08-07,21.655,21.655,20.98,21.47,1968903,-0.32497678737233304
2025-08-08,21.7181,21.7181,20.84,21.02,1912700,-2.0959478341872395
2025-08-11,20.93,21.47,20.6081,21.31,1687442,1.3796384395813543
2025-08-12,21.415,22.31,21.31,22.29,2095778,4.598779915532614
2025-08-13,22.53,22.585,21.535,22.13,2353120,-0.7178106774338278
2025-08-14,22.23,22.23,20.55,20.64,2690644,-6.732941708088558
2025-08-15,20.51,20.71,20.05,20.55,2784921,-0.43604651162790775
2025-08-18,20.685,20.6893,20.35,20.48,1577991,-0.3406326034063323
2025-08-19,20.475,20.55,19.635,19.79,1922383,-3.369140625000011
2025-08-20,19.75,20.255,19.22,20.24,2022280,2.2738756947953576
2025-08-21,20.2,20.44,19.9906,20.21,1760843,-0.14822134387351138
2025-08-22,20.36,20.905,20.23,20.82,1751776,3.0183077684314608
2025-08-25,21.16,21.185,20.65,20.71,2015390,-0.5283381364073025
2025-08-26,20.935,21.08,20.75,20.94,3021721,1.1105746016417228
2025-08-27,20.89,20.9,20.355,20.42,2064938,-2.483285577841454
2025-08-28,20.54,20.95,20.5,20.86,1982033,2.1547502448579614
2025-08-29,20.82,20.82,20.22,20.5,1510208,-1.7257909875359467
2025-09-02,20.03,20.63,19.943,20.61,1404778,0.536585365853659
2025-09-03,20.67,20.905,20.46,20.66,1631844,0.24260067928190132
2025-09-04,20.8,21.01,20.7,20.99,1292388,1.5972894482090938
2025-09-05,21.93,23.1,21.86,22.9,10782382,9.099571224392577
2025-09-08,23.0,23.58,22.47,22.6,36367338,-1.3100436681222627
2025-09-09,22.42,22.57,21.54,22.1,4892429,-2.212389380530977
2025-09-10,22.355,22.48,20.9808,21.34,4710384,-3.4389140271493313
2025-09-11,21.5,22.39,21.41,22.05,3931782,3.3270852858481748
2025-09-12,22.13,22.75,21.91,22.73,2441662,3.0839002267573745
2025-09-15,22.99,23.64,22.69,23.48,3901375,3.299604047514304
2025-09-16,23.32,23.94,22.95,23.94,3894813,1.9591141396933631
2025-09-17,24.11,24.165,22.68,22.7,4104013,-5.179615705931506
2025-09-18,22.97,24.715,22.85,24.6,8092568,8.370044052863456
2025-09-19,24.9,24.945,24.18,24.44,13837728,-0.6504065040650375
2025-09-22,24.29,24.585,23.372,24.51,2818902,0.2864157119476296
2025-09-23,24.81,25.16,24.33,24.6,2388425,0.3671970624234966
2025-09-24,24.72,25.0,21.86,21.97,7472876,-10.691056910569118
2025-09-25,20.63,21.44,19.59,21.43,12822899,-2.457897132453346
2025-09-26,22.91,24.6,22.26,23.76,25861180,10.872608492767167
2025-09-29,23.85,24.22,22.39,22.49,11912531,-5.345117845117853
2025-09-30,22.825,23.45,22.75,23.26,8459990,3.4237438861716374
2025-10-01,22.84,23.51,22.68,23.1,3619343,-0.6878761822871837
2025-10-02,23.345,23.45,22.48,22.89,4062814,-0.909090909090915
2025-10-03,22.995,23.53,22.59,22.79,4048136,-0.4368719965050283
2025-10-06,23.195,23.555,22.78,23.17,3165432,1.6673979815708728
2025-10-07,23.25,23.8,22.98,23.13,3457204,-0.17263703064308578
2025-10-08,23.37,24.77,23.21,23.88,6470571,3.2425421530480003
2025-10-09,24.025,24.28,23.2,23.39,4399029,-2.051926298157447
2025-10-10,23.41,23.76,22.891,23.12,2984143,-1.1543394613082514
2025-10-13,23.81,24.7,23.72,24.43,4744506,5.666089965397925
2025-10-14,23.9499,24.97,23.74,24.85,3475824,1.7191977077363862
2025-10-15,25.145,25.54,24.72,24.93,4367223,0.32193158953721657
2025-10-16,25.16,25.5,24.44,24.45,2547307,-1.9253910950661868
2025-10-17,24.07,24.65,23.9001,24.17,3484638,-1.1451942740286158
2025-10-20,24.295,25.05,24.295,24.93,3061444,3.1443938767066637
2025-10-21,24.905,25.11,24.025,24.08,3154192,-3.40954673084638
2025-10-22,23.83,24.188,22.8,23.38,3682548,-2.9069767441860406
2025-10-23,23.48,24.09,23.45,24.04,3214368,2.8229255774165907
2025-10-24,24.445,24.9795,24.36,24.8,2511447,3.161397670549082
2025-10-27,25.32,25.39,24.29,24.54,3911948,-1.0483870967741948
2025-10-28,25.97,26.12,24.74,25.19,5966150,2.648736756316228
2025-10-29,25.155,30.21,24.27,29.75,12669661,18.102421595871366
2025-10-30,29.695,30.277,28.86,29.03,5582010,-2.420168067226891
2025-10-31,29.27,29.83,28.75,29.37,6003157,1.1712022046159065
2025-11-03,29.5,29.76,29.01,29.41,4593066,0.13619339462036528
2025-11-04,28.74,28.76,27.765,27.82,3932390,-5.4063243794627684
2025-11-05,28.205,28.81,27.85,28.55,2959475,2.624011502516166
2025-11-06,28.71,28.71,27.29,27.55,4299218,-3.5026269702276736
2025-11-07,27.315,27.46,26.385,27.45,3814115,-0.3629764065335772
