date,open,high,low,close,volume,change_pct
2025-07-21,105.69,107.3062,103.16,103.34,695135,0.0
2025-07-22,103.32,104.21,100.38,102.42,984913,-0.8902651441842435
2025-07-23,102.93,103.12,98.83,99.55,1469998,-2.8021870728373366
2025-07-24,99.44,100.57,97.92,99.54,749659,-0.0100452034153653
2025-07-25,99.01,99.85,98.01,99.5,607776,-0.040184850311442144
2025-07-28,101.44,103.25,100.66,102.33,831962,2.8442211055276445
2025-07-29,103.65,104.7975,100.13,101.65,854282,-0.6645167595035639
2025-07-30,102.88,103.1417,99.31,100.42,983856,-1.2100344318740852
2025-07-31,97.42,97.98,93.855,95.18,1799135,-5.218084047002581
2025-08-01,92.1,94.27,90.38,92.75,1473576,-2.5530573649926502
2025-08-04,93.67,94.675,93.02,94.0,940629,1.3477088948786964
2025-08-05,94.61,96.01,90.41,92.02,935797,-2.106382978723409
2025-08-06,91.39,91.7366,88.49,89.62,1516555,-2.608128667680931
2025-08-07,97.15,100.705,95.54,98.77,2057495,10.209774603883059
2025-08-08,99.55,100.465,98.55,99.37,1204450,0.6074719044244281
2025-08-11,99.86,101.85,98.0,98.17,1069571,-1.2076079299587428
2025-08-12,99.65,103.61,97.6201,103.45,1403947,5.378425180808799
2025-08-13,104.14,106.19,103.15,104.36,900859,0.8796520057998913
2025-08-14,101.78,105.25,101.18,104.73,852676,0.35454197010349464
2025-08-15,102.79,103.59,99.94,100.22,1054933,-4.3063114675833125
2025-08-18,100.38,102.0,100.35,101.1,927309,0.8780682498503278
2025-08-19,101.86,102.19,99.93,100.68,934069,-0.4154302670623
2025-08-20,100.35,100.76,97.3,99.37,900781,-1.3011521652761204
2025-08-21,98.37,99.69,97.79,99.42,554588,0.05031699708160087
2025-08-22,100.2,106.35,100.2,105.25,909961,5.864011265338953
2025-08-25,105.0,106.83,103.19,106.22,693268,0.9216152019002388
2025-08-26,106.25,107.835,106.16,106.55,1187264,0.3106759555639327
2025-08-27,106.55,106.55,105.04,105.675,749313,-0.8212106992022572
2025-08-28,106.4,107.835,105.31,107.52,705918,1.7459190915542822
2025-08-29,106.33,106.96,102.24,103.34,993196,-3.8876488095238027
2025-09-02,99.85,102.01,97.5,101.95,844941,-1.3450745113218532
2025-09-03,101.84,102.45,98.59,100.24,959558,-1.6772927905836288
2025-09-04,99.57,102.08,98.81,101.72,654068,1.4764565043894784
2025-09-05,103.0,104.77,102.14,104.49,810065,2.723161620133707
2025-09-08,105.8,109.1,104.05,109.02,1588077,4.3353430950330285
2025-09-09,109.355,110.05,107.02,108.29,991315,-0.6696019079067916
2025-09-10,108.05,112.14,107.645,110.6,1184919,2.133160956690361
2025-09-11,110.6,116.105,110.6,116.0,1562853,4.88245931283906
2025-09-12,115.65,116.32,114.36,115.1,1321790,-0.7758620689655271
2025-09-15,115.54,118.21,114.885,116.38,1195576,1.1120764552563056
2025-09-16,118.11,119.235,116.39,118.35,1183703,1.6927307097439392
2025-09-17,118.32,122.12,115.74,119.44,1593135,0.9209970426700576
2025-09-18,124.0,132.44,123.795,129.92,2366160,8.774279973208298
2025-09-19,130.0,131.0,126.37,128.62,5743636,-1.000615763546786
2025-09-22,128.815,131.74,127.78,127.9,1136624,-0.5597885243352474
2025-09-23,129.0,130.9099,127.07,128.52,1704680,0.48475371383893684
2025-09-24,129.23,129.23,123.6,123.94,1435065,-3.563647681294746
2025-09-25,120.59,123.95,119.62,122.25,1486035,-1.3635630143617905
2025-09-26,122.12,123.71,120.115,121.81,886152,-0.3599182004089929
2025-09-29,123.73,123.78,121.97,122.14,727141,0.27091371808554143
2025-09-30,122.43,124.335,121.73,123.77,1010494,1.3345341411495015
