date,open,high,low,close,volume,change_pct
2025-07-14,57.93,58.33,57.53,58.13,8320656,0.0
2025-07-15,57.8,58.62,57.75,58.48,7739828,0.6020987441940351
2025-07-16,58.45,58.965,58.345,58.86,7054271,0.6497948016416011
2025-07-17,58.71,59.56,57.5,57.98,12501416,-1.4950730547060864
2025-07-18,57.98,58.335,57.77,58.02,5688772,0.06898930665748537
2025-07-21,58.0,59.1099,57.9,58.92,6946798,1.5511892450879028
2025-07-22,58.58,59.525,58.15,59.44,9649454,0.8825526137135054
2025-07-23,59.17,59.86,58.985,59.77,7172201,0.5551816958277334
2025-07-24,59.715,59.815,59.31,59.61,6933909,-0.2676928224861985
2025-07-25,59.565,59.925,59.475,59.84,6368776,0.385841301794998
2025-07-28,59.745,59.83,58.6,58.72,7419866,-1.8716577540107027
2025-07-29,58.65,59.675,58.43,59.36,11825557,1.089918256130784
2025-07-30,59.87,62.21,59.81,61.5,20487541,3.6051212938005506
2025-07-31,61.08,62.315,60.91,61.94,10623146,0.715447154471538
2025-08-01,62.155,62.6482,61.685,61.78,9689442,-0.2583144979011909
2025-08-04,61.755,62.47,61.755,61.94,6384480,0.2589834898025112
2025-08-05,61.98,62.625,61.965,62.52,5889468,0.9363900548918336
2025-08-06,62.84,63.76,62.53,63.15,6482840,1.0076775431861806
2025-08-07,62.85,63.62,62.74,63.55,5124444,0.6334125098970578
2025-08-08,63.57,64.35,63.55,64.19,5434920,1.0070810385523155
2025-08-11,64.4,65.95,64.31,65.67,10650455,2.3056550864620773
2025-08-12,65.74,66.285,65.51,66.01,8849174,0.5177402162326761
2025-08-13,65.7624,66.16,65.0328,65.5,7508237,-0.772610210574165
2025-08-14,65.53,65.9199,65.36,65.55,10791103,0.07633587786259888
2025-08-15,65.605,66.175,65.2325,65.82,10137262,0.4118993135011406
2025-08-18,65.92,66.6,65.89,65.99,7371716,0.25828015800668513
2025-08-19,66.025,66.59,65.745,66.56,6482727,0.8637672374602223
2025-08-20,66.8,67.87,66.6,67.58,8893120,1.5324519230769162
2025-08-21,67.6,67.8,67.215,67.68,5963169,0.14797277300977463
2025-08-22,68.01,68.6,67.325,67.67,9603301,-0.014775413711587415
2025-08-25,67.5,67.71,66.97,67.05,5706756,-0.9162110240874877
2025-08-26,67.02,67.02,66.23,66.45,8535641,-0.8948545861297452
2025-08-27,66.465,66.635,66.115,66.41,4973531,-0.06019563581641796
2025-08-28,66.4,66.505,65.62,66.42,5807693,0.015057973196808128
2025-08-29,66.55,67.245,66.46,67.21,5930626,1.1894007828967101
2025-09-02,67.4378,67.54,66.6584,67.13,6919688,-0.1190299062639455
2025-09-03,66.91,67.13,66.04,66.63,6722322,-0.7448234768359874
2025-09-04,66.815,67.41,66.25,66.59,6388619,-0.0600330181599773
2025-09-05,66.5,66.83,66.19,66.55,5935912,-0.06006907944137163
2025-09-08,66.49,66.86,65.475,65.77,10316609,-1.1720510894064673
2025-09-09,65.71,66.295,65.04,66.19,6918483,0.6385890223506108
2025-09-10,66.17,66.52,65.87,66.23,6677270,0.060432089439510506
2025-09-11,66.3,66.625,65.99,66.36,10022768,0.19628567114600148
2025-09-12,66.325,66.73,65.92,66.65,7975862,0.43701024713684866
2025-09-15,65.36,65.58,64.7901,64.89,9129700,-2.640660165041264
2025-09-16,64.78,64.99,64.09,64.81,9536281,-0.12328556017876524
2025-09-17,65.175,65.595,64.93,65.51,7261063,1.0800802345317218
2025-09-18,65.0,65.0,63.94,63.94,10329697,-2.3965806747061613
2025-09-19,64.02,64.97,63.865,64.89,22705131,1.4857679074131935
2025-09-22,64.8,64.85,63.405,63.79,7628257,-1.6951764524580026
2025-09-23,63.81,64.88,63.6392,64.87,7417411,1.693055337827265
2025-09-24,64.76,65.37,64.54,65.13,6838154,0.400801603206391
2025-09-25,65.75,65.99,65.06,65.19,5747914,0.09212344541686956
2025-09-26,65.35,65.82,65.135,65.71,5513848,0.7976683540420249
2025-09-29,65.585,65.69,65.055,65.67,6867440,-0.060873535230543396
2025-09-30,65.68,66.18,65.36,66.06,7797283,0.5938784833257271
2025-10-01,66.16,66.34,65.77,66.29,8514638,0.34816833181956497
2025-10-02,66.18,66.62,65.5,65.75,6043286,-0.8146025041484428
2025-10-03,65.67,66.24,65.19,65.73,7028798,-0.030418250950559056
2025-10-06,65.15,65.4973,64.775,65.37,7768363,-0.5476951163852162
2025-10-07,65.5,66.65,65.45,66.65,8825535,1.9580847483555264
2025-10-08,66.61,66.7199,65.232,65.42,10933748,-1.8454613653413388
2025-10-09,65.53,65.98,65.3,65.72,6965113,0.45857535921736137
2025-10-10,66.1,67.12,65.69,66.54,11649576,1.2477175897748216
2025-10-13,65.9,66.25,64.675,64.95,8089661,-2.389540126239864
2025-10-14,65.0,65.87,64.83,65.4,6584755,0.6928406466512715
2025-10-15,65.27,65.6793,64.8,64.87,6790091,-0.8103975535168173
2025-10-16,64.87,64.9599,64.095,64.26,6458051,-0.9403422229073533
2025-10-17,64.7,65.07,64.28,65.05,6389647,1.2293806411453279
2025-10-20,65.05,65.2,64.12,64.4,6208990,-0.9992313604919145
2025-10-21,64.49,64.585,62.95,63.75,9162426,-1.0093167701863415
2025-10-22,63.975,64.54,63.78,64.43,6025902,1.0666666666666824
2025-10-23,64.64,64.83,64.2,64.57,5163172,0.21729008225979118
2025-10-24,64.54,64.97,64.54,64.67,4489666,0.15487068297972417
2025-10-27,64.42,64.42,63.585,63.74,7713008,-1.4380702025668768
2025-10-28,63.7,63.977,63.205,63.28,6000570,-0.7216818324443097
2025-10-29,63.02,63.39,61.9,61.97,10276067,-2.0701643489254185
2025-10-30,59.17,59.5,56.5,57.13,24613839,-7.810230756817804
2025-10-31,57.24,58.08,56.33,56.38,15679937,-1.312795378960263
2025-11-03,56.42,57.0,56.18,56.67,12745014,0.5143667967364207
2025-11-04,57.095,57.38,56.4202,57.31,9866049,1.129345332627496
2025-11-05,57.49,58.17,56.885,57.16,8448446,-0.2617344268016186
2025-11-06,57.05,57.73,56.795,57.27,7864567,0.1924422673198256
2025-11-07,57.635,58.125,57.15,58.03,8937443,1.3270473197136257
2025-11-10,57.85,57.9,57.26,57.55,7814255,-0.827158366362235
2025-11-11,57.815,58.74,57.765,58.41,6974843,1.4943527367506482
2025-11-12,58.38,58.795,58.03,58.05,8901977,-0.6163328197226536
2025-11-13,58.16,58.275,57.54,57.81,7925224,-0.41343669250645254
2025-11-14,58.04,58.3,57.365,58.19,7787983,0.6573257221933915
2025-11-17,58.25,58.485,57.92,58.13,9692506,-0.10311050008591227
2025-11-18,58.5,59.27,58.38,58.94,9548769,1.39342852227764
2025-11-19,58.74,59.09,58.45,58.61,5915010,-0.5598914149983036
2025-11-20,58.44,58.66,58.0,58.18,6158729,-0.7336631974065866
2025-11-21,58.33,58.95,58.05,58.19,9461023,0.017188037126159017
