date,open,high,low,close,volume,change_pct
2025-07-21,63.715,65.05,58.8,59.01,25111661,0.0
2025-07-22,58.55,60.35,56.7,60.08,14090740,1.8132519911879363
2025-07-23,59.6,62.32,59.4,61.14,12451367,1.7643142476697848
2025-07-24,60.87,62.05,59.7,61.56,8743302,0.6869479882237517
2025-07-25,61.454,63.7,60.68,62.08,10034401,0.8447043534762777
2025-07-28,62.67,64.27,61.25,64.11,11141916,3.2699742268041287
2025-07-29,65.04,65.8399,60.22,60.26,12203277,-6.00530338480737
2025-07-30,60.08,62.4741,59.2,60.85,8931719,0.9790906073680716
2025-07-31,59.77,62.685,59.565,61.5,9662439,1.0682004930156141
2025-08-01,60.39,64.5,59.2,63.69,15491118,3.5609756097561007
2025-08-04,63.75,67.402,62.9,65.42,14453422,2.716281990893399
2025-08-05,65.64,68.42,65.5,68.39,11618220,4.539896056251913
2025-08-06,69.511,70.95,66.6654,67.51,13196740,-1.2867378271677055
2025-08-07,71.0,72.35,68.572,71.07,16083938,5.2732928455043515
2025-08-08,76.94,79.36,71.64,74.32,24410856,4.572956240326431
2025-08-11,74.7,82.5,72.54,72.69,23837560,-2.1932185145317473
2025-08-12,74.37,75.7,72.14,74.95,12397566,3.1090934103728207
2025-08-13,75.44,77.56,72.84,75.4,12256354,0.6004002668445585
2025-08-14,74.6,78.159,74.35,76.58,11179646,1.564986737400531
2025-08-15,76.85,77.7,73.5,75.03,8547002,-2.024027161138675
2025-08-18,73.935,74.1669,69.01,72.21,12362164,-3.7584966013594623
2025-08-19,70.4538,71.68,66.88,69.29,11975300,-4.043761251904154
2025-08-20,67.355,69.14,66.08,68.17,8741114,-1.6163948621734758
2025-08-21,68.22,69.5,64.82,68.28,11981334,0.1613613026257843
2025-08-22,67.76,69.75,66.41,67.88,10399106,-0.5858230814294152
2025-08-25,68.49,72.9,68.16,72.31,10729553,6.526222746022392
2025-08-26,72.45,75.43,69.26,69.83,13317944,-3.429677776241191
2025-08-27,70.1,72.32,68.74,71.4,6883207,2.2483173421165903
2025-08-28,71.51,74.27,70.1012,73.5,7604096,2.941176470588225
2025-08-29,73.85,73.87,71.07,71.14,6926680,-3.2108843537414944
2025-09-02,68.76,69.35,66.07,67.31,9213226,-5.383750351419736
2025-09-03,68.61,68.78,65.41,65.99,7238068,-1.961075620264463
2025-09-04,66.0,66.5499,63.0284,64.18,8081749,-2.7428398242157703
2025-09-05,64.75,64.9798,61.4012,63.05,6903942,-1.7606731068869008
2025-09-08,62.665,63.25,61.575,62.72,8654592,-0.5233941316415525
2025-09-09,63.37,64.54,62.28,63.15,7641990,0.6855867346938771
2025-09-10,64.04,64.7,61.595,62.44,7549962,-1.1243072050672986
2025-09-11,62.6,65.6225,62.12,63.03,9420345,0.9449071108263984
2025-09-12,63.4,64.17,62.57,63.51,5974582,0.7615421227986641
2025-09-15,66.04,67.34,64.41,65.94,10796252,3.8261691072272175
2025-09-16,67.175,67.9356,65.68,65.98,11280236,0.060661207158041464
2025-09-17,67.84,69.1,65.25,66.81,11289083,1.2579569566535387
2025-09-18,68.07,72.15,66.3758,72.13,14050418,7.962879808411905
2025-09-19,72.88,75.92,70.5,73.22,37395074,1.5111604048246186
2025-09-22,71.7,73.3,69.53,73.22,10578447,0.0
2025-09-23,74.0,76.6899,72.76,74.7,14194144,2.021305654192851
2025-09-24,76.42,77.17,70.58,71.23,13358446,-4.645247657295847
2025-09-25,70.5,82.23,68.8,77.13,26004448,8.283026814544424
2025-09-26,77.13,77.47,68.57,68.63,18998594,-11.020355244392588
2025-09-29,69.32,69.5,66.1701,68.18,12539041,-0.6556899315168119
2025-09-30,67.985,68.93,65.91,67.07,7989439,-1.628043414491076
2025-10-01,66.11,67.99,65.58,67.63,8046786,0.834948561204718
2025-10-02,68.8,71.735,67.42,70.96,13407689,4.9238503622652585
2025-10-03,72.2959,75.6,70.33,71.5,14675515,0.7609921082299964
2025-10-06,73.29,74.93,71.46,74.33,10864939,3.958041958041947
2025-10-07,75.9,79.53,72.2,73.77,15264883,-0.7533970133189904
2025-10-08,75.465,75.97,69.61,70.59,11488806,-4.310695404636022
2025-10-09,73.65,78.32,71.5201,72.29,24843542,2.408273126505178
2025-10-10,74.41,84.92,73.43,78.34,52334439,8.36906902752801
2025-10-13,86.8,98.97,85.5,95.06,50242378,21.34286443706919
2025-10-14,97.79,100.2505,88.6,98.65,40359359,3.776562171260256
2025-10-15,96.71,97.0,86.5,89.85,29991495,-8.920425747592509
2025-10-16,91.77,91.99,83.33,83.84,18653709,-6.688925987757366
2025-10-17,80.39,84.15,78.8,80.79,14927416,-3.63788167938931
2025-10-20,83.6361,83.99,78.052,82.9,14957786,2.6117093699715266
2025-10-21,80.53,80.885,73.24,74.11,17623698,-10.603136308805794
2025-10-22,72.07,73.48,66.31,69.8,21854787,-5.81567939549319
2025-10-23,70.875,71.46,68.1,68.45,10965637,-1.934097421203429
2025-10-24,69.95,72.59,69.36,70.81,11398933,3.4477720964207537
2025-10-27,67.43,67.73,62.4,65.57,24754560,-7.400084733794676
2025-10-28,65.59,67.7778,64.27,64.94,10850280,-0.9608052463016548
2025-10-29,65.44,65.6,63.3,64.29,9121027,-1.0009239297813277
2025-10-30,66.5,67.1,62.88,64.92,14302819,0.9799346710219314
2025-10-31,64.78,64.95,61.45,63.09,13881915,-2.818853974121993
2025-11-03,62.205,62.205,57.15,57.66,14163785,-8.606752258678085
2025-11-04,55.835,57.54,54.02,54.9,13678027,-4.786680541103017
2025-11-05,55.08,55.76,53.58,54.93,8647035,0.05464480874317612
2025-11-06,56.39,56.45,51.84,51.95,15178092,-5.425086473693785
2025-11-07,50.5,59.8199,50.5,58.6,23399782,12.80076997112607
2025-11-10,61.55,65.9499,60.42,64.18,18818428,9.522184300341308
2025-11-11,63.36,63.75,61.12,61.95,9473738,-3.474602679962613
2025-11-12,62.05,62.35,57.94,59.72,8841908,-3.599677158999204
2025-11-13,60.16,61.1988,56.69,57.54,10764946,-3.6503683858004066
2025-11-14,57.53,59.84,54.9,58.64,10333212,1.911713590545716
2025-11-17,58.11,58.75,55.52,56.98,5927044,-2.830832196452937
2025-11-18,56.85,60.48,56.03,58.51,12076453,2.685152685152681
2025-11-19,62.0,66.2,60.32,63.55,20506128,8.613912151768922
2025-11-20,64.25,65.24,56.6,56.68,16548804,-10.810385523210064
2025-11-21,57.07,57.2958,53.22,55.27,11071315,-2.487649964714178
2025-11-24,56.78,59.49,55.98,59.04,9292307,6.821060249683364
2025-11-25,58.19,58.8,56.01,58.21,6615803,-1.4058265582655771
2025-11-26,58.77,61.0336,58.72,60.15,5886875,3.3327606940388277
2025-11-28,60.51,62.298,60.24,61.95,3183354,2.9925187032419087
2025-12-01,60.5,60.5,58.1,58.1,5740453,-6.214689265536721
2025-12-02,58.27,61.66,58.2,60.84,6352030,4.7160068846815895
2025-12-03,60.255,60.32,57.24,58.71,6481723,-3.500986193293887
2025-12-04,58.79,62.25,57.92,61.8,7921905,5.263157894736836
2025-12-05,63.62,63.89,61.84,62.09,9245191,0.46925566343043457
2025-12-08,61.08,61.4655,58.98,61.2,5791739,-1.4334031244967016
2025-12-09,60.05,62.25,59.26,59.82,4530917,-2.254901960784317
2025-12-10,59.76,59.895,57.3,58.03,6512738,-2.992310264125708
2025-12-11,57.29,60.24,56.65,60.01,4960184,3.412028261244182
2025-12-12,59.673,59.75,55.76,56.66,7219912,-5.582402932844532
2025-12-15,57.07,57.82,53.04,53.26,6598381,-6.000705965407693
2025-12-16,52.55,53.87,52.1,53.42,5171424,0.30041306796846357
2025-12-17,54.075,55.7567,52.02,52.03,5086176,-2.602021714713587
2025-12-18,53.44,55.1099,51.41,52.04,6135655,0.0192196809532863
2025-12-19,52.18,54.47,52.18,53.97,9048160,3.7086856264411994
2025-12-22,54.595,55.25,53.76,54.39,7094200,0.7782101167315147
2025-12-23,53.825,55.5,53.34,54.21,4413975,-0.3309431880860414
2025-12-24,53.76,55.27,53.4,54.54,2362572,0.6087437742114066
2025-12-26,54.55,54.6,52.085,53.38,3940124,-2.126879354602118
2025-12-29,52.14,53.87,51.62,51.93,4716238,-2.716373173473219
2025-12-30,51.98,52.25,50.405,50.44,6211841,-2.8692470633545186
2025-12-31,50.87,51.23,49.76,50.52,6911812,0.15860428231564416
2026-01-02,51.51,55.25,50.91,54.97,6459627,8.808392715756131
2026-01-05,57.23,58.8,56.4201,58.62,6977437,6.639985446607244
2026-01-06,60.8,61.16,58.26,59.82,9957468,2.0470829068577334
2026-01-07,60.4,64.08,59.82,62.5,12892378,4.480106987629551
2026-01-08,61.575,65.55,60.752,61.06,9309846,-2.303999999999995
2026-01-09,61.845,62.98,59.35,62.0,9172276,1.539469374385849
2026-01-12,63.37,67.0,62.23,65.34,12150693,5.387096774193556
2026-01-13,67.725,68.44,63.4017,63.82,9952230,-2.326293235384147
2026-01-14,64.03,70.0699,62.2,69.3,12394935,8.586649952992786
