date,open,high,low,close,volume,change_pct
2025-07-21,430.1,437.0,425.02,426.28,9984473,0.0
2025-07-22,428.845,433.94,413.6,426.4,10524157,0.028150511400948375
2025-07-23,422.83,424.0,406.1001,412.67,12990043,-3.219981238273917
2025-07-24,414.58,419.95,406.17,414.92,7407323,0.5452298446700699
2025-07-25,405.435,410.95,402.2,405.89,8380224,-2.1763231466306876
2025-07-28,416.945,417.01,403.46,403.8,6996547,-0.5149178348813677
2025-07-29,405.96,407.0,390.4108,394.66,10580031,-2.2634967805844397
2025-07-30,396.78,404.39,392.59,395.04,7543791,0.09628541022652648
2025-07-31,399.125,410.81,397.08,401.86,10467511,1.7264074524098838
2025-08-01,390.405,392.64,365.7,366.63,21808902,-8.766734683720701
2025-08-04,372.77,390.02,366.2001,389.24,12362382,6.1669803343970875
2025-08-05,384.175,388.305,373.35,375.46,8467080,-3.5402322474565873
2025-08-06,374.75,384.42,373.001,383.41,7242638,2.117402652745981
2025-08-07,388.4,406.24,387.14,402.01,13051194,4.851203672309001
2025-08-08,397.6,409.65,389.03,395.13,11200116,-1.7114002139250295
2025-08-11,403.92,414.36,398.92,400.25,10394429,1.2957760736972634
2025-08-12,400.5,401.67,390.14,394.39,8365108,-1.464084946908184
2025-08-13,397.73,399.44,383.55,389.9,10884943,-1.1384669996703844
2025-08-14,380.0,381.0,365.0,372.94,16461651,-4.349833290587323
2025-08-15,372.21,372.62,360.0322,366.32,13125281,-1.775084463988852
2025-08-18,359.945,367.5658,358.01,363.6,9001954,-0.7425202009172183
2025-08-19,363.19,364.63,333.4,336.57,18254611,-7.433993399339944
2025-08-20,339.38,345.5,325.56,344.37,13807212,2.3174971031286296
2025-08-21,340.0,343.27,334.85,337.58,8398545,-1.9717164677527155
2025-08-22,335.2,359.53,332.61,358.13,17386939,6.087445938740443
2025-08-25,344.91,351.51,339.2109,343.2,10983426,-4.1688772233546505
2025-08-26,341.805,351.99,340.68,351.36,9144162,2.3776223776223793
2025-08-27,348.68,351.77,341.84,342.06,8454295,-2.64685792349727
2025-08-28,346.16,348.1699,336.65,338.84,8116129,-0.9413553177805123
2025-08-29,334.6,339.63,332.64,334.41,10162267,-1.3074017235273128
2025-09-02,334.93,348.6,331.57,341.62,11123010,2.1560360037080173
2025-09-03,341.77,344.5,327.609,330.26,9180195,-3.3253322405011443
2025-09-04,330.0,332.56,317.7504,327.59,10529990,-0.808453945376375
2025-09-05,334.81,337.2,320.0,335.87,14047603,2.5275496810037046
2025-09-08,328.11,333.0967,321.5,329.9,9954514,-1.7774734272188675
2025-09-09,330.23,331.96,324.45,328.53,6587817,-0.41527735677477917
2025-09-10,332.8,340.01,321.956,326.45,9741359,-0.6331233068517239
2025-09-11,326.87,329.75,322.77,326.02,7506896,-0.13172001837954417
2025-09-12,329.15,336.1301,327.6,331.44,10809904,1.662474694804006
2025-09-15,329.4,331.33,320.45,327.79,9527674,-1.1012551291334716
2025-09-16,329.23,335.44,324.84,335.09,8651259,2.2270356020622772
2025-09-17,335.66,340.11,323.205,329.71,9690985,-1.6055388104688317
2025-09-18,335.86,358.25,334.625,349.12,19697259,5.886991598677627
2025-09-19,347.45,352.92,337.07,344.75,17699698,-1.2517186067827701
2025-09-22,337.02,341.59,329.0,335.93,10053535,-2.558375634517762
2025-09-23,337.06,339.0,327.77,327.78,9468789,-2.4261006757360315
2025-09-24,330.63,337.0599,323.14,323.31,9153097,-1.363719568002919
2025-09-25,316.61,317.0,292.36,300.7,22086992,-6.9932881754353415
2025-09-26,301.3,310.0,297.71,309.06,11693362,2.7801795809777152
2025-09-29,313.73,327.99,311.0,326.42,12652008,5.617032291464441
2025-09-30,320.835,324.4999,316.19,322.21,7798818,-1.2897494026101408
2025-10-01,332.47,343.73,331.2,338.41,13994829,5.02777691567613
2025-10-02,348.57,353.22,341.15,352.33,13666759,4.113353624301874
2025-10-03,350.865,358.54,344.4,351.63,12107918,-0.1986773763233307
2025-10-06,362.95,365.21,354.7,359.69,9550967,2.292182123254549
2025-10-07,358.88,359.44,328.16,328.4,19584106,-8.699157607940178
2025-10-08,335.615,336.36,322.3,330.8,12996276,0.7308160779537332
2025-10-09,327.4,328.99,318.22,320.29,11213175,-3.1771463119709797
2025-10-10,323.175,323.43,303.57,304.79,13643730,-4.839364326079487
2025-10-13,306.67,315.95,300.59,315.47,11575024,3.504051970208999
2025-10-14,301.0,312.7099,297.34,300.67,11480498,-4.691412812628782
2025-10-15,303.6,308.88,294.62,296.76,10625605,-1.3004290418066389
2025-10-16,299.9,301.58,282.19,283.84,13817949,-4.353686480657782
2025-10-17,279.27,292.8,279.0,289.87,13110673,2.124436302142052
2025-10-20,297.21,306.16,294.4,296.61,9679688,2.325180253216952
2025-10-21,293.95,305.9899,291.52,301.91,7902814,1.7868581639189474
2025-10-22,293.02,297.96,276.6,280.81,15129499,-6.988837733099274
2025-10-23,285.47,289.07,278.0,284.92,9082117,1.4636230903458003
2025-10-24,290.43,292.15,286.11,289.08,7881709,1.4600589639196748
2025-10-27,299.5,299.8,293.0001,295.63,8135934,2.2658087726580955
2025-10-28,295.14,297.2,284.25,284.64,7996793,-3.7174846937049755
2025-10-29,284.375,286.175,274.0,275.36,10184055,-3.260258572231578
2025-10-30,269.985,271.365,254.0,254.57,15564196,-7.5501162115049425
2025-10-31,269.98,276.3199,263.0,269.51,14071785,5.8687198020190845
2025-11-03,264.19,270.36,259.85,264.67,11074628,-1.7958517309190625
2025-11-04,255.16,258.21,245.86,246.99,15735129,-6.68001662447576
2025-11-05,250.2,255.36,247.0201,255.0,9676192,3.2430462771772195
2025-11-06,252.14,252.34,235.03,237.2,14468335,-6.980392156862747
2025-11-07,222.66,243.7325,219.68,241.93,16976057,1.994097807757167
2025-11-10,249.68,249.96,234.6,238.88,9527228,-1.2606952424255025
2025-11-11,236.455,239.24,230.55,231.35,8340252,-3.152210314802417
2025-11-12,233.9,234.84,219.8,224.61,10800418,-2.91333477415171
2025-11-13,223.8,226.0,207.03,208.54,16474524,-7.154623569743124
2025-11-14,200.58,208.84,194.56,199.75,23233803,-4.215018701448159
2025-11-17,197.025,204.15,189.5315,195.42,19544953,-2.167709637046311
2025-11-18,196.36,213.83,196.0,206.8,22049488,5.823354825504046
2025-11-19,202.36,203.95,181.73,186.5,28025372,-9.81624758220503
2025-11-20,192.44,193.53,171.475,177.13,27684354,-5.024128686327078
2025-11-21,172.74,181.19,166.31,170.5,29651281,-3.7430136058262287
2025-11-24,171.62,179.84,166.01,179.04,23282608,5.008797653958941
2025-11-25,173.71,176.76,166.7801,172.19,19112667,-3.825960679177831
2025-11-26,173.69,180.63,169.7,175.64,20016529,2.0036006736744216
2025-11-28,182.99,187.29,175.0501,177.18,15114321,0.8767934411295863
2025-12-01,168.26,172.175,155.61,171.42,42940226,-3.2509312563494874
2025-12-02,177.75,188.37,176.89,181.33,31285555,5.781122389452831
2025-12-03,183.4,190.44,177.82,188.39,26686140,3.8934539237853505
2025-12-04,186.02,191.0,182.35,186.01,16474436,-1.2633366951536718
2025-12-05,183.335,185.39,176.3,178.99,20750666,-3.7739906456642047
2025-12-08,182.1,185.59,178.0,183.69,16328140,2.6258450192748084
2025-12-09,181.49,198.3999,179.92,188.99,24269606,2.8852958789264527
2025-12-10,189.32,191.07,182.2,184.64,22458960,-2.301709085136794
2025-12-11,179.79,183.5,171.41,183.3,19542363,-0.7257365684575245
2025-12-12,182.97,185.25,176.22,176.45,14532100,-3.7370430987452408
2025-12-15,176.0,176.5,160.54,162.08,25393373,-8.143950127514865
2025-12-16,164.97,171.489,161.95,167.5,21181041,3.3440276406712766
2025-12-17,167.745,171.1631,160.31,160.38,19144896,-4.250746268656725
2025-12-18,167.81,169.51,157.43,158.24,17534711,-1.3343309639605838
2025-12-19,163.4,167.75,161.63,164.82,22062408,4.158240647118294
2025-12-22,168.82,170.67,163.69,164.32,19234491,-0.30336124256764574
2025-12-23,162.25,162.73,156.5,157.88,15891201,-3.919182083739048
2025-12-24,157.2,159.28,155.1,158.71,7097556,0.5257157334684681
2025-12-26,159.89,159.91,154.1219,158.81,12298168,0.06300800201626267
2025-12-29,157.945,162.93,155.32,155.39,14073500,-2.1535167810591394
2025-12-30,155.82,159.38,154.1321,155.61,12740204,0.14157925220414924
2025-12-31,156.24,156.8,151.42,151.95,15918113,-2.352033930981312
2026-01-02,154.59,160.79,149.75,157.16,20185581,3.428759460348796
2026-01-05,163.415,167.7,160.96,164.72,22858977,4.81038432171037
2026-01-06,166.88,167.14,154.05,157.97,22627814,-4.097863040310834
2026-01-07,163.445,170.16,158.45,161.83,28406918,2.4435019307463612
2026-01-08,158.625,170.62,156.17,166.97,25159399,3.1761725267255736
2026-01-09,166.75,167.2,155.46,157.33,27962568,-5.773492244115697
2026-01-12,156.27,163.82,154.69,162.23,16181956,3.114472764253473
2026-01-13,164.45,173.76,159.93,172.99,27656216,6.632558712938441
2026-01-14,178.64,190.2,176.12,179.33,40256997,3.664951731313959
