date,open,high,low,close,volume,change_pct
2025-07-15,120.94,121.39,119.122,120.11,24958888,0.0
2025-07-16,119.025,119.09,114.8103,116.43,30614775,-3.0638581300474477
2025-07-17,113.93,114.2,110.95,113.26,34702434,-2.722665979558536
2025-07-18,114.24,114.8,113.28,114.39,19349851,0.9977043969627397
2025-07-21,113.585,115.92,112.67,113.23,22189833,-1.0140746568755965
2025-07-22,112.855,113.0,108.125,109.22,27917613,-3.541464276251882
2025-07-23,109.44,110.289,108.876,109.83,17809995,0.5585057681743333
2025-07-24,111.06,112.73,110.25,111.73,20293061,1.7299462806154908
2025-07-25,110.99,111.5,108.83,111.26,16372323,-0.42065694083952554
2025-07-28,111.72,112.0,109.86,111.25,12932264,-0.008987956138784003
2025-07-29,112.045,113.54,110.67,111.96,16653250,0.6382022471909998
2025-07-30,112.6,114.89,112.41,114.74,16378824,2.483029653447666
2025-07-31,112.19,112.27,106.94,109.14,29224343,-4.8805996165243055
2025-08-01,105.49,106.5,103.38,104.88,24003253,-3.90324354040682
2025-08-04,106.015,107.88,105.46,107.77,14780563,2.7555301296720014
2025-08-05,109.3,110.635,106.83,109.06,17835962,1.1969935974761148
2025-08-06,107.9,108.955,106.75,108.78,13021881,-0.25673940949936247
2025-08-07,114.14,115.28,110.79,111.87,18986483,2.840595697738557
2025-08-08,112.17,119.3299,111.67,118.89,28962204,6.275140788415112
2025-08-11,124.97,127.28,121.65,123.72,35065759,4.06257885440322
2025-08-12,124.7,128.55,123.0424,127.75,25990637,3.2573553184610526
2025-08-13,127.58,128.6,123.35,124.27,18438169,-2.7240704500978485
2025-08-14,123.2,125.74,121.4,125.29,12235946,0.8207934336525335
2025-08-15,123.17,123.38,119.44,120.87,18986654,-3.5278154681139817
2025-08-18,121.35,123.68,120.66,123.55,12208770,2.2172582113013872
2025-08-19,122.94,124.24,121.31,122.05,11491231,-1.2140833670578721
2025-08-20,118.7,118.91,113.46,117.21,25794993,-3.9655878738222072
2025-08-21,117.0,117.73,115.61,115.79,13174938,-1.2115007251940813
2025-08-22,117.65,120.7,116.51,117.68,17038258,1.6322653078849614
2025-08-25,117.68,118.08,116.1,116.42,8674832,-1.070700203942898
2025-08-26,116.09,118.36,115.81,116.5,12584324,0.06871671534101065
2025-08-27,116.85,118.73,116.44,117.75,15349289,1.0729613733905685
2025-08-28,118.88,122.571,118.73,122.0,17295541,3.6093418259023347
2025-08-29,122.6,122.7699,118.06,119.01,16774027,-2.4508196721311437
2025-09-02,115.86,118.555,114.25,118.48,13771931,-0.4453407276699406
2025-09-03,119.36,119.44,117.295,118.72,14101285,0.2025658338960179
2025-09-04,118.85,124.41,118.52,124.21,18589051,4.624326145552549
2025-09-05,127.77,131.41,125.66,131.37,28416041,5.764431205216991
2025-09-08,130.55,132.2586,128.4,131.46,19492587,0.06850879196163007
2025-09-09,131.76,138.0,131.56,135.24,20704950,2.8753993610223683
2025-09-10,140.02,142.235,138.34,140.0,25791266,3.5196687370600444
2025-09-11,147.72,156.26,147.61,150.57,52446416,7.54999999999999
2025-09-12,153.55,158.28,153.21,157.23,32288339,4.423191870890619
2025-09-15,156.96,160.3399,156.55,157.77,20101397,0.3434459072696239
2025-09-16,157.98,159.56,157.165,158.82,16911615,0.6655257653546132
2025-09-17,157.405,160.59,155.26,159.99,18843556,0.7366830374008426
2025-09-18,162.99,170.45,162.6,168.89,28212796,5.562847677979854
2025-09-19,162.75,163.7,159.38,162.73,37309873,-3.6473444253656173
2025-09-22,164.375,167.26,161.59,164.62,25851216,1.1614330486081403
2025-09-23,165.68,168.99,165.23,166.41,43316501,1.0873526910460507
2025-09-24,165.08,166.0,158.3,161.71,57096440,-2.8243494982272632
2025-09-25,157.39,158.95,154.65,156.83,32209195,-3.017747820171912
2025-09-26,158.52,158.92,155.18,157.27,24044953,0.28055856660078593
2025-09-29,160.0,165.8,159.9706,163.9,26506504,4.215680040694347
2025-09-30,164.105,168.95,163.96,167.32,20092460,2.086638194020729
2025-10-01,165.6,182.39,165.5,182.15,41674762,8.863256036337575
2025-10-02,184.955,186.18,181.21,183.75,25122189,0.8783969256107582
2025-10-03,185.21,191.8499,184.92,187.83,29399259,2.2204081632653194
2025-10-06,195.01,201.0,189.43,190.96,36392256,1.6664004685087663
2025-10-07,194.85,195.2999,183.24,185.69,27828161,-2.759740259740262
2025-10-08,188.99,196.95,188.8,196.54,26833890,5.843071786310516
2025-10-09,192.965,196.62,189.5,192.33,19721480,-2.1420575964180233
2025-10-10,192.96,193.44,179.61,181.6,26990253,-5.578952841470397
2025-10-13,190.79,193.3995,187.99,192.77,20928376,6.150881057268731
2025-10-14,186.96,192.46,186.25,187.06,15912423,-2.9620791616952857
2025-10-15,192.475,192.88,187.4235,191.94,17793126,2.6087886239709146
2025-10-16,199.96,206.34,195.2,202.53,42041348,5.517349171616126
2025-10-17,199.28,203.39,195.55,202.38,23283075,-0.07406310176270026
2025-10-20,209.655,214.75,205.5,206.77,23268429,2.1691866785255476
2025-10-21,204.3,205.87,200.8401,202.29,13717259,-2.1666586061807935
2025-10-22,202.25,205.5764,192.4,198.47,21949776,-1.888378071086061
2025-10-23,196.7,209.0,195.2,206.71,19397915,4.151760971431462
2025-10-24,212.39,219.82,209.98,219.02,25821756,5.955202941318749
