date,open,high,low,close,volume,change_pct
2025-07-16,58.09,58.84,57.3025,58.45,16646519,0.0
2025-07-17,57.51,58.08,56.73,57.99,13669938,-0.7869974337040175
2025-07-18,58.015,58.655,57.86,58.19,13519867,0.3448870494912937
2025-07-21,59.0101,60.665,58.97,59.86,11233096,2.8699089190582505
2025-07-22,60.61,61.865,60.41,61.7,9369249,3.073838957567654
2025-07-23,61.74,62.5599,60.93,61.42,13305052,-0.4538087520259304
2025-07-24,60.72,61.775,59.96,61.51,13179584,0.14653207424291104
2025-07-25,63.385,66.57,63.36,65.75,30913530,6.893188099496017
2025-07-28,64.82,65.05,62.66,63.66,11877357,-3.1787072243346093
2025-07-29,63.805,64.15,63.321,63.99,8035229,0.5183788878416751
2025-07-30,63.24,63.56,61.9,62.31,10392859,-2.6254102203469243
2025-07-31,62.75,63.05,61.76,62.1,8797731,-0.3370245546461259
2025-08-01,63.725,63.78,61.83,62.59,11280086,0.7890499194846967
2025-08-04,63.18,65.455,63.13,65.42,9765621,4.521489055759709
2025-08-05,64.995,67.43,64.96,67.24,10372709,2.7820238459186797
2025-08-06,67.22,68.435,66.94,67.92,9551898,1.0113027959548049
2025-08-07,68.46,69.31,68.31,69.07,9306236,1.6931684334511088
2025-08-08,70.0,70.29,68.57,68.98,9070540,-0.1303025915737499
2025-08-11,67.305,69.3945,67.11,68.87,7910904,-0.15946651203246898
2025-08-12,69.04,69.48,68.275,68.93,5883591,0.08712066211704617
2025-08-13,69.7,69.849,68.32,68.56,9919432,-0.5367764398665376
2025-08-14,68.75,68.895,67.95,68.48,5387285,-0.1166861143523934
2025-08-15,68.64,69.54,67.95,69.33,7907747,1.2412383177569986
2025-08-18,69.6,69.7,68.76,69.0,7071243,-0.47598442232799076
2025-08-19,68.85,68.975,67.2,67.38,7873145,-2.347826086956528
2025-08-20,67.92,69.05,67.69,69.0,7642144,2.404274265360651
2025-08-21,69.2,70.76,68.9,70.09,7720617,1.5797101449275486
2025-08-22,69.42,71.1,69.05,70.77,6578020,0.970181195605635
2025-08-25,70.91,71.75,70.88,71.1,9410217,0.4662992793556642
2025-08-26,71.05,72.79,70.91,72.43,10710627,1.8706047819972094
2025-08-27,71.9,72.545,71.4888,72.39,8994547,-0.05522573519260998
2025-08-28,72.27,73.29,72.23,72.97,6797904,0.8012156375189816
2025-08-29,72.9,74.52,72.775,74.4,7946045,1.9597094696450768
2025-09-02,74.97,76.52,73.55,75.86,15187824,1.962365591397841
2025-09-03,76.22,76.51,75.215,75.42,8905931,-0.5800158186132331
2025-09-04,74.33,75.18,73.44,74.88,7707152,-0.7159904534606243
2025-09-05,75.55,77.3,75.52,76.17,8678651,1.7227564102564097
2025-09-08,76.9,77.1799,75.215,75.75,10106755,-0.5513981882630969
2025-09-09,76.27,76.67,75.45,75.92,10468659,0.22442244224423202
2025-09-10,77.33,78.78,77.14,78.43,12294591,3.3061116965226622
2025-09-11,77.65,79.77,77.56,79.65,9330459,1.5555272217263827
2025-09-12,79.71,80.07,78.765,79.25,8286498,-0.5021971123666091
2025-09-15,78.31,79.61,77.66,79.36,12131644,0.13880126182965746
2025-09-16,79.33,79.62,78.13,79.02,10773221,-0.42842741935483764
2025-09-17,78.18,79.6,77.505,78.69,10380253,-0.4176157934700053
2025-09-18,77.78,78.41,77.0046,78.32,10556947,-0.4701995170923956
2025-09-19,78.695,82.05,78.49,81.72,42540157,4.341164453524016
2025-09-22,83.45,83.885,81.81,83.72,14021730,2.447381302006857
2025-09-23,84.705,86.62,83.98,84.67,18395151,1.1347348303870186
2025-09-24,84.5,84.7399,83.26,83.47,9528263,-1.4172670367308404
2025-09-25,83.49,83.995,81.86,83.67,8930703,0.239607044447121
2025-09-26,84.085,85.39,83.6,85.25,8293644,1.8883709812357985
2025-09-29,87.59,87.93,83.31,84.54,13685484,-0.8328445747800561
2025-09-30,83.26,85.28,82.3,84.31,13165644,-0.2720605630470829
2025-10-01,84.99,86.305,84.5,85.95,11306854,1.945202229865961
2025-10-02,86.5,86.93,83.24,86.43,12149937,0.5584642233857018
2025-10-03,86.19,87.39,85.9,86.86,7791672,0.4975124378109319
2025-10-06,87.95,89.37,87.4,88.51,8890905,1.8996085655077266
2025-10-07,88.64,88.905,86.63,86.95,9041149,-1.762512710428199
2025-10-08,88.95,89.0,87.26,88.4,10211950,1.6676250718803853
2025-10-09,88.6,88.96,84.4,85.21,10645831,-3.6085972850678827
2025-10-10,86.25,86.735,84.735,85.14,9047480,-0.0821499823964289
2025-10-13,87.95,89.42,87.56,89.4,9732855,5.003523608174776
2025-10-14,87.95,91.24,87.7,90.54,9064132,1.2751677852349097
2025-10-15,91.58,93.93,91.265,93.58,9140464,3.357631985862586
2025-10-16,94.83,98.578,94.11,98.27,13010367,5.011754648429156
2025-10-17,96.36,96.36,89.92,90.77,19714197,-7.632034191513181
2025-10-20,93.85,95.02,91.85,94.89,11868610,4.5389445852153765
