date,open,high,low,close,volume,change_pct
2025-07-18,7.07,7.08,6.905,7.0,2601424,0.0
2025-07-21,7.1,7.18,6.96,7.17,3635174,2.4285714285714244
2025-07-22,7.19,7.2398,6.925,7.22,5834904,0.6973500697350143
2025-07-23,7.32,7.98,7.2902,7.84,12232571,8.58725761772854
2025-07-24,8.1,8.455,7.555,7.64,11085776,-2.5510204081632626
2025-07-25,7.64,7.69,7.36,7.47,4890964,-2.2251308900523514
2025-07-28,7.5,7.58,7.25,7.28,4422915,-2.5435073627844695
2025-07-29,7.22,7.225,6.98,7.01,4920879,-3.708791208791218
2025-07-30,7.07,7.12,6.78,6.85,3952775,-2.2824536376604865
2025-07-31,6.76,6.9,6.63,6.65,4901403,-2.9197080291970656
2025-08-01,6.44,6.605,6.36,6.56,5433497,-1.3533834586466287
2025-08-04,6.655,6.81,6.545,6.75,4154692,2.8963414634146423
2025-08-05,6.76,6.98,6.6748,6.73,7201520,-0.2962962962962945
2025-08-06,7.21,8.2284,7.18,7.58,23341067,12.63001485884101
2025-08-07,7.61,8.88,7.59,8.78,17692847,15.8311345646438
2025-08-08,8.75,9.1278,8.28,8.37,9976236,-4.669703872437358
2025-08-11,8.26,8.3202,7.76,8.03,7003431,-4.062126642771801
2025-08-12,8.02,8.505,8.02,8.48,6101403,5.603985056039873
2025-08-13,8.46,9.1,8.46,8.85,7235117,4.363207547169812
2025-08-14,8.7,9.645,8.59,9.43,8749974,6.553672316384174
2025-08-15,9.48,9.89,9.27,9.58,7205235,1.590668080593849
2025-08-18,10.0,10.6445,9.665,9.71,9483260,1.3569937369519947
2025-08-19,9.63,9.9,9.39,9.52,4402841,-1.9567456230690117
2025-08-20,8.72,9.2,8.55,8.74,6459666,-8.193277310924362
2025-08-21,8.11,8.1221,7.57,7.63,20993172,-12.700228832951943
2025-08-22,7.74,8.075,7.605,7.84,8471971,2.752293577981657
2025-08-25,7.85,7.88,7.435,7.52,8104105,-4.081632653061229
2025-08-26,7.5,7.55,7.39,7.5,7303481,-0.26595744680850686
2025-08-27,7.45,7.77,7.36,7.58,12181222,1.0666666666666602
2025-08-28,7.75,7.79,7.425,7.58,6394156,0.0
2025-08-29,7.555,7.79,7.435,7.47,6400759,-1.451187335092352
2025-09-02,7.42,7.66,7.36,7.55,5642475,1.070950468540821
2025-09-03,7.52,7.7081,7.385,7.4,3979611,-1.9867549668874052
2025-09-04,7.41,7.82,7.23,7.79,7380033,5.270270270270272
2025-09-05,7.89,7.955,7.6613,7.9,5445159,1.412066752246477
2025-09-08,7.86,7.86,7.63,7.73,3501433,-2.1518987341772156
2025-09-09,7.74,8.09,7.665,7.96,4532971,2.975420439844756
2025-09-10,8.01,8.19,7.895,7.96,2988261,0.0
2025-09-11,8.025,8.31,8.01,8.28,4228483,4.020100502512558
2025-09-12,8.21,8.29,7.83,7.98,7175461,-3.6231884057970842
2025-09-15,7.98,8.155,7.875,8.08,4439444,1.2531328320801949
2025-09-16,8.15,8.67,8.075,8.56,6163203,5.940594059405946
2025-09-17,8.56,8.78,8.32,8.39,4691234,-1.985981308411211
2025-09-18,8.5,8.64,8.3587,8.53,3498917,1.6686531585220266
2025-09-19,8.55,8.82,8.52,8.71,5195064,2.110199296600257
2025-09-22,8.84,9.05,8.69,8.87,4520403,1.8369690011480921
2025-09-23,8.9,9.04,8.655,8.67,3888082,-2.2547914317925466
2025-09-24,8.7,8.95,8.635,8.64,2711380,-0.34602076124566894
2025-09-25,8.48,8.48,8.18,8.34,4498385,-3.472222222222232
2025-09-26,8.33,8.55,8.16,8.55,3278896,2.517985611510798
2025-09-29,8.59,8.68,8.4737,8.57,2489951,0.23391812865496409
2025-09-30,8.51,8.73,8.32,8.67,3194776,1.1668611435239118
2025-10-01,8.74,9.6299,8.63,9.5,8931811,9.573241061130332
2025-10-02,9.58,9.75,9.305,9.55,4330218,0.5263157894736858
2025-10-03,9.59,9.75,9.24,9.46,5007962,-0.942408376963344
2025-10-06,9.5,9.53,9.065,9.08,4102168,-4.016913319238913
2025-10-07,9.12,9.33,8.95,9.22,4219028,1.541850220264318
