date,open,high,low,close,volume,change_pct
2025-07-21,97.65,100.65,97.285,99.64,1082546,0.0
2025-07-22,99.77,99.95,95.225,96.79,988822,-2.860297069450013
2025-07-23,98.12,98.69,96.58,97.17,933952,0.3926025415848633
2025-07-24,97.17,98.36,95.94,98.25,1102724,1.1114541525162114
2025-07-25,98.25,99.49,97.1,99.44,998710,1.2111959287531837
2025-07-28,100.93,104.0,100.82,101.84,1298258,2.413515687851975
2025-07-29,102.785,103.78,99.72,100.92,807713,-0.903377847604081
2025-07-30,102.86,103.88,100.6,102.31,1455066,1.377328577090764
2025-07-31,100.0,100.46,94.35,94.75,1540395,-7.3893070081126
2025-08-01,91.63,96.41,91.37,94.3,1402957,-0.4749340369393118
2025-08-04,95.5,97.29,94.8201,97.2,1646707,3.0752916224814575
2025-08-05,97.625,97.82,93.58,94.75,1278551,-2.5205761316872466
2025-08-06,93.96,93.98,89.4,90.0,2395202,-5.013192612137207
2025-08-07,92.59,94.013,91.615,92.68,2152371,2.9777777777777903
2025-08-08,94.205,104.69,93.5,102.88,3811223,11.005610703495883
2025-08-11,104.0152,106.21,103.735,104.66,2249227,1.7301710730948772
2025-08-12,106.35,110.35,103.53,110.21,1894320,5.302885534110446
2025-08-13,111.51,113.4654,109.9015,111.46,1549001,1.134198348607196
2025-08-14,109.7,110.65,108.86,110.03,999133,-1.2829714695854921
2025-08-15,109.57,109.57,106.34,106.95,1648198,-2.7992365718440437
2025-08-18,107.125,108.84,106.9598,108.66,791858,1.5988779803646436
2025-08-19,109.0147,109.0147,107.31,107.55,1026559,-1.0215350635008225
2025-08-20,107.245,108.4925,103.605,105.93,1072783,-1.5062761506276057
2025-08-21,104.79,106.54,104.5846,105.46,621594,-0.44368922873596617
2025-08-22,105.59,112.52,105.525,108.5,915046,2.8826095201972324
2025-08-25,108.64,109.02,107.32,108.32,787644,-0.16589861751152846
2025-08-26,108.63,109.77,108.34,108.89,1186158,0.5262186115214229
2025-08-27,108.0,108.55,107.04,107.99,545317,-0.8265221783451238
2025-08-28,108.445,109.765,106.77,109.3,616366,1.2130752847485882
2025-08-29,108.105,108.265,104.94,106.0,1081186,-3.019213174748392
2025-09-02,101.8336,104.185,101.0,103.9,919205,-1.9811320754716921
2025-09-03,103.9,104.99,101.59,102.66,795810,-1.1934552454283098
2025-09-04,102.33,103.79,101.06,101.95,1371940,-0.6916033508669317
2025-09-05,103.55,105.16,102.5,104.07,947273,2.079450711132891
2025-09-08,105.25,105.345,103.25,103.63,997650,-0.42279235130200377
2025-09-09,104.065,104.57,102.91,104.21,829710,0.5596834893370595
2025-09-10,105.0,107.49,104.64,106.04,1196159,1.7560694750983652
2025-09-11,107.59,110.99,107.36,108.25,1264373,2.0841192003017595
2025-09-12,108.36,112.64,107.55,110.98,1544730,2.5219399538106257
2025-09-15,111.395,117.37,111.37,116.37,1896842,4.856730942512155
2025-09-16,116.935,122.21,116.47,120.58,2451572,3.6177709031537386
2025-09-17,119.0,121.93,111.9889,116.0,1542418,-3.7983081771438054
2025-09-18,122.875,125.7,120.63,123.33,2009572,6.318965517241382
2025-09-19,122.53,123.385,121.04,122.67,5037313,-0.5351495986377963
2025-09-22,127.5,132.38,127.0,130.12,2477287,6.073204532485543
2025-09-23,137.595,142.77,135.26,136.73,2998624,5.079926221948949
2025-09-24,136.52,137.345,130.56,130.96,2078792,-4.219995611789651
2025-09-25,127.17,130.36,126.5917,127.93,1308079,-2.3136835675015233
2025-09-26,127.385,129.5599,126.53,127.58,956320,-0.273587117955143
2025-09-29,129.695,132.62,129.695,130.4,1530471,2.2103778021633547
2025-09-30,129.0,131.285,126.08,129.22,934684,-0.904907975460123
2025-10-01,127.965,137.82,127.34,137.24,1183555,6.206469586751284
2025-10-02,141.415,145.0,138.53,139.83,1662503,1.8872048965316246
2025-10-03,140.43,147.24,139.96,143.71,2419785,2.774797968962317
2025-10-06,147.0,150.2061,145.3,145.3,1427116,1.1063948229072418
2025-10-07,146.475,147.86,134.0,135.11,1490769,-7.013076393668271
2025-10-08,134.65,139.21,134.49,139.12,1217173,2.967952039079269
2025-10-09,139.265,139.265,135.61,136.6,1271510,-1.8113858539390515
2025-10-10,138.385,139.27,121.15,121.34,1568155,-11.171303074670568
2025-10-13,128.75,132.42,127.01,129.45,1552083,6.68369869787373
2025-10-14,125.06,132.821,124.51,130.38,1215055,0.7184241019698723
2025-10-15,135.5,136.42,132.06,133.08,856151,2.070869765301442
2025-10-16,136.145,136.8607,131.5352,135.62,878619,1.908626390141266
2025-10-17,132.77,136.62,132.0,134.01,754253,-1.1871405397434143
2025-10-20,136.185,138.2,134.9362,135.67,535769,1.2387135288411288
2025-10-21,136.39,136.39,132.59,134.32,664652,-0.9950615463993451
2025-10-22,132.04,133.355,121.7,125.48,1061728,-6.581298391899937
2025-10-23,125.815,133.055,125.3,131.93,1036312,5.140261396238444
2025-10-24,134.53,137.23,134.04,134.68,496224,2.084438717501702
2025-10-27,137.155,137.165,132.26,134.3,993999,-0.28215028215028415
2025-10-28,133.28,133.28,129.92,130.69,582238,-2.6880119136262204
2025-10-29,133.86,139.62,133.82,137.08,1105248,4.889433009411603
2025-10-30,134.1292,139.6,134.1292,137.05,955018,-0.02188503063904612
2025-10-31,137.51,138.87,132.66,134.96,802066,-1.5249908792411504
2025-11-03,136.16,136.16,130.26,131.71,987846,-2.4081209247184376
2025-11-04,126.365,131.16,125.3298,129.11,883262,-1.9740338622731723
2025-11-05,129.005,136.34,128.89,135.76,1066902,5.150646735341935
2025-11-06,135.85,138.99,130.42,131.75,1739803,-2.953741897466111
2025-11-07,121.8,140.17,118.97,139.09,2196349,5.571157495256163
2025-11-10,143.555,145.05,137.42,141.07,1157683,1.423538715939321
2025-11-11,140.7,140.7,132.96,133.44,722692,-5.4086623662011775
2025-11-12,135.815,137.11,133.58,135.52,789782,1.558752997601931
2025-11-13,134.76,135.0,127.39,129.73,687563,-4.2724321133412175
2025-11-14,121.8576,132.5,121.8576,127.92,775252,-1.3952054266553549
2025-11-17,126.535,129.84,125.19,127.3,721513,-0.48467792370231466
2025-11-18,125.725,128.53,122.61,124.09,913196,-2.5216025137470455
2025-11-19,125.675,132.395,124.77,130.95,782891,5.52824562817309
2025-11-20,135.0,135.45,124.96,125.28,814831,-4.32989690721649
2025-11-21,124.15,128.69,121.575,127.18,763813,1.516602809706269
2025-11-24,127.4,133.465,126.565,132.24,581019,3.978612989463759
2025-11-25,131.57,137.89,129.89,136.99,768024,3.5919540229885083
2025-11-26,138.0,142.55,138.0,140.47,510060,2.5403314110518993
2025-11-28,140.6,143.48,140.6,143.16,308127,1.9149996440521067
2025-12-01,143.63,147.85,141.645,147.0,749047,2.6823134953897654
