date,open,high,low,close,volume,change_pct
2025-07-15,1.03,1.11,0.95,1.04,142113237,0.0
2025-07-16,1.195,1.49,1.13,1.49,303744892,43.269230769230774
2025-07-17,1.91,2.02,1.54,1.65,550968837,10.738255033557031
2025-07-18,1.845,2.31,1.76,2.25,589707400,36.363636363636374
2025-07-21,2.78,4.97,2.615,3.21,821507734,42.66666666666667
2025-07-22,3.89,3.99,2.67,2.88,6135018,-10.280373831775702
2025-07-23,2.54,2.59,2.05,2.29,529056037,-20.486111111111104
2025-07-24,2.465,2.91,2.36,2.42,462421171,5.676855895196509
2025-07-25,2.55,2.5699,2.26,2.54,233884259,4.958677685950419
2025-07-28,2.645,2.75,2.28,2.34,224423181,-7.874015748031504
2025-07-29,2.25,2.29,1.88,2.05,237107729,-12.393162393162394
2025-07-30,2.035,2.25,2.0,2.07,126824329,0.9756097560975618
2025-07-31,2.1,2.1,1.82,1.84,112502621,-11.111111111111105
2025-08-01,1.955,2.2,1.87,2.1,192079965,14.130434782608692
2025-08-04,2.28,2.57,2.14,2.46,274039043,17.142857142857125
2025-08-05,2.445,2.58,2.31,2.52,235170785,2.4390243902439046
2025-08-06,1.89,2.24,1.85,1.9,211302515,-24.603174603174605
2025-08-07,1.925,1.93,1.7,1.85,140864831,-2.631578947368407
2025-08-08,1.81,2.02,1.77,1.95,90136509,5.405405405405395
2025-08-11,1.93,2.36,1.92,2.31,146942364,18.461538461538463
2025-08-12,2.39,2.67,2.22,2.47,213320242,6.926406926406936
2025-08-13,2.485,2.6,2.35,2.42,101937561,-2.0242914979757165
2025-08-14,2.29,3.06,2.26,3.04,322386136,25.619834710743806
2025-08-15,3.41,3.53,3.1,3.17,419367017,4.2763157894736725
2025-08-18,3.29,3.95,3.29,3.78,414536076,19.242902208201883
2025-08-19,4.025,4.1,3.52,3.62,340157342,-4.232804232804222
2025-08-20,3.39,3.63,3.06,3.22,245034852,-11.049723756906072
2025-08-21,3.2098,3.71,3.13,3.6,205099352,11.801242236024834
2025-08-22,3.58,5.08,3.44,5.01,657093063,39.16666666666666
2025-08-25,4.95,5.87,4.53,4.54,764560875,-9.381237524950093
2025-08-26,4.555,5.28,4.37,4.7,486594938,3.524229074889873
2025-08-27,4.905,4.97,3.96,4.02,300736111,-14.468085106382988
2025-08-28,4.27,4.5,4.08,4.27,227292245,6.218905472636815
2025-08-29,4.52,4.93,4.21,4.45,320288285,4.215456674473073
2025-09-02,4.22,5.19,4.11,5.09,412462921,14.382022471910094
2025-09-03,5.22,5.4,4.92,5.13,301188661,0.7858546168958647
2025-09-04,5.13,6.07,5.04,5.96,466913019,16.179337231968805
2025-09-05,6.41,6.85,5.9,6.65,570359097,11.577181208053688
2025-09-08,7.0,7.32,5.98,6.04,486224218,-9.172932330827077
2025-09-09,6.03,6.4,5.9,6.11,239875920,1.1589403973510048
2025-09-10,6.38,6.43,5.57,5.86,373272067,-4.091653027823239
2025-09-11,7.61,10.7,7.42,10.52,1051328931,79.52218430034128
2025-09-12,9.79,10.38,8.76,9.07,472207805,-13.783269961977185
2025-09-15,9.76,10.5,9.3,9.495,329125852,4.68577728776185
2025-09-16,9.8,9.82,8.81,8.92,255182958,-6.055818852027373
2025-09-17,9.01,10.87,8.765,10.21,701204587,14.461883408071753
2025-09-18,10.15,10.49,9.79,9.94,263957338,-2.6444662095984506
2025-09-19,10.04,10.28,9.35,9.57,229829743,-3.7223340040241415
2025-09-22,9.17,9.45,8.32,8.38,279327621,-12.434691745036563
2025-09-23,7.96,8.095,6.91,7.09,305702245,-15.393794749403355
2025-09-24,7.6,8.48,7.31,8.23,326244212,16.07898448519043
2025-09-25,8.24,9.21,7.87,9.09,371178762,10.449574726609967
2025-09-26,8.8,8.98,8.37,8.81,168064282,-3.0803080308030695
2025-09-29,8.68,8.8172,8.08,8.2,155718924,-6.923950056753703
2025-09-30,8.01,8.41,7.77,7.97,169281682,-2.804878048780479
2025-10-01,8.1,8.8,7.86,8.06,178502351,1.129234629861986
2025-10-02,8.12,8.33,7.83,8.01,148516178,-0.6203473945409543
2025-10-03,8.0,8.83,7.92,8.11,240458581,1.2484394506866447
2025-10-06,8.305,9.69,8.05,9.28,287530033,14.426633785450061
2025-10-07,9.26,9.47,8.41,9.29,197774298,0.10775862068965747
2025-10-08,9.26,9.6,8.36,8.49,205238134,-8.611410118406882
2025-10-09,8.64,8.7,8.12,8.14,93062851,-4.122497055359242
2025-10-10,8.22,8.22,7.45,7.57,158753436,-7.002457002457008
2025-10-13,7.785,7.79,7.23,7.27,115687795,-3.9630118890356725
2025-10-14,7.02,7.89,6.97,7.64,115835746,5.0894085281980805
2025-10-15,7.67,7.84,7.32,7.38,110162772,-3.4031413612565453
2025-10-16,7.34,7.51,7.05,7.11,78517417,-3.658536585365846
2025-10-17,6.955,7.25,6.79,7.16,75995624,0.7032348804500765
2025-10-20,7.19,7.56,7.15,7.37,64213105,2.9329608938547524
2025-10-21,7.235,7.53,6.93,6.96,66492145,-5.563093622795112
2025-10-22,6.735,6.92,6.23,6.82,113344977,-2.011494252873558
2025-10-23,6.9,7.29,6.845,7.03,65278516,3.079178885630496
2025-10-24,7.32,8.385,7.23,7.97,207911586,13.371266002844951
2025-10-27,8.15,8.48,7.85,8.16,110878331,2.3839397741530766
2025-10-28,8.16,8.55,7.92,7.97,100846832,-2.3284313725490224
2025-10-29,8.0,8.25,7.5,7.65,96269462,-4.015056461731481
2025-10-30,7.49,7.61,7.11,7.34,104705009,-4.052287581699354
2025-10-31,7.42,8.02,7.362,7.77,120826257,5.858310626702989
2025-11-03,7.68,7.76,7.39,7.59,87795922,-2.316602316602312
2025-11-04,7.245,7.38,6.86,6.92,94284510,-8.827404479578394
2025-11-05,7.14,7.52,6.98,7.23,74659540,4.4797687861271696
2025-11-06,7.36,7.37,6.52,6.56,126284589,-9.266943291839569
2025-11-07,5.33,6.59,5.24,6.56,214509192,0.0
2025-11-10,6.84,8.12,6.69,7.97,222055805,21.493902439024403
2025-11-11,7.96,8.62,7.78,8.48,225698670,6.39899623588458
2025-11-12,8.49,9.455,8.22,9.37,250463439,10.495283018867907
2025-11-13,8.97,9.29,8.45,8.56,206455856,-8.644610458911405
2025-11-14,8.08,8.96,7.85,8.12,184137397,-5.140186915887868
2025-11-17,8.045,8.14,7.49,7.84,155471095,-3.4482758620689613
2025-11-18,7.45,7.75,7.02,7.52,124123424,-4.081632653061229
2025-11-19,7.365,7.42,6.55,6.69,126425574,-11.037234042553179
2025-11-20,6.955,6.9699,6.14,6.16,111705407,-7.922272047832591
2025-11-21,6.23,7.03,6.23,6.75,160493831,9.577922077922075
2025-11-24,6.75,8.08,6.74,7.69,156567895,13.925925925925942
2025-11-25,7.65,8.07,7.47,7.74,142926195,0.6501950585175553
2025-11-26,7.855,7.94,7.42,7.78,108812718,0.5167958656330685
2025-11-28,7.92,8.26,7.63,7.7,55910339,-1.0282776349614386
2025-12-01,7.52,7.525,7.09,7.14,91070084,-7.272727272727275
2025-12-02,7.15,7.45,6.955,6.99,62020372,-2.1008403361344463
2025-12-03,6.99,7.12,6.86,6.94,51101047,-0.7153075822603716
2025-12-04,6.94,7.74,6.9082,7.58,78940944,9.22190201729105
2025-12-05,7.51,7.58,7.12,7.15,46045888,-5.672823218997358
2025-12-08,7.275,7.42,6.95,7.05,52222127,-1.3986013986014068
2025-12-09,7.05,7.55,6.92,7.41,75727884,5.106382978723412
2025-12-10,7.3,7.77,6.98,7.0,83451854,-5.533063427800267
2025-12-11,7.05,7.17,6.73,7.05,60839785,0.7142857142857117
2025-12-12,7.06,7.225,6.55,6.56,49932544,-6.950354609929077
2025-12-15,6.665,6.665,6.25,6.47,76091264,-1.3719512195121908
2025-12-16,6.4,6.785,6.3962,6.73,73035684,4.0185471406491535
2025-12-17,6.7,6.88,6.08,6.12,77286942,-9.063893016344727
2025-12-18,6.42,6.585,6.24,6.28,87649821,2.614379084967333
2025-12-19,6.32,6.4257,6.21,6.36,61502251,1.273885350318471
2025-12-22,6.57,6.8,6.37,6.42,68585285,0.943396226415083
2025-12-23,6.375,6.485,6.2,6.27,39541684,-2.336448598130847
2025-12-24,6.24,6.296,6.12,6.28,19550121,0.15948963317384823
2025-12-26,6.235,6.235,5.98,6.01,47105052,-4.299363057324845
2025-12-29,5.885,6.03,5.79,5.83,44031525,-2.9950083194675514
2025-12-30,5.765,5.86,5.64,5.84,42464433,0.17152658662091813
