date,open,high,low,close,volume,change_pct
2025-07-21,11.0,11.39,11.0,11.06,543561,0.0
2025-07-22,11.08,11.4,11.0209,11.15,552497,0.8137432188065175
2025-07-23,11.34,12.0,11.19,11.8,862894,5.829596412556048
2025-07-24,11.72,11.91,11.53,11.73,287772,-0.5932203389830581
2025-07-25,11.69,11.69,11.21,11.44,458960,-2.4722932651321528
2025-07-28,11.55,11.6,11.12,11.18,637288,-2.2727272727272707
2025-07-29,11.25,11.62,10.0,11.04,12363084,-1.2522361359570744
2025-07-30,11.28,11.33,10.535,10.71,882486,-2.989130434782594
2025-07-31,10.63,10.76,9.88,9.97,893997,-6.909430438842201
2025-08-01,9.73,10.14,9.63,10.12,942341,1.5045135406218435
2025-08-04,10.16,10.305,9.72,9.745,820196,-3.70553359683794
2025-08-05,9.88,10.05,9.55,9.99,715507,2.5141097998973905
2025-08-06,9.97,9.97,9.4733,9.88,853188,-1.1011011011010985
2025-08-07,9.93,9.93,9.515,9.63,496405,-2.53036437246964
2025-08-08,9.64,9.6602,9.03,9.24,1050053,-4.049844236760125
2025-08-11,9.22,9.3,8.97,9.2,852224,-0.43290043290044045
2025-08-12,9.22,9.66,9.195,9.52,490217,3.4782608695652195
2025-08-13,9.56,10.31,9.56,9.83,932657,3.256302521008414
2025-08-14,9.55,9.96,9.3728,9.93,802062,1.0172939979654183
2025-08-15,10.06,10.06,9.535,9.66,650989,-2.7190332326283984
2025-08-18,9.67,10.05,9.67,9.9,870992,2.4844720496894457
2025-08-19,9.89,9.9576,9.51,9.6,826676,-3.0303030303030387
2025-08-20,9.57,9.635,9.36,9.51,506163,-0.9375000000000022
2025-08-21,9.39,9.77,9.3214,9.69,353405,1.8927444794952564
2025-08-22,9.78,10.145,9.645,9.74,531437,0.5159958720330371
2025-08-25,9.73,9.81,9.495,9.62,368810,-1.2320328542094527
2025-08-26,9.58,9.875,9.555,9.85,1175591,2.3908523908523938
2025-08-27,9.9,10.26,9.83,10.26,1158635,4.162436548223347
2025-08-28,10.05,10.35,9.97,10.03,875166,-2.2417153996101447
2025-08-29,10.06,10.255,9.87,10.23,711539,1.9940179461615193
2025-09-02,10.2,10.57,10.06,10.38,1072312,1.4662756598240456
2025-09-03,10.32,10.85,10.18,10.6,1178735,2.1194605009633882
2025-09-04,10.62,10.88,10.31,10.77,928070,1.6037735849056656
2025-09-05,10.91,11.27,10.78,10.88,1048855,1.0213556174559102
2025-09-08,10.88,11.0,10.48,10.5,1439730,-3.492647058823539
2025-09-09,10.44,11.2,10.39,10.91,1286670,3.9047619047618998
2025-09-10,10.91,10.94,10.36,10.52,1045016,-3.574702108157657
2025-09-11,10.6,10.92,10.56,10.86,800370,3.2319391634980876
2025-09-12,10.76,11.1,10.76,10.78,906538,-0.7366482504604033
2025-09-15,10.85,11.16,10.7,10.71,1252522,-0.6493506493506329
2025-09-16,10.63,11.05,10.37,10.9,1397139,1.7740429505135324
2025-09-17,10.97,11.16,10.43,10.52,1225392,-3.4862385321100975
2025-09-18,10.66,11.171,10.66,11.0,1211632,4.562737642585546
2025-09-19,11.0,11.047,10.53,10.56,5769047,-3.9999999999999925
2025-09-22,10.5,10.93,10.0,10.82,1488222,2.4621212121212155
2025-09-23,10.7,10.89,10.33,10.48,1268499,-3.1423290203327126
2025-09-24,10.48,10.82,10.11,10.46,1000124,-0.1908396946564861
2025-09-25,10.3,10.65,10.19,10.41,833982,-0.47801147227534146
2025-09-26,10.43,11.22,10.37,11.12,1187518,6.820365033621512
2025-09-29,11.23,11.92,11.1,11.62,1675843,4.496402877697836
2025-09-30,11.63,12.05,11.5,12.0,1141977,3.2702237521514688
2025-10-01,11.74,12.13,11.64,11.71,936806,-2.416666666666656
2025-10-02,11.75,11.8392,11.13,11.32,1297755,-3.330486763450047
2025-10-03,11.34,11.71,11.284,11.565,904992,2.1643109540635974
2025-10-06,12.28,14.66,12.07,14.41,3728858,24.60008646779075
2025-10-07,14.835,14.93,13.775,14.12,2558178,-2.012491325468435
2025-10-08,14.25,14.61,13.85,14.28,1978286,1.1331444759206777
2025-10-09,14.17,14.5028,14.0,14.08,1301888,-1.4005602240896309
2025-10-10,14.08,14.1,13.24,13.68,2379229,-2.840909090909094
2025-10-13,13.74,14.16,13.4201,13.91,1252526,1.6812865497076057
2025-10-14,13.7,13.78,13.15,13.16,1491013,-5.391804457225014
2025-10-15,13.3,14.04,13.19,13.9,1408836,5.623100303951367
2025-10-16,14.045,14.169,13.285,13.3,1392138,-4.316546762589923
2025-10-17,13.08,13.35,12.62,12.78,1119693,-3.909774436090241
2025-10-20,13.02,13.07,12.37,12.38,1417441,-3.1298904538341055
2025-10-21,12.33,12.78,12.18,12.6,1188856,1.7770597738287375
2025-10-22,12.45,12.562,11.71,12.08,1288507,-4.126984126984123
2025-10-23,12.06,12.46,11.88,12.42,993343,2.81456953642385
2025-10-24,12.58,13.38,12.47,13.1,1463618,5.475040257648955
2025-10-27,13.55,13.69,12.95,13.4,1271228,2.2900763358778775
2025-10-28,13.21,13.81,13.115,13.43,896134,0.2238805970149249
2025-10-29,13.42,13.57,12.895,12.93,1102769,-3.7230081906180157
2025-10-30,12.752,13.51,12.752,13.34,908590,3.1709203402938924
2025-10-31,13.24,13.57,13.03,13.16,1170857,-1.3493253373313308
2025-11-03,13.06,13.42,12.26,12.69,1211926,-3.571428571428581
2025-11-04,12.3,12.71,12.16,12.3,1727235,-3.0732860520094496
2025-11-05,12.36,12.54,11.88,12.38,920753,0.6504065040650486
2025-11-06,12.36,12.91,12.16,12.55,731916,1.3731825525040486
2025-11-07,12.6,12.61,11.7701,12.35,800939,-1.5936254980079778
2025-11-10,12.56,12.86,12.32,12.46,1131149,0.8906882591093179
2025-11-11,12.36,13.04,12.11,12.88,1226043,3.370786516853941
2025-11-12,12.77,12.97,12.39,12.48,866223,-3.105590062111807
2025-11-13,12.3,12.48,12.02,12.19,708271,-2.3237179487179516
2025-11-14,12.44,13.45,12.1348,12.25,1563959,0.4922067268252617
2025-11-17,12.285,12.71,11.28,12.06,1920176,-1.5510204081632617
2025-11-18,11.93,12.145,11.51,11.9,955731,-1.3266998341625258
2025-11-19,11.87,12.04,11.47,11.48,657698,-3.529411764705881
2025-11-20,12.48,12.5,11.21,11.48,1607219,0.0
2025-11-21,11.57,11.8,11.02,11.62,1395197,1.21951219512193
2025-11-24,11.64,12.005,11.5,11.79,1383315,1.462994836488818
2025-11-25,11.82,12.29,11.47,11.62,1087644,-1.4418999151823542
2025-11-26,11.58,11.95,11.46,11.82,1926410,1.7211703958692093
2025-11-28,11.9,12.14,11.742,11.88,603072,0.5076142131979822
2025-12-01,11.65,11.78,11.045,11.15,1141543,-6.1447811447811524
2025-12-02,11.18,11.245,10.445,10.65,1863939,-4.484304932735428
