date,open,high,low,close,volume,change_pct
2025-07-21,230.96,232.12,226.66,228.86,574179,0.0
2025-07-22,230.0,232.91,229.24,231.88,471729,1.3195840251682078
2025-07-23,234.89,234.89,231.55,233.39,462528,0.6511988959806647
2025-07-24,233.12,235.4,229.13,230.18,349620,-1.3753802647928248
2025-07-25,231.05,234.36,229.9425,233.1,304826,1.268572421583114
2025-07-28,233.905,235.7101,229.77,230.17,598860,-1.256971256971262
2025-07-29,230.4,231.47,225.48,227.15,694549,-1.3120736846678471
2025-07-30,247.0,258.845,244.51,254.21,1200155,11.912832929782091
2025-07-31,251.0,261.81,249.11,252.27,1079308,-0.7631485779473701
2025-08-01,251.98,251.98,241.235,243.01,694067,-3.6706703135529484
2025-08-04,243.686,246.39,239.17,240.39,427592,-1.0781449323073122
2025-08-05,238.85,241.085,236.26,240.1,551772,-0.12063729772452403
2025-08-06,242.33,242.33,234.34,239.99,340012,-0.04581424406496781
2025-08-07,237.2667,242.13,237.2667,240.74,203030,0.3125130213758931
2025-08-08,240.09,243.2676,238.275,240.49,280040,-0.10384647337375874
2025-08-11,239.91,242.57,236.66,239.5,300224,-0.4116595284627267
2025-08-12,239.87,249.61,239.14,248.55,394309,3.7787056367432292
2025-08-13,247.345,260.22,247.345,257.38,582380,3.552605109635887
2025-08-14,256.85,257.27,250.96,253.21,332627,-1.6201725075763451
2025-08-15,253.015,254.6399,251.39,253.02,304724,-0.07503653094269591
2025-08-18,252.55,256.38,250.9906,255.35,336982,0.9208758200932587
2025-08-19,254.04,256.47,250.56,253.2,262693,-0.8419815938907393
2025-08-20,255.26,256.84,252.2,255.72,425574,0.9952606635071026
2025-08-21,256.0,258.12,251.29,251.37,313243,-1.7010793054903828
2025-08-22,252.735,268.81,252.735,264.74,604846,5.318852687273745
2025-08-25,264.35,267.39,261.645,264.17,599362,-0.21530558283598955
2025-08-26,265.53,270.0,263.225,266.0,606381,0.6927357383502919
2025-08-27,263.76,270.53,263.76,266.93,630569,0.3496240601503775
