date,open,high,low,close,volume,change_pct
2025-07-21,6.4,6.98,6.35,6.58,3921539,0.0
2025-07-22,6.83,6.88,5.94,6.24,3798338,-5.167173252279634
2025-07-23,6.39,6.945,6.325,6.64,3862470,6.41025641025641
2025-07-24,6.655,6.73,6.23,6.24,2756623,-6.024096385542165
2025-07-25,6.26,6.32,6.02,6.23,1866816,-0.1602564102564097
2025-07-28,6.32,6.43,5.84,5.87,3238727,-5.7784911717496
2025-07-29,5.89,5.93,5.635,5.72,2337597,-2.555366269165249
2025-07-30,5.75,6.085,5.63,5.75,2487415,0.5244755244755206
2025-07-31,5.82,5.94,5.4826,5.5,1857983,-4.347826086956519
2025-08-01,5.33,5.46,5.21,5.4,1663463,-1.8181818181818077
2025-08-04,5.5,5.83,5.47,5.81,1532443,7.592592592592573
2025-08-05,5.88,5.88,5.4704,5.51,1425543,-5.163511187607572
2025-08-06,5.54,5.5768,5.27,5.42,1396301,-1.6333938294010864
2025-08-07,5.48,5.48,5.25,5.36,1323146,-1.1070110701106972
2025-08-08,5.35,5.525,5.31,5.49,1149625,2.425373134328357
2025-08-11,5.54,5.76,5.48,5.52,1575054,0.5464480874316724
2025-08-12,5.31,5.4,4.9,5.1,3795230,-7.608695652173914
2025-08-13,5.08,5.23,5.01,5.22,1226197,2.35294117647058
2025-08-14,5.0,5.11,4.93,5.09,1559076,-2.490421455938696
2025-08-15,5.01,5.1,4.93,5.04,924697,-0.9823182711198419
2025-08-18,4.96,5.1,4.805,5.06,1546294,0.3968253968253954
2025-08-19,5.0,5.1,4.865,4.9,1163826,-3.162055335968361
2025-08-20,4.82,4.95,4.68,4.94,1278063,0.8163265306122547
2025-08-21,4.84,5.08,4.8392,5.07,760616,2.6315789473684292
2025-08-22,5.07,5.38,4.97,5.34,1335381,5.325443786982231
2025-08-25,5.47,5.69,5.3,5.35,1598070,0.1872659176029856
2025-08-26,5.3,5.5164,5.3,5.42,770894,1.3084112149532867
2025-08-27,5.4,5.48,5.2801,5.38,942732,-0.7380073800738018
2025-08-28,5.37,5.75,5.34,5.65,1767277,5.018587360594795
2025-08-29,5.73,5.75,5.3,5.36,2074675,-5.13274336283186
2025-09-02,5.17,5.3287,5.0518,5.3,1168017,-1.1194029850746356
2025-09-03,5.28,5.34,5.025,5.12,993919,-3.396226415094339
2025-09-04,5.07,5.28,5.07,5.255,778069,2.63671875
2025-09-05,5.3,5.33,5.15,5.28,505111,0.4757373929590969
2025-09-08,5.32,5.46,5.2814,5.35,918575,1.325757575757569
2025-09-09,5.34,5.4133,5.26,5.33,684941,-0.37383177570092796
2025-09-10,5.3,5.62,5.295,5.6,1390106,5.065666041275785
2025-09-11,5.65,5.75,5.3,5.33,1682253,-4.821428571428566
2025-09-12,5.43,5.43,5.14,5.24,1057933,-1.6885553470919246
2025-09-15,5.195,5.2199,5.01,5.145,1417802,-1.8129770992366567
2025-09-16,5.1,5.18,5.0216,5.11,938155,-0.6802721088435271
2025-09-17,5.13,5.1781,4.95,5.14,1266612,0.5870841487279677
2025-09-18,5.18,5.33,5.1702,5.235,1126594,1.8482490272373697
2025-09-19,5.2,5.32,5.0811,5.16,1713272,-1.4326647564469996
2025-09-22,5.15,5.21,5.03,5.16,1339395,0.0
2025-09-23,5.235,6.2,5.235,6.0,8297865,16.279069767441868
2025-09-24,6.575,6.7,6.01,6.05,6711659,0.8333333333333304
2025-09-25,6.04,6.82,6.0,6.19,7521201,2.3140495867768784
2025-09-26,6.59,6.59,5.7,5.76,5546968,-6.946688206785145
2025-09-29,5.85,5.9099,5.275,5.49,4530754,-4.687499999999989
2025-09-30,5.48,5.73,5.38,5.54,3132926,0.9107468123861429
2025-10-01,5.525,6.0878,5.45,5.94,4458272,7.220216606498209
2025-10-02,6.26,6.5965,6.12,6.5,6010271,9.427609427609429
2025-10-03,6.51,6.6299,6.07,6.22,4349300,-4.307692307692312
2025-10-06,6.37,6.57,6.21,6.38,5088940,2.5723472668810254
2025-10-07,6.73,8.13,6.47,7.88,40896697,23.510971786833856
2025-10-08,8.525,9.22,8.01,9.22,59213730,17.00507614213198
2025-10-09,9.255,9.41,8.41,8.82,32546286,-4.338394793926248
2025-10-10,8.515,8.52,7.25,7.63,29694604,-13.4920634920635
2025-10-13,7.98,8.535,7.41,8.43,18561220,10.484927916120569
