date,open,high,low,close,volume,change_pct
2025-07-21,19.4487,20.56,18.37,18.39,81623633,0.0
2025-07-22,18.38,18.38,16.78,17.59,43194545,-4.350190320826542
2025-07-23,18.3,20.47,18.06,20.3,77379082,15.40648095508812
2025-07-24,19.64,20.47,19.41,19.76,49987890,-2.6600985221674867
2025-07-25,19.7,19.75,18.73,18.87,31470163,-4.5040485829959565
2025-07-28,19.3,19.44,17.81,18.35,34377585,-2.755696873343927
2025-07-29,18.81,19.24,17.64,17.67,30090958,-3.705722070844686
2025-07-30,17.92,18.465,16.77,17.06,37283168,-3.4521788341822512
2025-07-31,17.61,18.5882,17.19,17.19,37839187,0.7620164126612039
2025-08-01,16.51,17.0399,16.11,16.38,31626288,-4.712041884816765
2025-08-04,16.76,17.42,16.35,17.18,33087323,4.884004884004889
2025-08-05,17.72,19.17,17.49,18.3,58268219,6.519208381839348
2025-08-06,18.56,18.61,17.41,17.58,38888470,-3.9344262295082144
2025-08-07,17.0,17.92,16.56,17.17,65506204,-2.3321956769055574
2025-08-08,17.13,17.77,16.565,16.9,44645991,-1.5725101921957085
2025-08-11,17.0,18.2,16.8101,17.37,43714744,2.7810650887574173
2025-08-12,17.47,18.59,16.94,18.51,47375247,6.563039723661479
2025-08-13,18.73,19.0875,17.76,18.65,52175641,0.7563479200431988
2025-08-14,18.25,18.54,17.44,18.18,42780134,-2.5201072386058954
2025-08-15,17.76,17.895,16.52,17.01,45627527,-6.435643564356431
2025-08-18,16.995,17.07,16.23,16.56,27337500,-2.645502645502662
2025-08-19,16.52,16.6,15.245,15.32,33392342,-7.4879227053139985
2025-08-20,15.3,15.46,14.2,15.06,36855007,-1.6971279373368175
2025-08-21,15.0,15.025,14.57,14.81,24222502,-1.6600265604249653
2025-08-22,14.74,15.62,14.425,15.54,31682461,4.929101958136384
2025-08-25,15.42,15.44,14.76,15.02,21415533,-3.346203346203347
2025-08-26,15.03,15.545,14.98,15.45,23348112,2.8628495339547255
2025-08-27,15.33,15.81,15.07,15.23,26923471,-1.423948220064719
2025-08-28,15.43,16.29,15.4,15.92,32742518,4.530531845042685
2025-08-29,15.98,15.9896,15.46,15.62,20006692,-1.8844221105527637
2025-09-02,15.155,15.86,14.78,15.85,29039672,1.472471190781044
2025-09-03,15.8,16.12,15.18,15.3,32107960,-3.4700315457413144
2025-09-04,15.4696,15.81,14.88,15.29,27518891,-0.06535947712419388
2025-09-05,15.46,15.96,14.9,15.37,32925294,0.5232177894048506
2025-09-08,15.505,15.75,15.23,15.42,22874693,0.3253090435914263
2025-09-09,15.45,16.24,15.28,16.15,34180640,4.734111543450048
2025-09-10,16.2,16.42,15.87,16.04,29141721,-0.6811145510835837
2025-09-11,16.06,16.72,15.9575,16.52,38787036,2.9925187032419087
2025-09-12,16.67,17.98,16.54,17.76,59652367,7.506053268765145
2025-09-15,17.7,18.58,17.26,18.32,44351323,3.153153153153143
2025-09-16,18.375,19.18,17.9,18.98,39742598,3.60262008733625
2025-09-17,18.98,22.85,18.93,22.54,126852159,18.756585879873544
2025-09-18,22.87,24.85,22.34,24.02,80856464,6.566104702750675
2025-09-19,23.46,27.329,23.32,26.88,102188600,11.906744379683598
2025-09-22,24.49,26.2599,22.84,25.67,69773462,-4.5014880952380825
2025-09-23,25.88,27.9899,25.6,27.52,66448026,7.206856252434735
2025-09-24,28.44,29.18,26.36,27.72,66549277,0.7267441860465018
2025-09-25,26.015,27.325,24.62,26.34,65488824,-4.978354978354971
2025-09-26,26.35,28.5,26.02,26.76,60598622,1.5945330296127658
2025-09-29,27.02,28.57,24.97,25.31,68895909,-5.418535127055312
2025-09-30,24.94,25.475,23.6712,24.71,46242383,-2.3706045041485546
2025-10-01,24.39,25.82,23.91,25.63,43929472,3.7231889923107886
2025-10-02,26.2,29.61,26.03,29.21,72187886,13.968006242684371
