date,open,high,low,close,volume,change_pct
2025-07-16,17.55,17.74,16.55,17.5,4275230,0.0
2025-07-17,17.7,19.17,17.61,19.09,5994866,9.085714285714275
2025-07-18,19.28,19.5599,18.53,19.41,4265990,1.6762702985856581
2025-07-21,20.2883,20.33,17.34,17.37,6471115,-10.510046367851622
2025-07-22,17.3,17.31,15.8801,16.36,4757969,-5.814622913068512
2025-07-23,16.79,16.97,16.29,16.92,3306857,3.4229828850855792
2025-07-24,16.805,16.805,15.95,16.02,2940466,-5.319148936170226
2025-07-25,15.99,16.2399,15.42,16.07,2976198,0.3121098626716723
2025-07-28,16.35,16.51,15.25,15.47,2629085,-3.733665214685744
2025-07-29,15.44,15.6,14.03,14.46,4877965,-6.528765352294763
2025-07-30,14.515,14.8795,13.71,14.06,3593143,-2.766251728907332
2025-07-31,14.15,14.7099,13.96,14.29,2750792,1.6358463726884764
2025-08-01,13.715,14.21,13.1,13.87,3124996,-2.939118264520646
2025-08-04,14.18,15.24,13.95,14.77,4769778,6.488824801730364
2025-08-05,15.12,15.73,14.28,14.71,4199410,-0.4062288422477911
2025-08-06,14.3912,14.58,13.52,13.7,6572579,-6.866077498300482
2025-08-07,10.99,11.35,9.405,9.47,19921219,-30.87591240875912
2025-08-08,9.33,9.65,8.91,8.99,10032242,-5.068637803590292
2025-08-11,9.01,9.23,8.65,8.82,6186027,-1.8909899888765236
2025-08-12,8.92,9.6197,8.65,9.42,6619875,6.8027210884353595
2025-08-13,9.7,9.77,9.01,9.66,4984727,2.547770700636942
2025-08-14,9.41,9.62,9.0174,9.09,4045027,-5.9006211180124275
2025-08-15,9.07,9.07,8.76,8.94,3702222,-1.650165016501659
2025-08-18,8.75,9.28,8.43,9.04,4613595,1.118568232662187
2025-08-19,8.97,8.99,8.66,8.84,3757774,-2.212389380530966
2025-08-20,8.8,8.8432,8.1811,8.7,3930374,-1.5837104072398245
2025-08-21,8.715,8.82,8.55,8.7,1851513,0.0
2025-08-22,8.7,9.18,8.61,9.1,3243438,4.597701149425282
2025-08-25,9.015,9.38,8.8,8.94,2696903,-1.758241758241763
2025-08-26,8.92,9.38,8.9,9.29,2708643,3.914988814317666
2025-08-27,9.27,9.32,8.93,8.99,3030117,-3.229278794402568
2025-08-28,9.17,9.43,9.01,9.2,4478308,2.3359288097886344
2025-08-29,9.14,9.2,8.75,8.91,3067685,-3.1521739130434656
2025-09-02,8.64,9.005,8.53,8.92,2461829,0.11223344556676729
2025-09-03,8.89,8.9797,8.3,8.32,3708521,-6.726457399103136
2025-09-04,8.425,8.43,8.06,8.21,3353344,-1.3221153846153744
2025-09-05,8.34,8.49,8.11,8.32,2198962,1.3398294762484664
2025-09-08,8.37,8.54,8.23,8.39,1964329,0.8413461538461675
2025-09-09,8.28,8.3398,8.08,8.16,2033805,-2.741358760429091
2025-09-10,8.21,8.5,8.13,8.23,2683308,0.8578431372548989
2025-09-11,8.305,8.74,8.2,8.45,3133911,2.673147023086253
2025-09-12,8.5245,8.85,8.52,8.69,2725717,2.8402366863905293
