date,open,high,low,close,volume,change_pct
2025-07-15,26.6,28.49,26.5696,27.37,5534803,0.0
2025-07-16,27.31,27.65,24.2619,24.96,6053215,-8.805261234928752
2025-07-17,25.0,26.62,24.58,25.255,3439540,1.1818910256410131
2025-07-18,25.555,27.33,25.555,26.62,4025138,5.404870322708377
2025-07-21,27.66,30.09,27.45,28.83,6900810,8.302028549962426
2025-07-22,29.19,32.45,29.08,31.86,9445591,10.50988553590011
2025-07-23,31.32,31.99,28.61,29.07,5726924,-8.757062146892657
2025-07-24,29.58,29.58,27.6,28.47,3219058,-2.063983488132104
2025-07-25,28.88,28.99,26.72,27.23,3664677,-4.355461889708456
2025-07-28,27.83,28.4,26.46,27.06,2761231,-0.6243114212265977
2025-07-29,27.28,27.28,24.76,24.95,4058101,-7.797487065779752
2025-07-30,25.38,28.125,24.45,25.81,7279789,3.446893787575145
2025-07-31,25.35,26.22,24.8,25.66,2860849,-0.5811700891127369
2025-08-01,25.515,26.36,24.4,25.55,3473724,-0.4286827747466804
2025-08-04,26.11,26.96,25.465,25.63,2483255,0.31311154598825386
2025-08-05,25.88,26.8,25.0189,26.12,3318095,1.9118220834959176
2025-08-06,25.96,26.16,25.03,25.79,5026429,-1.26339969372129
2025-08-07,27.5,27.94,23.01,24.42,9755071,-5.312136487010455
2025-08-08,24.98,26.2999,24.3506,24.94,4123906,2.129402129402136
2025-08-11,25.17,26.34,24.01,24.9,3381929,-0.1603849238171695
2025-08-12,25.205,25.35,24.3,25.1,2220960,0.8032128514056325
2025-08-13,25.15,26.95,24.85,26.46,3673833,5.418326693227082
2025-08-14,25.57,26.05,24.38,25.67,3139128,-2.985638699924409
2025-08-15,25.7,32.59,25.12,30.06,13706671,17.101675107128923
2025-08-18,31.145,33.3,29.4419,31.16,7496303,3.659347970725224
2025-08-19,31.35,32.72,30.48,31.99,5047947,2.6636713735558315
2025-08-20,31.4,32.93,31.0019,32.06,3467226,0.2188183807440014
2025-08-21,31.39,31.44,29.41,30.21,4035499,-5.770430442919528
2025-08-22,30.77,34.36,30.0,34.3,5005632,13.538563389606084
2025-08-25,33.49,34.07,31.66,31.99,5452891,-6.734693877551012
2025-08-26,32.3,33.76,31.792,32.25,3419470,0.8127539856205068
2025-08-27,31.93,33.425,31.88,33.09,2711532,2.6046511627907165
2025-08-28,33.59,34.1364,32.75,33.25,2056297,0.48352976730128283
2025-08-29,33.32,34.67,33.0,33.82,3097649,1.7142857142857126
2025-09-02,31.95,32.25,30.5,31.53,3907704,-6.771141336487285
2025-09-03,31.75,33.96,31.16,33.21,4038517,5.328258801141761
2025-09-04,33.07,34.44,32.2,34.16,3419230,2.8605841613971617
2025-09-05,35.29,35.77,32.745,34.42,5844701,0.7611241217798659
2025-09-08,34.42,34.55,31.77,33.44,5158932,-2.8471818710052443
2025-09-09,33.69,33.8,28.54,30.04,7144311,-10.167464114832537
2025-09-10,30.94,31.45,29.22,29.42,3527204,-2.0639147802929303
2025-09-11,29.42,31.0644,29.29,29.49,3185715,0.23793337865396502
2025-09-12,29.3,29.7716,28.6,28.97,3115981,-1.7633095964733836
2025-09-15,29.455,31.0,29.14,30.59,3830189,5.5919917155678345
2025-09-16,30.75,33.2,30.58,33.11,4714590,8.23798627002288
2025-09-17,33.19,35.73,32.88,34.11,6952115,3.020235578375119
2025-09-18,34.555,34.88,32.93,34.71,4757155,1.7590149516270914
2025-09-19,34.65,36.58,33.88,35.45,5510217,2.131950446557185
2025-09-22,35.5,38.675,35.25,38.575,5074092,8.815232722143861
2025-09-23,39.0,39.068,35.75,35.93,3772841,-6.8567725210628705
2025-09-24,36.685,37.86,35.8527,37.47,3191795,4.2861118842193235
2025-09-25,36.53,37.97,35.51,37.9,2940875,1.1475847344542212
2025-09-26,37.5,39.6,36.37,39.45,3387517,4.089709762533
2025-09-29,40.18,40.5,37.65,37.68,3946320,-4.486692015209137
2025-09-30,37.74,37.84,36.1,37.0,2378608,-1.8046709129511673
2025-10-01,37.72,39.44,37.36,38.62,3038489,4.378378378378378
2025-10-02,39.18,39.41,37.7,37.96,1901019,-1.7089590885551398
2025-10-03,38.16,39.3,35.5,36.24,4059356,-4.531085353003162
2025-10-06,36.52,37.89,36.17,37.09,2632410,2.345474613686549
2025-10-07,37.15,38.15,35.48,35.55,2922978,-4.152062550552726
2025-10-08,35.97,36.1199,35.06,35.66,2145944,0.3094233473980301
2025-10-09,35.69,41.92,35.45,38.61,7116532,8.272574312955694
2025-10-10,39.52,39.53,34.22,35.06,5212950,-9.194509194509193
2025-10-13,37.07,38.1,36.3,36.46,3033407,3.993154592127768
2025-10-14,35.38,38.37,34.91,37.73,2761096,3.4832693362589096
2025-10-15,38.55,41.11,38.22,40.53,4238935,7.421150278293154
