date,open,high,low,close,volume,change_pct
2025-07-21,10.68,11.24,10.53,10.69,987745,0.0
2025-07-22,10.69,10.77,9.98,10.28,581482,-3.8353601496725953
2025-07-23,10.41,10.61,10.23,10.59,358605,3.015564202334642
2025-07-24,10.59,10.59,10.055,10.16,603737,-4.060434372049104
2025-07-25,10.09,10.16,9.9,10.04,561989,-1.1811023622047334
2025-07-28,10.28,10.51,10.15,10.45,469187,4.083665338645415
2025-07-29,10.58,10.745,10.11,10.2,600523,-2.392344497607657
2025-07-30,10.32,10.35,9.5,9.55,613444,-6.372549019607831
2025-07-31,9.55,9.68,8.8,8.95,911746,-6.282722513089023
2025-08-01,8.75,9.095,8.49,8.78,844827,-1.8994413407821265
2025-08-04,8.94,9.15,8.83,9.13,506525,3.9863325740319144
2025-08-05,9.2,9.29,8.9,9.07,599920,-0.657174151150064
2025-08-06,9.0,9.003,8.5716,8.87,708699,-2.205071664829117
2025-08-07,11.24,12.96,10.65,12.85,6216479,44.87034949267195
2025-08-08,13.185,14.560064,12.99,14.08,3554552,9.571984435797676
2025-08-11,14.05,14.1197,13.41,13.55,1630452,-3.7642045454545414
2025-08-12,13.58,13.58,12.52,12.65,2128675,-6.6420664206642055
2025-08-13,12.62,12.79,12.115,12.26,1266741,-3.0830039525691744
2025-08-14,12.02,12.08,11.56,11.81,1105718,-3.6704730831973786
2025-08-15,11.6,11.67,11.2246,11.41,831120,-3.386960203217615
2025-08-18,11.37,11.81,11.332,11.39,1077526,-0.17528483786152238
2025-08-19,11.44,11.44,10.72,10.8,738773,-5.179982440737485
2025-08-20,10.71,11.32,10.34,11.3,1127698,4.629629629629628
2025-08-21,11.27,11.4142,10.88,10.97,648549,-2.920353982300883
2025-08-22,11.0,11.97,10.95,11.84,914894,7.930720145852321
2025-08-25,11.81,12.03,11.55,11.63,1025752,-1.7736486486486402
2025-08-26,11.9,12.35,11.65,12.06,2939507,3.6973344797936347
2025-08-27,12.44,12.5,11.81,12.0,1400551,-0.4975124378109541
2025-08-28,12.1,12.54,11.986,12.3,1201988,2.5000000000000133
2025-08-29,12.24,12.26,11.81,11.99,970827,-2.5203252032520385
2025-09-02,11.49,11.593,10.86,11.1,956068,-7.422852376980826
2025-09-03,11.2,11.25,10.61,10.66,887084,-3.963963963963957
2025-09-04,10.55,10.8398,10.3,10.81,849105,1.40712945590995
2025-09-05,10.91,11.085,10.16,10.2,710466,-5.6429232192414585
2025-09-08,10.2,11.4299,10.2,11.04,1653278,8.23529411764705
2025-09-09,10.93,11.04,10.35,10.43,996873,-5.5253623188405765
2025-09-10,10.61,10.6901,9.54,9.84,1656902,-5.656759348034512
2025-09-11,9.95,10.5,9.7901,10.19,1504598,3.556910569105698
2025-09-12,10.2,10.85,10.13,10.56,1228755,3.6310107948969605
2025-09-15,10.61,11.67,10.59,11.38,1952048,7.765151515151514
2025-09-16,11.45,11.56,11.1,11.51,1329739,1.1423550087873435
2025-09-17,11.5,12.39,11.35,12.34,1788091,7.21112076455257
2025-09-18,12.63,13.88,12.5,13.51,2701329,9.481361426256086
2025-09-19,13.56,14.23,13.12,13.76,2966986,1.850481125092518
2025-09-22,13.99,15.63,13.9,15.48,3185835,12.5
2025-09-23,15.3,15.94,14.7,15.2,2114650,-1.8087855297157729
2025-09-24,15.42,15.89,15.08,15.3,1251620,0.657894736842124
2025-09-25,14.34,15.5899,14.2527,15.4,1390581,0.6535947712418277
2025-09-26,16.15,18.28,16.07,18.08,4445373,17.402597402597397
2025-09-29,18.8,19.4599,17.45,18.22,3154769,0.7743362831858391
2025-09-30,17.97,19.87,17.87,18.66,2162981,2.414928649835346
2025-10-01,18.07,19.15,18.07,19.12,1279562,2.4651661307609984
2025-10-02,19.5,20.8504,19.04,20.0,3449358,4.602510460251041
2025-10-03,20.0,20.2687,18.04,18.37,2432788,-8.149999999999991
2025-10-06,18.79,19.23,17.74,17.895,2194765,-2.585737615677741
2025-10-07,17.89,19.5,17.76,18.94,1813623,5.839620005588153
2025-10-08,18.95,20.53,18.53,19.31,1904915,1.9535374868004052
2025-10-09,19.16,19.95,18.5,19.71,1120333,2.071465561885044
2025-10-10,19.71,20.1883,17.755,17.77,1731676,-9.842719431760539
2025-10-13,18.56,19.65,18.36,18.82,2601463,5.908835115362976
2025-10-14,18.26,20.75,17.82,18.81,2318454,-0.053134962805534425
2025-10-15,19.89,20.035,18.0,18.48,2214102,-1.754385964912275
2025-10-16,18.81,19.79,16.55,16.59,2413734,-10.22727272727273
2025-10-17,15.91,16.3,14.92,15.37,2857190,-7.353827606992169
2025-10-20,15.89,16.45,15.43,15.9,1569236,3.4482758620689724
2025-10-21,15.9,16.0999,15.46,15.63,1074249,-1.6981132075471694
2025-10-22,16.09,16.74,14.6912,15.43,1833402,-1.2795905310300726
2025-10-23,15.6,17.29,15.51,17.0,4035211,10.17498379779651
2025-10-24,17.44,18.03,17.22,17.3,2287614,1.764705882352935
2025-10-27,17.46,17.69,16.87,16.92,1115258,-2.196531791907508
2025-10-28,16.72,16.85,16.0,16.45,1460304,-2.77777777777779
2025-10-29,16.76,17.52,16.32,16.87,1148966,2.553191489361706
2025-10-30,16.36,16.91,16.05,16.59,1087280,-1.6597510373444035
2025-10-31,16.97,17.66,16.79,17.485,1797035,5.394816154309812
2025-11-03,17.51,17.63,16.0,16.07,1169219,-8.092650843580207
2025-11-04,15.41,15.87,14.3,14.36,1686103,-10.640945861854389
2025-11-05,14.53,14.78,14.13,14.71,2283142,2.4373259052924867
2025-11-06,18.06,19.59,15.5391,18.71,7243628,27.19238613188306
2025-11-07,17.73,18.32,15.7001,18.0,3337278,-3.794762159273124
2025-11-10,19.4,24.2336,19.22,23.64,5261032,31.333333333333346
2025-11-11,22.255,23.92,21.71,22.09,2819834,-6.556683587140444
2025-11-12,22.25,23.0399,20.75,21.39,2408779,-3.1688546853779975
2025-11-13,20.87,20.985,17.26,17.63,2968979,-17.57830762038336
2025-11-14,16.5,18.5499,16.5,17.23,2269986,-2.2688598979012986
2025-11-17,17.2,18.09,16.25,16.61,1863526,-3.5983749274521193
2025-11-18,16.0,16.5,15.2,15.71,1959621,-5.418422636965669
2025-11-19,15.69,16.2199,14.8,14.92,1613427,-5.028644175684283
2025-11-20,15.94,16.19,13.52,13.56,2435216,-9.115281501340478
2025-11-21,13.422,14.323,12.8,13.96,2345721,2.9498525073746285
2025-11-24,14.37,14.91,14.19,14.78,1889174,5.873925501432664
2025-11-25,14.48,14.845,13.56,14.81,1456996,0.2029769959404737
2025-11-26,14.94,14.9505,14.35,14.57,1144918,-1.620526671168132
2025-11-28,14.7,15.39,14.52,15.39,722730,5.628002745367189
2025-12-01,14.85,15.65,14.3,15.27,1270430,-0.7797270955165803
2025-12-02,15.28,17.115,15.21,16.88,1779613,10.543549443352983
2025-12-03,16.925,18.475,16.43,18.3,2065776,8.412322274881534
2025-12-04,18.1,18.8298,17.8599,18.48,1341968,0.983606557377037
2025-12-05,18.5,18.83,17.7801,17.98,1458277,-2.7056277056277
2025-12-08,18.42,19.57,18.2625,18.97,1456157,5.506117908787522
2025-12-09,18.6,19.43,18.4,19.29,887102,1.6868740115972614
2025-12-10,19.16,19.67,18.8417,19.37,1072238,0.4147226542249971
2025-12-11,19.1,20.88,18.71,20.22,1901251,4.388229220443973
2025-12-12,20.17,20.17,17.27,17.56,1771212,-13.155291790306634
2025-12-15,17.765,18.025,16.35,16.39,1694183,-6.662870159453293
2025-12-16,16.117,17.0,16.03,16.32,1213958,-0.4270896888346587
