date,open,high,low,close,volume,change_pct
2025-07-21,52.69,53.98,51.4,51.5,38140234,0.0
2025-07-22,51.84,51.86,48.85,49.86,31829294,-3.1844660194174756
2025-07-23,50.7,52.16,50.58,51.7,25249626,3.690332932210194
2025-07-24,51.815,53.35,51.33,52.52,37679316,1.5860735009671112
2025-07-25,52.15,54.515,51.62,54.47,34308424,3.712871287128694
2025-07-28,55.81,60.08,55.3,60.05,72578842,10.244171103359644
2025-07-29,59.73,61.48,58.15,58.63,57488295,-2.3646960865944977
2025-07-30,59.56,62.28,59.0201,60.71,53032928,3.5476718403547602
2025-07-31,62.11,62.358,58.46,58.97,46751846,-2.866084664799873
2025-08-01,57.1101,58.05,55.07,56.64,40840313,-3.9511616075970757
2025-08-04,58.155,59.19,57.62,58.23,32743628,2.8072033898304927
2025-08-05,58.81,59.4,56.79,57.26,49970613,-1.6658080027477262
2025-08-06,47.33,48.13,44.83,46.79,115217930,-18.285015717778553
2025-08-07,47.15,48.82,46.57,46.67,43942161,-0.2564650566360238
2025-08-08,46.91,47.37,44.53,44.6,43796793,-4.43539747160917
2025-08-11,45.075,46.48,44.98,45.2,31865885,1.3452914798206317
2025-08-12,45.665,46.6,44.8,46.43,30437803,2.7212389380530944
2025-08-13,46.43,46.64,45.56,46.07,26004354,-0.7753607581305166
2025-08-14,45.35,45.6682,44.67,45.49,22948718,-1.2589537660082417
2025-08-15,45.255,45.57,44.16,45.37,27407548,-0.26379424049242095
2025-08-18,45.28,46.64,45.1807,45.86,22586452,1.0800088163985144
2025-08-19,45.85,45.85,43.17,43.24,30319218,-5.713039686000865
2025-08-20,43.3,43.47,41.31,42.61,31496647,-1.4569842738205385
2025-08-21,42.595,42.955,41.82,42.31,16552115,-0.7040600797934671
2025-08-22,41.65,44.1,41.63,43.88,24089060,3.710706688726062
2025-08-25,43.6,44.93,43.28,44.07,18782031,0.4329990884229584
2025-08-26,44.06,44.39,43.635,44.36,18168178,0.6580440208758809
2025-08-27,44.37,45.01,43.87,44.76,18925090,0.9017132551848439
