date,open,high,low,close,volume,change_pct
2025-07-21,41.728,42.28,40.55,41.61,2174337,0.0
2025-07-22,41.51,41.98,40.89,41.36,1846748,-0.6008171112713345
2025-07-23,41.06,43.65,41.06,43.0,2220752,3.965183752417789
2025-07-24,43.08,43.5,42.03,42.06,1347075,-2.1860465116279038
2025-07-25,42.48,42.605,41.5,42.48,869251,0.998573466476449
2025-07-28,43.08,43.24,41.57,41.89,851340,-1.388888888888884
2025-07-29,42.26,43.19,41.6766,42.93,1202614,2.4826927667701115
2025-07-30,42.07,43.47,42.07,43.39,1334943,1.0715117633356641
2025-07-31,43.73,44.62,42.2425,42.92,1849227,-1.0831988937543224
2025-08-01,42.18,42.225,40.1,41.33,1661854,-3.7045666356011253
2025-08-04,42.11,42.54,41.6,42.51,1540021,2.8550689571739563
2025-08-05,42.53,43.395,41.37,41.93,1422854,-1.364384850623379
2025-08-06,42.72,43.0,41.615,42.1,1553817,0.4054376341521726
2025-08-07,42.0,42.35,40.53,40.69,2207177,-3.349168646080769
2025-08-08,41.41,44.85,41.0,44.34,3516881,8.9702629638732
2025-08-11,45.7,46.35,43.17,43.37,3095190,-2.1876409562471943
2025-08-12,45.21,47.86,45.0,46.83,3339703,7.977864883560071
2025-08-13,47.02,48.46,46.8,47.01,2348490,0.384368994234463
2025-08-14,46.43,47.2637,46.08,46.68,3549345,-0.701978302488826
2025-08-15,43.06,46.13,42.82,44.54,7519512,-4.58440445586975
2025-08-18,44.25,45.87,44.25,45.52,2541739,2.2002694207454043
2025-08-19,46.23,46.5,44.26,44.58,2372946,-2.06502636203868
2025-08-20,44.86,45.0,43.2016,44.4,1526997,-0.40376850605652326
2025-08-21,43.87,45.6,43.56,45.5,1802283,2.4774774774774855
2025-08-22,46.11,47.19,45.63,46.37,2208268,1.9120879120879009
2025-08-25,46.36,46.88,46.01,46.78,1318226,0.8841923657537221
2025-08-26,46.75,48.21,46.75,47.35,2577847,1.2184694313809308
2025-08-27,47.4,49.08,47.4,48.44,2145445,2.3020063357972465
2025-08-28,48.56,51.23,48.56,50.87,2919374,5.016515276630873
2025-08-29,51.15,52.94,50.82,52.47,4228360,3.1452722626302387
2025-09-02,51.01,51.7,50.07,51.07,2023555,-2.6681913474366326
2025-09-03,51.92,53.225,50.65,53.01,1689664,3.798707656158218
2025-09-04,55.67,62.65,55.55,62.5,10189014,17.90228258819091
2025-09-05,65.52,68.67,63.74,68.55,9050047,9.68
2025-09-08,68.65,71.0,67.86,70.495,5869086,2.837345003646985
