date,open,high,low,close,volume,change_pct
2025-07-21,30.79,31.48,29.07,29.75,6743527,0.0
2025-07-22,29.525,30.33,28.75,30.18,2114287,1.4453781512605124
2025-07-23,29.55,29.8,26.49,28.11,4713470,-6.8588469184890695
2025-07-24,28.2,29.05,27.7738,28.66,1528074,1.9565990750622486
2025-07-25,28.525,28.66,27.86,28.64,1378846,-0.06978367062107083
2025-07-28,29.095,29.975,28.53,29.84,1588001,4.189944134078205
2025-07-29,30.0,30.42,28.72,29.05,2155997,-2.6474530831099186
2025-07-30,28.99,30.33,28.46,30.17,2034580,3.855421686746996
2025-07-31,29.815,31.0,29.5139,30.67,1633200,1.6572754391779965
2025-08-01,29.75,29.82,28.15,29.62,2508274,-3.4235409194652733
2025-08-04,29.75,30.38,28.82,29.88,2281550,0.8777852802160702
2025-08-05,30.15,31.74,29.07,30.42,1856887,1.8072289156626509
2025-08-06,30.42,30.86,29.69,30.12,1154650,-0.9861932938856066
2025-08-07,30.475,30.6,29.02,29.03,1008244,-3.6188579017264244
2025-08-08,29.8033,29.8033,28.46,28.83,3075401,-0.6889424733034888
2025-08-11,28.61,29.86,28.51,29.09,1654781,0.9018383628165205
2025-08-12,28.9,29.37,27.06,28.48,2758177,-2.0969405293915444
2025-08-13,28.37,29.1,27.76,28.87,1419427,1.369382022471921
2025-08-14,28.455,29.81,28.185,29.78,1321928,3.1520609629372975
2025-08-15,29.585,29.78,27.35,27.55,2186306,-7.488247145735394
2025-08-18,27.88,28.87,27.55,28.8,1472981,4.537205081669682
2025-08-19,28.4,28.57,27.51,27.72,1158313,-3.750000000000009
2025-08-20,27.46,27.63,26.31,27.09,1927776,-2.2727272727272707
2025-08-21,27.275,27.4,26.53,27.2,1758081,0.40605389442598394
2025-08-22,27.28,29.0,27.28,28.79,1909057,5.845588235294108
2025-08-25,28.51,28.88,28.015,28.04,885787,-2.6050712052796077
2025-08-26,28.3,28.69,27.99,28.4,1456804,1.2838801711840153
2025-08-27,28.245,28.68,27.38,28.36,1843190,-0.14084507042253502
2025-08-28,28.43,28.74,28.0,28.04,1268493,-1.128349788434413
2025-08-29,28.05,28.07,26.89,26.98,1609598,-3.780313837375171
2025-09-02,26.17,26.362,22.8,23.08,5289972,-14.4551519644181
2025-09-03,23.15,23.47,22.05,22.76,4985085,-1.3864818024263315
2025-09-04,22.64,23.045,22.02,22.98,6371154,0.9666080843585112
2025-09-05,22.96,23.21,21.65,22.8,3610121,-0.7832898172323799
2025-09-08,22.7442,23.0475,21.81,22.08,5401654,-3.157894736842115
2025-09-09,20.12,21.155,18.35,20.06,12858957,-9.148550724637683
2025-09-10,22.22,24.65,20.86,24.59,10883592,22.582253240279158
2025-09-11,24.01,24.41,22.72,23.15,4978441,-5.856039040260274
2025-09-12,23.175,24.48,21.85,23.08,4530400,-0.30237580993520696
2025-09-15,23.22,23.49,21.745,22.01,5664900,-4.636048526863068
2025-09-16,22.72,23.0,21.93,22.43,3426605,1.9082235347569254
2025-09-17,22.5,24.96,22.42,24.49,4467001,9.184128399464985
2025-09-18,24.06,24.35,22.775,24.06,3618946,-1.755818701510825
2025-09-19,23.97,24.19,23.09,23.56,4585389,-2.0781379883624274
2025-09-22,23.5,24.02,23.1101,23.58,2638617,0.0848896434634927
2025-09-23,24.025,24.845,23.7101,24.49,3144864,3.8592027141645557
2025-09-24,24.52,24.64,20.1,21.76,7693725,-11.147407104940775
2025-09-25,22.1282,22.1282,20.115,20.15,6502713,-7.39889705882354
2025-09-26,20.2,20.65,19.21,19.75,6001691,-1.985111662531014
2025-09-29,20.0952,20.101,18.0,18.53,8131876,-6.177215189873408
2025-09-30,17.94,18.53,17.25,17.46,6897145,-5.774419859686997
2025-10-01,17.3,20.32,17.28,20.06,7162035,14.89117983963344
2025-10-02,19.76,20.25,18.61,19.56,3292397,-2.4925224327018936
2025-10-03,19.9,20.39,19.09,19.09,5689489,-2.4028629856850614
2025-10-06,19.11,19.39,18.2622,18.57,3253437,-2.723939235201678
2025-10-07,18.78,19.43,18.15,19.29,2871959,3.8772213247172838
2025-10-08,19.4,19.98,19.135,19.93,2444835,3.31778123379991
2025-10-09,19.9,20.1525,19.26,19.65,2046452,-1.4049172102358343
2025-10-10,20.205,20.74,18.34,18.39,4297913,-6.4122137404580055
2025-10-13,18.47,19.07,17.77,18.61,3244479,1.1963023382272953
2025-10-14,18.09,18.625,17.627,17.69,4164732,-4.943578721117669
2025-10-15,13.98,15.845,13.36,14.13,16651258,-20.124364047484455
2025-10-16,14.23,14.54,12.39,13.12,7653222,-7.147912243453658
2025-10-17,12.87,12.92,11.2501,11.81,7600536,-9.984756097560965
2025-10-20,13.7,13.945,12.48,12.79,6792387,8.298052497883134
2025-10-21,12.85,12.88,12.0,12.4,3295973,-3.0492572322126543
2025-10-22,12.16,12.38,11.43,11.82,4599126,-4.677419354838708
2025-10-23,12.19,14.77,11.8,14.02,10002737,18.612521150592222
2025-10-24,12.73,13.81,12.23,13.36,8866630,-4.707560627674756
2025-10-27,13.93,14.03,12.68,12.85,4394857,-3.8173652694610816
2025-10-28,12.795,13.38,12.2,13.02,4632281,1.322957198443575
2025-10-29,13.065,13.35,13.01,13.26,3317626,1.8433179723502224
2025-10-30,13.155,13.37,12.83,12.83,3987300,-3.242835595776772
2025-10-31,12.815,13.16,10.38,10.46,10944938,-18.47233047544816
2025-11-03,9.904,9.98,6.79,7.27,16694389,-30.497131931166354
2025-11-04,6.62,6.7,5.58,5.9,13902510,-18.844566712517185
2025-11-05,5.84,6.07,5.39,5.68,7594322,-3.7288135593220417
2025-11-06,5.65,5.7,4.79,4.84,6603305,-14.7887323943662
2025-11-07,4.79,5.54,4.58,5.34,8062203,10.330578512396693
2025-11-10,6.93,7.18,5.85,6.0,19468196,12.35955056179776
2025-11-11,6.03,7.42,5.95,7.23,15656693,20.500000000000007
2025-11-12,7.0,7.02,5.855,6.4,9598581,-11.479944674965425
2025-11-13,6.3,6.4399,5.845,5.89,4697053,-7.968750000000013
2025-11-14,5.41,5.5,4.04,4.19,14042258,-28.86247877758913
2025-11-17,4.2,4.37,3.72,4.37,12514412,4.2959427207637235
2025-11-18,4.31,4.78,4.2404,4.6,7360362,5.263157894736836
2025-11-19,4.55,4.66,4.2,4.62,4455665,0.43478260869567187
2025-11-20,4.58,4.86,4.25,4.26,5616691,-7.792207792207795
2025-11-21,4.3,4.55,4.15,4.47,5627273,4.929577464788726
2025-11-24,4.38,4.89,4.355,4.77,5803461,6.711409395973145
2025-11-25,4.625,4.75,4.34,4.46,4804256,-6.498951781970641
2025-11-26,4.47,4.57,4.04,4.12,4514861,-7.623318385650224
2025-11-28,4.26,4.505,4.2,4.37,2426447,6.067961165048552
2025-12-01,4.23,4.8,4.08,4.79,6267861,9.610983981693355
