date,open,high,low,close,volume,change_pct
2025-07-14,11.1,11.465,10.63,11.45,43897426,0.0
2025-07-15,11.71,11.73,11.14,11.3,29778537,-1.3100436681222627
2025-07-16,11.53,11.8775,11.04,11.78,43604414,4.247787610619458
2025-07-17,11.99,12.78,11.96,12.64,52110899,7.300509337860794
2025-07-18,12.97,13.1099,12.35,12.81,41741890,1.3449367088607556
2025-07-21,13.0,13.555,11.68,11.7,64418166,-8.665105386416872
2025-07-22,11.725,11.775,11.0902,11.34,29908625,-3.076923076923077
2025-07-23,11.505,12.23,11.415,12.2,36590070,7.583774250440922
2025-07-24,12.25,12.45,11.8,11.96,47294970,-1.967213114754085
2025-07-25,11.995,12.005,11.51,11.71,37712422,-2.0903010033444858
2025-07-28,11.97,12.24,11.11,11.24,27830452,-4.013663535439804
2025-07-29,11.19,11.29,10.63,10.69,27216005,-4.893238434163704
2025-07-30,10.7,10.82,10.25,10.39,19763657,-2.8063610851262744
2025-07-31,10.67,10.96,10.32,10.33,25416780,-0.5774783445620879
2025-08-01,9.99,10.38,9.71,10.11,25664641,-2.1297192642788065
2025-08-04,10.325,10.82,10.185,10.64,24631084,5.242334322453024
2025-08-05,10.92,11.29,10.745,11.17,30589679,4.981203007518786
2025-08-06,11.17,11.2,10.6,10.8,26406816,-3.3124440465532645
2025-08-07,10.94,11.06,10.45,10.72,53233753,-0.7407407407407418
2025-08-08,13.16,14.2467,12.75,13.55,206653464,26.399253731343286
2025-08-11,13.64,16.03,13.62,15.9,122148423,17.343173431734304
2025-08-12,15.85,16.49,15.57,15.98,71497262,0.5031446540880502
2025-08-13,16.31,17.08,15.48,16.5,57752989,3.254067584480591
2025-08-14,16.06,16.73,15.9,16.54,46720188,0.24242424242424399
2025-08-15,16.535,16.59,15.4,15.59,41057184,-5.743651753325263
2025-08-18,15.38,15.49,14.28,14.82,42685905,-4.939063502245022
2025-08-19,14.75,14.825,13.19,13.3,45479617,-10.256410256410254
2025-08-20,13.14,13.24,12.03,12.44,42533745,-6.466165413533842
2025-08-21,12.58,12.58,12.01,12.23,34168710,-1.688102893890664
2025-08-22,12.16,12.78,11.81,12.56,51011070,2.698282910874905
2025-08-25,12.454,12.65,12.045,12.11,52018814,-3.5828025477707137
2025-08-26,12.19,12.69,11.92,12.02,69505755,-0.7431874483897594
2025-08-27,12.1,12.33,11.86,11.91,51890472,-0.9151414309484185
2025-08-28,12.07,12.76,12.07,12.53,64222130,5.20570948782535
2025-08-29,12.7,13.03,12.19,13.02,81674890,3.9106145251396773
2025-09-02,12.59,13.52,12.14,13.42,81091904,3.0721966205837115
2025-09-03,13.615,13.7,12.65,12.74,65324493,-5.067064083457529
2025-09-04,12.72,13.44,12.66,13.29,86769650,4.317111459968603
2025-09-05,13.54,14.41,12.81,14.26,95630506,7.298720842738904
2025-09-08,14.48,15.53,14.02,15.29,112646346,7.223001402524543
2025-09-09,15.025,15.26,14.64,14.85,67708258,-2.877697841726612
2025-09-10,15.09,15.19,13.91,14.05,74698799,-5.387205387205385
2025-09-11,14.045,14.89,13.92,14.58,61722250,3.7722419928825524
2025-09-12,14.39,14.675,14.11,14.12,46682346,-3.155006858710563
2025-09-15,14.36,15.21,14.04,14.19,74520577,0.4957507082153034
2025-09-16,14.34,14.72,13.74,14.69,66617760,3.5236081747709758
2025-09-17,14.685,15.51,14.305,15.12,83347336,2.9271613342409797
2025-09-18,15.6,16.25,14.77,15.63,84564865,3.3730158730158832
2025-09-19,15.66,16.62,15.61,16.25,91711901,3.9667306461932172
2025-09-22,16.0,17.65,15.545,17.31,90195691,6.52307692307692
2025-09-23,17.775,19.33,17.22,18.05,120299597,4.274985557481226
2025-09-24,18.025,18.3,17.4,17.78,63478402,-1.4958448753462528
2025-09-25,16.84,17.2956,15.82,16.35,71742235,-8.042744656917888
2025-09-26,16.455,16.8678,15.68,15.94,44432829,-2.507645259938851
2025-09-29,16.113,16.27,15.51,15.68,49711903,-1.6311166875784155
2025-09-30,15.575,16.135,15.3,16.08,57885905,2.5510204081632626
2025-10-01,16.07,16.49,15.7,16.15,60330690,0.43532338308458485
2025-10-02,16.55,18.39,16.45,17.84,86701689,10.464396284829736
2025-10-03,18.09,19.1,17.29,17.85,74999229,0.056053811659206865
2025-10-06,18.18,18.9,17.835,18.25,51638056,2.2408963585434094
2025-10-07,18.62,18.795,17.3,18.2,47525705,-0.2739726027397249
2025-10-08,18.42,20.075,18.29,18.88,100252852,3.736263736263745
