date,open,high,low,close,volume,change_pct
2025-07-17,60.81,62.35,59.6,60.65,10392963,0.0
2025-07-18,61.75,62.98,59.98,60.98,8361288,0.5441055234954639
2025-07-21,61.86,62.47,57.84,58.01,10079088,-4.870449327648407
2025-07-22,58.49,61.5,57.6,61.08,8108267,5.2921910015514495
2025-07-23,61.125,64.89,60.05,64.86,11427106,6.188605108055012
2025-07-24,64.35,65.3799,62.88,63.34,7540104,-2.3435090965155614
2025-07-25,63.39,65.28,62.2,64.49,6667057,1.8155983580675494
2025-07-28,65.08,65.82,61.62,62.0,7613255,-3.8610637308109763
2025-07-29,61.05,61.2899,57.86,58.29,9181050,-5.983870967741933
2025-07-30,58.72,59.46,56.77,57.81,7228247,-0.8234688625836317
2025-07-31,57.245,59.65,56.295,56.59,7987646,-2.110361529147209
2025-08-01,55.18,56.0399,53.39,54.89,6577931,-3.004064322318434
2025-08-04,54.945,57.67,54.5,57.52,6179876,4.791400983785765
2025-08-05,57.38,58.915,56.6801,57.74,4884682,0.38247566063978056
2025-08-06,57.62,57.64,54.88,55.53,5578416,-3.827502597852439
2025-08-07,56.9,58.93,56.81,58.74,8344738,5.780659103187458
2025-08-08,64.2,65.73,57.88,60.87,26148129,3.626149131767109
2025-08-11,60.01,64.85,59.82,60.82,12273909,-0.08214227041234423
2025-08-12,61.35,66.4,61.26,66.34,15619115,9.07596185465307
2025-08-13,67.08,71.85,67.06,69.63,19400799,4.959300572806735
2025-08-14,66.615,74.4,66.56,71.59,15219506,2.814878644262553
2025-08-15,71.95,75.73,70.19,73.78,14685216,3.059086464590033
2025-08-18,72.36,78.99,70.49,78.45,14768224,6.329628625643813
2025-08-19,78.2,78.4,72.85,73.08,12848007,-6.845124282982795
2025-08-20,70.77,73.8,67.02,73.28,13854404,0.2736726874657869
2025-08-21,72.5,78.59,71.9,76.71,15635189,4.680676855895194
2025-08-22,76.45,85.2799,75.67,80.52,18678796,4.966757919436837
2025-08-25,81.105,81.7299,75.8,75.9,10037647,-5.737704918032771
2025-08-26,75.9,77.15,74.51,76.3,7109831,0.5270092226613787
2025-08-27,75.725,75.9999,72.18,73.23,6800092,-4.023591087811262
2025-08-28,73.3,75.155,73.06,73.66,5337283,0.5871910419227078
2025-08-29,73.2,76.39,72.23,75.86,7665356,2.9866956285636848
2025-09-02,73.64,78.39,71.4,78.34,9424905,3.2691800685473282
2025-09-03,79.06,80.75,75.301,76.285,7009001,-2.623181005871844
2025-09-04,76.49,78.52,73.44,78.12,6250112,2.4054532345808566
2025-09-05,79.56,80.8,75.62,79.62,9002145,1.920122887864828
2025-09-08,80.85,83.27,79.53,80.22,9201658,0.7535795026375247
2025-09-09,80.6,81.3891,77.43,81.01,6525007,0.9847918224881624
2025-09-10,81.745,82.58,77.17,78.16,8597344,-3.5180841871374047
2025-09-11,79.42,91.06,79.4169,88.78,21218693,13.587512794268175
2025-09-12,89.26,90.34,85.92,86.38,6745646,-2.7033115566569066
2025-09-15,87.74,88.1939,84.6,85.13,5207009,-1.4470942347765692
2025-09-16,85.11,87.41,82.3,87.04,7150196,2.2436273933983397
2025-09-17,86.65,88.08,83.01,86.45,6821077,-0.6778492647058876
2025-09-18,88.0,88.71,86.25,87.07,5107359,0.7171775592828222
2025-09-19,88.43,90.97,86.5,88.24,17676495,1.3437464109337327
2025-09-22,92.51,97.787,84.2901,85.87,21034435,-2.685856754306426
2025-09-23,86.73,90.0794,84.02,84.13,8795237,-2.0263188540817656
2025-09-24,84.5,85.31,78.78,79.23,9730152,-5.8243195055271535
2025-09-25,76.925,78.4638,74.59,77.33,7891575,-2.3980815347721895
2025-09-26,78.705,79.877,77.57,78.48,5432249,1.4871330660804372
2025-09-29,80.43,82.1,78.5,78.57,5726409,0.11467889908256534
2025-09-30,78.255,80.89,77.08,80.71,4426369,2.723685885197913
2025-10-01,80.96,88.14,80.8594,87.99,9193095,9.019947961838692
2025-10-02,89.075,90.63,87.6685,89.3,9021431,1.4888055460847927
2025-10-03,89.65,94.0,88.88,91.66,9313419,2.642777155655085
2025-10-06,91.34,93.49,89.7469,93.08,6026694,1.54920357844206
2025-10-07,93.53,95.88,89.2,93.01,7380955,-0.07520412548345234
2025-10-08,92.96,103.42,91.87,103.25,13393705,11.009568863563057
2025-10-09,102.17,104.32,98.9,99.28,7306315,-3.8450363196125936
2025-10-10,100.9,101.56,93.9,96.39,9768456,-2.910958904109595
2025-10-13,93.36,97.305,91.9,94.47,7183390,-1.991907874260812
2025-10-14,92.11,93.9056,87.3,89.87,6984253,-4.8692706679369095
2025-10-15,92.79,94.6499,88.81,91.91,5012558,2.2699454767998173
2025-10-16,94.465,97.25,90.03,91.02,6656893,-0.9683385921009702
2025-10-17,89.18,90.6,85.135,87.78,5837410,-3.5596572181938013
2025-10-20,91.02,96.29,90.83,92.45,7893741,5.320118478013214
2025-10-21,91.29,93.46,88.95,89.1,4255126,-3.6235803136830835
2025-10-22,90.6,91.09,81.9,85.27,8141416,-4.298540965207631
2025-10-23,86.61,88.83,84.0701,87.035,4967005,2.069895625659668
2025-10-24,90.26,91.51,88.73,89.23,4621201,2.5219739185385226
2025-10-27,91.91,93.38,89.55,91.58,7674027,2.633643393477514
2025-10-28,91.93,92.0,86.54,86.59,6521203,-5.448787944966149
2025-10-29,88.22,90.4963,87.03,88.84,5277463,2.598452477191371
2025-10-30,87.85,91.83,85.8,86.27,5778918,-2.892841062584428
2025-10-31,87.92,90.19,86.82,89.85,4706710,4.149762373942267
2025-11-03,90.0,90.53,86.31,88.71,5937921,-1.2687813021702854
2025-11-04,85.05,88.88,83.9,84.49,9041188,-4.757073610641416
2025-11-05,82.23,83.5,78.4003,82.26,9000888,-2.6393656053970815
2025-11-06,80.285,80.4,71.93,72.09,11767992,-12.363238512035013
2025-11-07,71.35,72.02,67.19,71.56,8979048,-0.7351921209599155
2025-11-10,75.84,75.85,71.63,71.78,6132601,0.30743432084963107
2025-11-11,71.6,74.02,71.0147,71.56,4446850,-0.30649205906937427
2025-11-12,71.4,72.07,69.35,71.1,4762281,-0.6428172163219781
2025-11-13,69.185,69.5,66.28,67.94,6841465,-4.444444444444439
2025-11-14,65.255,69.93,64.6701,68.48,6298444,0.7948189579040532
2025-11-17,67.93,69.58,65.53,66.39,4988306,-3.051985981308414
2025-11-18,65.805,68.33,64.2,66.77,4532088,0.5723753577346002
2025-11-19,66.2,69.65,65.6105,69.09,4774312,3.4746143477609737
2025-11-20,71.33,72.43,64.92,65.69,7196566,-4.921117383123475
