date,open,high,low,close,volume,change_pct
2025-07-21,327.6,329.61,308.46,310.14,1564066,0.0
2025-07-22,310.3,316.27,300.0,313.58,1801249,1.1091765009350718
2025-07-23,343.0,350.525,331.02,339.24,2492278,8.182919829070734
2025-07-24,339.26,344.74,336.0,339.16,1159215,-0.023582124749432776
2025-07-25,339.75,352.77,338.525,346.62,1642098,2.19955183394267
2025-07-28,350.98,359.235,348.0,358.77,1247707,3.5052795568634165
2025-07-29,359.89,365.3999,354.73,361.21,731139,0.680101457758453
2025-07-30,362.7,376.16,360.45,373.36,1107983,3.363694249882343
2025-07-31,375.0,380.53,371.1243,377.57,893173,1.127598028712229
2025-08-01,363.64,384.915,358.0,378.01,1549017,0.11653468231056507
2025-08-04,382.0,394.07,379.2589,390.68,1241322,3.351763180868228
2025-08-05,390.71,392.35,377.04,384.27,1256574,-1.6407289853588636
2025-08-06,387.01,387.625,372.52,378.67,1210450,-1.457308663179524
2025-08-07,374.03,383.7199,368.25,375.58,1356917,-0.81601394353924
2025-08-08,372.0,377.143,368.26,374.68,619882,-0.23962937323606104
2025-08-11,379.31,380.0,364.77,369.95,900712,-1.2624105903704552
2025-08-12,370.13,381.5,369.56,380.61,782635,2.8814704689823056
2025-08-13,383.83,387.9999,365.08,380.25,828871,-0.09458500827619343
2025-08-14,381.09,386.17,378.6,380.6,495965,0.09204470742933957
2025-08-15,381.33,383.475,371.05,377.82,768556,-0.7304256437204448
2025-08-18,377.82,381.84,373.58,376.89,876316,-0.24614895982213447
2025-08-19,371.98,372.445,361.4255,368.16,811290,-2.316325718379353
2025-08-20,364.11,365.72,351.0001,360.1,964395,-2.1892655367231617
2025-08-21,360.0,367.97,357.47,357.86,533750,-0.6220494307136892
2025-08-22,357.86,364.04,348.86,356.11,808050,-0.489018051752077
2025-08-25,358.5,361.67,353.04,355.53,433093,-0.16287102299852307
2025-08-26,374.91,380.13,367.01,378.79,2383605,6.5423452310634955
2025-08-27,379.47,382.8,375.0,381.5,7201450,0.7154359935584331
2025-08-28,377.22,394.25,375.01,388.22,1089993,1.7614678899082747
2025-08-29,385.58,386.145,371.15,378.92,1201171,-2.395548915563339
2025-09-02,368.85,376.4899,363.07,375.15,807067,-0.9949329673809904
2025-09-03,376.48,385.53,373.64,377.76,527249,0.6957217113154668
2025-09-04,382.75,387.35,380.03,380.44,524190,0.7094451503600219
2025-09-05,385.41,389.67,366.4,389.19,758354,2.29996845757543
2025-09-08,391.6,392.99,382.87,383.49,916161,-1.4645802821244058
2025-09-09,392.22,398.7799,387.0,389.43,966995,1.5489321755456364
2025-09-10,405.39,410.0,397.245,402.65,1053308,3.394705081786187
2025-09-11,407.85,409.2,398.01,400.92,606196,-0.42965354526262045
2025-09-12,397.91,405.955,397.91,402.53,435328,0.4015763743390188
2025-09-15,401.26,411.36,400.05,405.45,683645,0.7254117705512764
2025-09-16,404.49,411.44,401.27,409.6,677201,1.023554075718347
2025-09-17,410.0,413.0,401.65,408.09,727341,-0.3686523437500089
2025-09-18,410.71,422.77,409.0,415.25,702281,1.7545149354309064
2025-09-19,415.1,427.07,415.0,423.56,1462654,2.0012040939193287
2025-09-22,424.0,430.71,416.17,429.72,856534,1.4543394088204709
2025-09-23,424.66,428.2299,417.0,423.13,691340,-1.5335567346179024
2025-09-24,423.0,424.5,415.75,416.94,480361,-1.462907380710421
2025-09-25,409.89,413.6,401.0,410.72,636261,-1.4918213651844314
2025-09-26,414.37,415.99,409.0,411.23,472192,0.12417218543046005
2025-09-29,414.0,424.98,404.57,420.7,702018,2.30284755489627
2025-09-30,420.87,428.9399,418.7463,425.38,653545,1.1124316615165109
2025-10-01,423.33,437.06,421.14,426.99,780825,0.3784851191875438
2025-10-02,429.9,434.98,421.7076,434.07,661591,1.6581184571067276
2025-10-03,437.93,451.28,431.1399,438.5,916180,1.0205727186859193
2025-10-06,448.62,448.62,424.815,430.43,722518,-1.8403648802736594
2025-10-07,429.0,435.0,425.86,431.04,582571,0.1417187463699232
2025-10-08,434.89,446.385,432.28,445.84,575398,3.4335560504825446
2025-10-09,446.22,449.7899,437.0,444.5,503323,-0.3005562533644257
2025-10-10,441.19,446.0,410.12,412.83,1020135,-7.124859392575933
2025-10-13,423.605,440.95,423.605,435.83,709946,5.571300535329304
2025-10-14,425.0,433.6599,417.13,417.75,991587,-4.148406488768552
2025-10-15,422.24,430.0,407.455,415.81,960385,-0.4643925792938375
2025-10-16,416.5,421.7899,411.1101,418.03,710561,0.5338976936581474
2025-10-17,408.13,416.0213,400.755,406.45,895415,-2.770136114632915
2025-10-20,412.5,417.09,402.03,406.84,583776,0.0959527617172995
2025-10-21,405.48,407.1482,379.34,382.09,1125511,-6.083472618228292
2025-10-22,379.94,381.53,352.64,380.69,2299529,-0.3664058206181764
2025-10-23,386.29,391.7,382.0001,383.82,815133,0.8221912842470314
2025-10-24,396.33,408.4,390.21,407.81,951341,6.250325673492796
2025-10-27,415.5,416.4702,400.72,407.12,502015,-0.16919643951840424
2025-10-28,410.3,410.77,376.59,394.0,1404864,-3.2226370603261945
2025-10-29,394.0,410.0,390.0,398.55,658481,1.154822335025374
2025-10-30,390.0,400.96,388.91,391.82,544020,-1.6886212520386468
2025-10-31,404.03,411.22,392.73,399.78,887193,2.0315450972385296
2025-11-03,401.18,418.66,401.0,413.54,830977,3.441893041172661
2025-11-04,396.59,410.02,390.04,395.25,795359,-4.422788605697159
2025-11-05,397.7,410.91,393.2139,403.49,815163,2.084756483238448
2025-11-06,390.45,404.0,379.18,385.93,1026223,-4.35202855089345
2025-11-07,373.12,388.68,362.51,386.57,842990,0.1658331821832837
2025-11-10,395.0,398.44,379.6901,393.63,760179,1.8263186486276783
2025-11-11,384.17,393.0,370.5001,374.55,716418,-4.847191525036198
2025-11-12,375.12,378.8173,360.26,367.54,1116935,-1.8715792284074162
2025-11-13,370.08,370.65,349.11,355.04,1451069,-3.4009903683952736
2025-11-14,344.5,368.74,344.265,360.92,1218352,1.6561514195583493
2025-11-17,360.25,379.0,358.01,368.65,958631,2.14174886401417
2025-11-18,362.35,383.0,361.31,374.8,977504,1.6682490166824993
2025-11-19,377.7,395.4399,377.0,390.51,818466,4.1915688367129
2025-11-20,404.99,407.6699,368.66,369.1,1293957,-5.482574069806145
2025-11-21,368.0,372.4,353.1489,365.96,845268,-0.8507179626117689
2025-11-24,368.29,381.42,364.3801,380.49,552176,3.9703792764236523
2025-11-25,374.38,379.8,360.59,378.99,613257,-0.3942284948356023
2025-11-26,385.68,393.12,381.25,392.42,663835,3.5436291195018343
2025-11-28,393.01,397.0,388.67,394.27,279716,0.4714336680087472
2025-12-01,388.0,390.27,378.08,379.99,916820,-3.6218834808633638
2025-12-02,380.2,385.89,367.04,367.96,848994,-3.165872786125956
2025-12-03,366.66,374.015,359.515,365.46,1048876,-0.6794216762691652
2025-12-04,364.33,377.08,361.15,367.93,739017,0.6758605592951383
2025-12-05,366.35,368.99,347.175,354.24,1361598,-3.720816459652654
2025-12-08,353.04,355.53,345.67,353.38,706284,-0.24277326106594277
2025-12-09,353.62,361.38,348.005,348.38,552606,-1.4149074650517846
2025-12-10,346.05,361.0,343.4,358.5,1260059,2.9048739881738284
2025-12-11,356.6,369.36,349.515,368.82,672376,2.8786610878660968
2025-12-12,370.315,371.17,350.0,356.36,1056468,-3.378341738517432
2025-12-15,360.005,363.45,352.96,357.94,1138380,0.4433718711415402
2025-12-16,357.0,380.9,354.735,376.77,1209778,5.260658210873337
2025-12-17,377.19,381.86,350.47586,351.96,1341590,-6.584919181463489
2025-12-18,374.91,385.88,363.08,371.72,1445710,5.614274349357906
2025-12-19,373.03,381.67,368.69,372.25,1774041,0.1425804368879735
2025-12-22,377.32,384.99,374.0,378.85,599884,1.7730020147750158
