date,open,high,low,close,volume,change_pct
2025-07-14,10.26,10.295,10.1,10.12,2354345,0.0
2025-07-15,10.17,10.195,10.005,10.03,2745130,-0.8893280632411016
2025-07-16,10.06,10.15,9.98,10.14,2759150,1.0967098703888567
2025-07-17,10.09,10.205,9.99,10.0,2560207,-1.3806706114398493
2025-07-18,10.07,10.09,9.76,9.87,3857906,-1.3000000000000123
2025-07-21,9.94,10.0,9.81,9.92,1960903,0.5065856129685908
2025-07-22,9.94,10.19,9.91,10.18,1997497,2.620967741935476
2025-07-23,10.25,10.435,10.25,10.42,1613928,2.357563850687616
2025-07-24,10.36,10.51,10.31,10.4,1365781,-0.19193857965450478
2025-07-25,10.39,10.46,10.32,10.45,1021045,0.48076923076922906
2025-07-28,10.44,10.52,10.33,10.33,1791618,-1.148325358851665
2025-07-29,10.25,10.26,9.95,10.09,2726758,-2.3233301064859657
2025-07-30,10.1,10.17,9.9,9.94,3269897,-1.4866204162537255
2025-07-31,9.92,9.94,9.73,9.75,3323052,-1.9114688128772594
2025-08-01,9.77,9.86,9.67,9.78,2463850,0.3076923076922977
2025-08-04,9.8,10.03,9.8,9.98,2095634,2.0449897750511425
2025-08-05,9.98,10.05,9.9,10.03,1933744,0.5010020040079999
2025-08-06,10.0,10.03,9.8,9.81,2210838,-2.193419740777658
2025-08-07,9.8598,9.96,9.845,9.92,1234652,1.1213047910295648
2025-08-08,9.91,10.005,9.85,9.85,1640246,-0.7056451612903247
2025-08-11,9.86,9.8961,9.745,9.76,1494337,-0.9137055837563413
2025-08-12,9.8572,10.045,9.73,9.99,2368233,2.3565573770491843
2025-08-13,10.04,10.2575,10.02,10.24,2220353,2.5025025025025016
2025-08-14,10.15,10.19,10.075,10.1,1360637,-1.3671875
2025-08-15,10.12,10.18,10.08,10.09,987263,-0.0990099009900991
2025-08-18,10.06,10.115,10.0,10.02,1339160,-0.6937561942517378
2025-08-19,10.0486,10.18,10.03,10.07,903514,0.4990019960079861
2025-08-20,10.1347,10.155,10.02,10.13,1185166,0.5958291956305928
2025-08-21,9.67,9.73,9.495,9.57,6706258,-5.528134254689043
2025-08-22,9.61,10.0,9.6,9.82,3675513,2.612330198537105
2025-08-25,9.8,9.8891,9.78,9.81,2582742,-0.10183299389001643
2025-08-26,9.815,9.898,9.79,9.86,1609462,0.5096839959225274
2025-08-27,9.85,9.95,9.815,9.82,1208129,-0.40567951318457585
2025-08-28,9.85,9.89,9.77,9.88,1049378,0.6109979633401208
2025-08-29,9.89,10.01,9.86,10.0,1069618,1.2145748987854255
2025-09-02,9.9,9.9588,9.79,9.89,1639556,-1.0999999999999899
2025-09-03,9.865,10.055,9.82,10.05,1059967,1.6177957532861553
2025-09-04,10.1,10.42,10.06,10.4,3057917,3.482587064676612
2025-09-05,10.498,10.582,10.26,10.36,2077302,-0.38461538461539435
2025-09-08,10.36,10.43,10.24,10.28,1702690,-0.7722007722007707
2025-09-09,10.25,10.345,10.23,10.25,1254340,-0.29182879377431803
2025-09-10,10.265,10.31,10.0935,10.16,1455557,-0.8780487804878057
2025-09-11,10.18,10.23,10.05,10.05,1259105,-1.0826771653543288
2025-09-12,10.0395,10.09,9.97,10.05,1226351,0.0
2025-09-15,10.045,10.13,9.975,10.1,1258425,0.4975124378109319
2025-09-16,10.13,10.14,9.96,9.98,1617816,-1.188118811881178
2025-09-17,9.97,10.19,9.964,10.03,1267272,0.5010020040079999
2025-09-18,10.05,10.0688,9.88,9.93,1352323,-0.9970089730807596
2025-09-19,9.94,10.01,9.84,9.9,3459473,-0.30211480362537513
2025-09-22,9.875,9.9,9.685,9.71,2289887,-1.9191919191919093
2025-09-23,9.765,9.895,9.75,9.81,2243998,1.029866117404743
2025-09-24,9.8,9.86,9.73,9.83,1470435,0.20387359836899765
2025-09-25,9.8,9.84,9.74,9.81,1382075,-0.20345879959308144
2025-09-26,9.81,9.89,9.76,9.84,1033447,0.3058103975535076
2025-09-29,9.86,9.86,9.71,9.76,2490956,-0.8130081300813052
2025-09-30,9.77,9.89,9.65,9.87,2440624,1.127049180327866
2025-10-01,9.88,10.22,9.88,10.15,3076630,2.8368794326241176
2025-10-02,10.15,10.2,9.96,10.08,3070747,-0.6896551724137945
2025-10-03,9.74,9.85,9.72,9.81,2462687,-2.678571428571419
2025-10-06,9.75,9.78,9.6,9.66,1740137,-1.5290519877675823
2025-10-07,9.65,9.715,9.62,9.65,1673214,-0.10351966873706209
2025-10-08,9.67,9.94,9.67,9.94,1456669,3.005181347150243
2025-10-09,9.92,9.975,9.74,9.76,1491029,-1.810865191146882
2025-10-10,9.84,9.91,9.67,9.69,1394581,-0.7172131147541005
2025-10-13,9.7,9.8107,9.65,9.78,1253533,0.9287925696594312
2025-10-14,9.7,9.915,9.69,9.87,1860659,0.9202453987730008
2025-10-15,9.8978,9.91,9.8,9.8,1262127,-0.7092198581560183
2025-10-16,9.8,9.85,9.5,9.52,1980306,-2.857142857142869
2025-10-17,9.51,9.635,9.49,9.62,1095747,1.0504201680672232
2025-10-20,9.6927,9.73,9.565,9.71,1014008,0.935550935550955
2025-10-21,9.73,9.75,9.58,9.62,1310726,-0.9268795056642798
2025-10-22,9.68,9.79,9.67,9.78,1186667,1.6632016632016633
2025-10-23,9.76,9.83,9.695,9.77,992394,-0.10224948875255935
2025-10-24,9.811,9.91,9.8,9.82,1015414,0.5117707267144445
2025-10-27,9.8,9.86,9.7,9.82,1463527,0.0
2025-10-28,9.69,9.89,9.55,9.82,2407081,0.0
2025-10-29,9.71,9.95,9.59,9.64,2836098,-1.8329938900203624
2025-10-30,9.61,9.68,9.3,9.42,3191309,-2.2821576763485507
2025-10-31,9.4737,9.73,9.36,9.72,1958242,3.1847133757961776
2025-11-03,9.73,9.74,9.525,9.64,2009062,-0.8230452674897082
2025-11-04,9.6,9.77,9.575,9.72,1380014,0.8298755186721962
2025-11-05,9.685,9.76,9.65,9.67,1410676,-0.5144032921810759
2025-11-06,9.67,9.68,9.52,9.54,1039925,-1.3443640124095269
2025-11-07,9.54,9.705,9.53,9.68,1296739,1.4675052410901612
2025-11-10,9.7,9.705,9.615,9.64,996657,-0.4132231404958553
2025-11-11,9.68,9.785,9.68,9.74,1772586,1.0373443983402453
2025-11-12,9.79,9.81,9.7,9.72,1071758,-0.2053388090349051
2025-11-13,9.69,9.75,9.62,9.66,1207167,-0.6172839506172867
2025-11-14,9.66,9.7,9.59,9.68,1167889,0.20703933747412417
2025-11-17,9.73,9.775,9.5601,9.58,1165244,-1.0330578512396604
2025-11-18,9.56,9.6,9.43,9.54,1157865,-0.41753653444677186
