date,open,high,low,close,volume,change_pct
2025-07-21,8.094,8.094,7.7,8.0,13672162,0.0
2025-07-22,7.88,8.19,7.75,8.14,10575701,1.750000000000007
2025-07-23,8.1,8.515,8.08,8.5,14148169,4.422604422604426
2025-07-24,8.3713,8.78,8.31,8.77,14930878,3.1764705882352917
2025-07-25,8.78,9.09,8.46,8.91,13840878,1.5963511972634015
2025-07-28,8.84,9.02,8.45,8.99,12422766,0.8978675645342271
2025-07-29,8.8145,9.03,8.63,8.75,11440120,-2.6696329254727535
2025-07-30,8.48,8.95,8.48,8.68,10956821,-0.8000000000000007
2025-07-31,8.6014,8.81,8.5235,8.67,11081878,-0.11520737327188613
2025-08-01,8.07,8.7688,7.8,8.67,13420986,0.0
2025-08-04,8.6683,9.24,8.62,9.21,11438630,6.228373702422152
2025-08-05,9.37,9.58,9.05,9.5,15474956,3.148751357220414
2025-08-06,9.5,9.83,9.37,9.76,13273892,2.7368421052631486
2025-08-07,9.721,9.91,9.58,9.85,12107295,0.9221311475409832
2025-08-08,9.8094,10.36,9.77,10.18,15536093,3.350253807106607
2025-08-11,10.11,10.1969,9.48,9.69,13450351,-4.813359528487227
2025-08-12,9.965,10.35,9.845,10.33,13691084,6.604747162022706
2025-08-13,10.78,10.88,10.18,10.22,16187683,-1.0648596321393922
2025-08-14,10.25,10.59,10.11,10.26,8325323,0.3913894324853118
2025-08-15,10.215,10.74,9.93,10.73,12922563,4.580896686159841
2025-08-18,10.65,10.78,10.37,10.6,8093872,-1.2115563839701804
2025-08-19,10.46,10.5,9.41,9.66,15611002,-8.867924528301884
2025-08-20,9.455,9.6,9.23,9.39,10821674,-2.795031055900621
2025-08-21,9.355,9.67,9.3265,9.62,8031928,2.449414270500516
2025-08-22,9.9655,10.65,9.825,10.53,16619753,9.459459459459453
2025-08-25,10.45,10.79,10.32,10.4,16759564,-1.2345679012345623
2025-08-26,10.485,11.03,10.48,10.7,15311105,2.8846153846153744
2025-08-27,10.8699,10.8699,10.34,10.37,8779801,-3.084112149532714
2025-08-28,10.463,10.58,10.365,10.48,8739086,1.0607521697203692
2025-08-29,10.945,11.29,10.46,10.69,12833405,2.0038167938931206
2025-09-02,10.445,11.03,10.12,10.98,11729494,2.7128157156220745
2025-09-03,11.38,11.61,11.03,11.51,13825117,4.826958105646617
2025-09-04,11.66,11.7958,11.05,11.28,12435412,-1.9982623805386623
2025-09-05,11.46,11.51,10.78,11.17,11216622,-0.9751773049645363
2025-09-08,11.23,11.885,11.04,11.82,17183291,5.819158460161145
2025-09-09,11.75,12.31,11.64,12.09,13832579,2.284263959390853
2025-09-10,12.09,12.95,11.97,12.6,15555069,4.218362282878418
2025-09-11,12.629,12.8674,12.025,12.05,11766344,-4.36507936507936
2025-09-12,12.15,12.18,11.68,11.87,9095031,-1.4937759336099754
2025-09-15,11.885,13.25,11.47,13.17,22382058,10.951979780960407
2025-09-16,13.08,13.1517,12.13,12.34,17612176,-6.3022019741837525
2025-09-17,12.25,12.49,12.07,12.24,14001956,-0.8103727714748765
2025-09-18,11.98,12.31,11.26,12.26,30007599,0.16339869281045694
2025-09-19,12.08,12.8,12.0703,12.35,35212510,0.7340946166394691
2025-09-22,12.46,13.495,11.8834,13.42,23905109,8.663967611336032
2025-09-23,13.36,13.91,13.1,13.85,23454908,3.2041728763040123
2025-09-24,13.58,15.055,13.12,13.68,28531313,-1.2274368231046884
2025-09-25,13.08,13.6756,12.32,13.44,20453527,-1.7543859649122862
2025-09-26,13.4,14.33,13.3,13.67,14775299,1.7113095238095344
2025-09-29,14.02,14.155,13.6,13.89,11209444,1.609363569861011
2025-09-30,13.46,14.03,13.265,13.34,17862445,-3.959683225341981
2025-10-01,13.3,13.5697,12.76,12.99,16990944,-2.6236881559220326
2025-10-02,13.3,13.68,12.915,13.68,12669424,5.311778290993074
2025-10-03,13.19,13.44,12.81,13.21,32201675,-3.4356725146198697
2025-10-06,13.4,13.58,13.01,13.05,17420266,-1.2112036336109022
2025-10-07,13.2377,13.79,12.85,13.54,21020852,3.754789272030634
2025-10-08,13.59,14.34,13.51,14.0,18786469,3.3973412112260126
2025-10-09,14.22,14.39,13.17,13.55,15113167,-3.214285714285714
2025-10-10,13.93,15.86,13.65,14.65,32236121,8.11808118081181
2025-10-13,15.91,16.4,15.01,15.32,24162922,4.573378839590436
2025-10-14,15.2,16.15,14.05,15.66,19228754,2.2193211488250597
2025-10-15,16.86,17.08,15.73,16.74,20278046,6.896551724137923
2025-10-16,16.96,17.7991,16.0,16.0,19882833,-4.420549581839895
2025-10-17,15.39,16.02,14.31,14.87,19599400,-7.062500000000005
2025-10-20,15.78,15.78,14.425,15.12,13793689,1.68123739071957
2025-10-21,14.52,14.73,13.24,13.51,16591466,-10.64814814814814
2025-10-22,12.6002,13.94,12.6,13.89,18713438,2.812731310140637
2025-10-23,13.905,14.29,13.23,13.32,13083156,-4.103671706263501
2025-10-24,13.45,13.89,13.34,13.66,9121641,2.552552552552556
2025-10-27,13.44,13.64,12.86,13.32,11897074,-2.4890190336749662
2025-10-28,14.1458,15.355,13.86,15.23,19717526,14.339339339339329
2025-10-29,15.09,16.4182,14.99,15.58,19045124,2.2980958634274407
2025-10-30,15.49,15.72,15.03,15.53,9725650,-0.3209242618742003
2025-10-31,15.565,15.73,14.725,15.13,11834189,-2.575660012878289
2025-11-03,14.99,15.21,13.91,14.0,9916582,-7.468605419695972
2025-11-04,13.39,13.73,12.94,13.0,10293473,-7.14285714285714
2025-11-05,13.125,13.45,12.83,13.07,8920885,0.5384615384615321
2025-11-06,13.05,13.08,12.17,12.22,10521692,-6.5034429992348874
2025-11-07,11.63,12.24,11.36,12.2,16111335,-0.16366612111293755
2025-11-10,12.86,13.17,12.54,12.94,9866778,6.0655737704917945
2025-11-11,12.7,12.7,11.965,12.4,7340996,-4.173106646058722
2025-11-12,12.61,12.65,11.95,12.32,7284038,-0.6451612903225823
2025-11-13,12.115,12.3606,11.505,11.59,12351352,-5.925324675324683
2025-11-14,10.95,11.945,10.86,11.59,11995581,0.0
2025-11-17,10.15,11.5,10.0,11.22,10745732,-3.1924072476272602
2025-11-18,11.05,11.7482,11.0,11.45,9377975,2.049910873440264
2025-11-19,11.5699,12.235,11.4,11.98,8323842,4.6288209606986985
2025-11-20,12.37,12.61,11.0,11.05,10241615,-7.762938230383975
2025-11-21,10.975,11.08,10.39,10.9,10949956,-1.3574660633484226
2025-11-24,10.935,12.15,10.92,12.09,9489203,10.917431192660555
2025-11-25,11.6009,12.235,11.2637,12.1,6893515,0.08271298593878207
2025-11-26,12.215,12.33,11.97,12.08,5837355,-0.16528925619834212
2025-11-28,12.26,12.465,12.11,12.27,4452618,1.572847682119205
2025-12-01,12.05,12.13,11.76,11.76,6277584,-4.1564792176039145
2025-12-02,11.8,12.1487,11.7301,12.03,7267801,2.2959183673469274
2025-12-03,12.1,12.98,11.91,12.95,9736060,7.647547797173737
2025-12-04,12.8397,14.375,12.55,14.18,12382987,9.498069498069505
2025-12-05,14.1688,14.17,13.59,13.76,9287582,-2.961918194640334
2025-12-08,13.82,13.89,13.5,13.65,7408544,-0.7994186046511587
2025-12-09,13.4537,14.055,13.45,13.96,8012628,2.271062271062285
2025-12-10,13.72,13.875,12.58,12.92,12838790,-7.449856733524363
2025-12-11,12.5212,14.25,12.5212,14.15,10917717,9.520123839009287
2025-12-12,14.065,14.48,12.69,12.92,11943903,-8.692579505300358
2025-12-15,13.085,13.53,12.28,12.41,9889853,-3.9473684210526327
2025-12-16,12.14,12.6399,11.95,12.14,12044005,-2.175664786462528
2025-12-17,12.285,12.535,11.43,11.52,11998756,-5.1070840197693705
2025-12-18,11.465,12.19,11.42,11.93,11096349,3.55902777777779
2025-12-19,11.88,13.155,11.8,12.39,46476593,3.8558256496228127
2025-12-22,12.6,13.1,12.39,12.48,7080555,0.7263922518159882
2025-12-23,12.435,12.825,12.27,12.49,8347593,0.08012820512819374
2025-12-24,12.39,12.47,12.0601,12.39,2876534,-0.8006405124099225
2025-12-26,12.39,12.48,12.01,12.21,4382057,-1.4527845036319542
2025-12-29,11.9673,12.78,11.93,12.2,9184342,-0.08190008190009923
2025-12-30,12.27,12.31,11.71,11.77,8369178,-3.524590163934427
2025-12-31,11.65,12.04,11.65,11.68,7637601,-0.7646559048428148
2026-01-02,11.96,13.235,11.9,13.11,9206751,12.243150684931514
2026-01-05,13.588,14.135,13.174,13.99,10467070,6.712433257055683
2026-01-06,14.1,14.585,13.46,14.54,10754957,3.9313795568262977
2026-01-07,14.26,14.555,13.95,14.42,8957615,-0.8253094910591452
2026-01-08,14.38,14.63,14.13,14.57,6613529,1.0402219140083213
2026-01-09,14.9682,15.91,14.63,14.76,9728690,1.3040494166094652
2026-01-12,15.1,16.0,14.8,15.95,9295408,8.062330623306234
2026-01-13,15.875,16.1,15.525,15.55,7170761,-2.507836990595602
2026-01-14,15.565,17.68,15.1,17.19,16110420,10.546623794212229
