date,open,high,low,close,volume,change_pct
2025-07-21,14.62,14.6685,13.61,13.68,3944092,0.0
2025-07-22,13.28,13.37,12.52,13.01,4433336,-4.897660818713446
2025-07-23,13.14,13.24,12.45,12.74,3309572,-2.0753266717909225
2025-07-24,12.79,12.94,12.06,12.3,3090789,-3.4536891679748827
2025-07-25,12.24,12.6499,11.93,12.02,2748127,-2.276422764227648
2025-07-28,12.12,12.14,11.4645,12.1,2964090,0.6655574043261225
2025-07-29,12.135,12.3,10.93,11.05,2752238,-8.677685950413217
2025-07-30,11.05,11.47,10.91,11.15,1716482,0.9049773755656076
2025-07-31,11.24,12.9,11.13,12.71,6655487,13.991031390134534
2025-08-01,12.82,14.0,12.03,13.94,10790786,9.677419354838701
2025-08-04,14.79,15.16,13.73,13.99,10467207,0.35868005738881603
2025-08-05,14.1,15.41,13.72,14.13,8535171,1.0007147962830532
2025-08-06,14.45,14.45,13.28,13.45,4943657,-4.812455767869794
2025-08-07,13.79,15.14,13.33,15.04,9454980,11.821561338289953
2025-08-08,15.61,16.73,15.23,16.26,11312480,8.111702127659592
2025-08-11,16.81,17.35,15.375,15.44,10987031,-5.043050430504314
2025-08-12,15.75,19.682,15.61,19.04,18069138,23.316062176165797
2025-08-13,19.18,19.5099,16.51,16.99,11165677,-10.766806722689083
2025-08-14,16.7,18.19,16.55,17.78,7029460,4.649793996468521
2025-08-15,17.51,17.53,16.4,17.19,4771898,-3.318335208098988
2025-08-18,16.77,16.85,15.4801,15.7,6437125,-8.667830133798727
2025-08-19,15.16,15.2,14.1,14.84,6667533,-5.4777070063694255
2025-08-20,14.45,14.9243,13.73,14.27,4251050,-3.840970350404316
2025-08-21,14.42,15.69,13.99,15.27,7214870,7.007708479327257
2025-08-22,15.81,16.39,14.94,15.89,6931984,4.060248853962034
2025-08-25,16.0,16.91,15.65,15.83,5870789,-0.37759597230963005
2025-08-26,15.82,16.67,15.48,15.68,5164718,-0.9475679090334865
2025-08-27,15.65,16.1,15.27,15.69,3022048,0.06377551020408934
2025-08-28,15.88,16.37,15.365,15.42,5161289,-1.7208413001912004
2025-08-29,15.51,15.99,14.88,14.92,5339470,-3.242542153047989
2025-09-02,14.47,14.5699,13.46,13.96,5695891,-6.434316353887393
