date,open,high,low,close,volume,change_pct
2025-07-14,4.14,4.28,4.14,4.23,6508128,0.0
2025-07-15,4.24,4.2895,4.16,4.18,7361584,-1.1820330969267268
2025-07-16,4.22,4.26,4.09,4.21,8862626,0.7177033492822948
2025-07-17,4.23,4.249,4.15,4.17,4966637,-0.9501187648456089
2025-07-18,4.2,4.24,4.14,4.24,6525357,1.6786570743405393
2025-07-21,4.255,4.48,4.24,4.4,8364643,3.7735849056603765
2025-07-22,4.455,4.66,4.43,4.65,7288766,5.681818181818188
2025-07-23,4.7,4.76,4.55,4.59,9464460,-1.2903225806451757
2025-07-24,4.535,4.58,4.34,4.38,8334035,-4.575163398692805
2025-07-25,4.38,4.38,4.15,4.27,5520688,-2.511415525114158
2025-07-28,4.25,4.28,4.2,4.26,5061039,-0.23419203747072626
2025-07-29,4.26,4.3162,4.18,4.19,4352378,-1.6431924882629012
2025-07-30,4.19,4.2059,4.02,4.05,8266214,-3.341288782816243
2025-07-31,4.02,4.07,3.98,4.02,6604747,-0.7407407407407418
2025-08-01,4.225,4.34,4.1,4.17,11175356,3.731343283582089
2025-08-04,4.23,4.31,4.15,4.28,5254508,2.6378896882494063
2025-08-05,4.28,4.38,4.23,4.35,7075471,1.635514018691575
2025-08-06,4.385,4.3941,4.2,4.22,7063865,-2.9885057471264354
2025-08-07,4.6,4.905,4.4447,4.5,16364484,6.635071090047395
2025-08-08,4.52,4.75,4.43,4.52,11899723,0.4444444444444251
2025-08-11,4.57,4.67,4.515,4.54,9896654,0.4424778761062065
2025-08-12,4.665,5.1,4.64,5.06,17329928,11.45374449339207
2025-08-13,5.1,5.6387,5.065,5.59,19557038,10.474308300395263
2025-08-14,5.28,5.56,5.2,5.48,16603827,-1.9677996422182376
2025-08-15,5.58,5.6,5.31,5.38,10391523,-1.8248175182481896
2025-08-18,5.37,5.42,5.28,5.37,7477751,-0.18587360594795044
2025-08-19,5.44,5.68,5.41,5.6,13320938,4.283054003724396
2025-08-20,5.6,5.67,5.51,5.54,12079167,-1.0714285714285676
2025-08-21,5.45,5.5,5.27,5.38,8453014,-2.8880866425992857
2025-08-22,5.44,5.89,5.4,5.82,10040036,8.178438661710041
