date,open,high,low,close,volume,change_pct
2025-07-21,129.2,129.75,125.4,126.21,4821238,0.0
2025-07-22,125.75,125.92,119.1,125.29,6335832,-0.7289438237857437
2025-07-23,127.55,131.44,127.37,130.19,6072862,3.9109266501715867
2025-07-24,132.075,132.95,129.39,130.87,4504529,0.5223135417466773
2025-07-25,132.43,137.66,132.13,137.47,8556061,5.043172614044478
2025-07-28,139.13,143.1,138.02,142.55,10607149,3.695351713101047
2025-07-29,143.545,146.32,140.38,142.7,15169746,0.10522623640825124
2025-07-30,147.075,153.5,140.36,144.17,18502379,1.0301331464610985
2025-07-31,148.75,152.59,145.43,145.6,10875599,0.9918845807033394
2025-08-01,137.2,143.14,136.0,141.59,11014995,-2.7541208791208693
2025-08-04,144.265,144.265,139.55,140.2,6744805,-0.9817077477223046
2025-08-05,140.83,141.4,135.3535,138.76,5091083,-1.0271041369472211
2025-08-06,137.6,140.21,136.25,139.75,4079323,0.713462092822148
2025-08-07,140.735,141.04,137.4201,139.39,5302536,-0.25760286225403606
2025-08-08,141.17,141.58,138.4,139.93,3733998,0.38740225267237527
2025-08-11,139.075,141.44,138.5,139.83,4109541,-0.07146430358035971
2025-08-12,140.62,145.6,139.8,143.72,6225573,2.7819495101194303
2025-08-13,144.36,145.12,133.95,137.4,9976037,-4.397439465627606
2025-08-14,134.2,135.93,131.53,132.52,8129177,-3.5516739446870393
2025-08-15,132.61,133.35,129.22,133.07,6207691,0.4150316933293041
2025-08-18,132.25,135.78,132.25,135.69,3251361,1.96888855489592
2025-08-19,133.01,133.97,127.34,129.05,7307704,-4.893507259193742
2025-08-20,126.295,127.64,121.4101,127.54,8282295,-1.170089112746997
2025-08-21,127.68,128.63,125.785,126.58,3744317,-0.7527050337149177
2025-08-22,127.0,131.239,125.72,125.97,5622135,-0.48190867435613516
2025-08-25,126.36,126.85,123.93,125.02,4610783,-0.7541478129713397
2025-08-26,125.51,129.275,124.91,127.93,5947545,2.327627579587266
2025-08-27,127.94,131.17,126.5634,129.31,6412823,1.0787149222230896
2025-08-28,133.01,134.9325,131.17,134.23,6817490,3.8048101461603867
2025-08-29,132.48,133.34,126.23,127.55,6367586,-4.976532816806967
2025-09-02,123.7,124.49,119.665,124.01,8130491,-2.775382203057619
2025-09-03,125.095,125.735,123.07,125.59,4081872,1.2740907991291017
